S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"S.E.R.W.Division, Baripada","S.E.R.W.Division, Baripada",1.0,Fee/PreQual/Technical/Finance,.pdf,RC PAN GSTIN Affidavit and other documents as per DTCN,"13,450",Yes,percentage,1.0%,Nil,Nil,03-Mar-2025 11:00 AM,10-Mar-2025 05:30 PM,03-Mar-2025 11:00 AM,10-Mar-2025 05:00 PM,03-Mar-2025 11:00 AM ,10-Mar-2025 03:00 PM ,03-Mar-2025 11:00 AM,10-Mar-2025 05:00 PM,Construction of Compound Wall at PHC Badasingiria Udala Block.,Construction of Compound Wall at PHC Badasingiria Udala Block.,Please refer Tender documents. ,NA ,"13,45,000",Civil Works - Buildings,NA ,Tender,90.0,60.0,"Baripada, Mayurbhanj",757002.0,NA ,NA ,NA ,"S.E.R.W.Division, Baripada",No ,No,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,17 (Online)/RWD/BPD/2024-25,2025_CERWI_111227_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,A.K.Nayak,Internal,,Dibyamayee Behera,02-May-2025 10:50 AM,finsummary_531786.pdf (713.22 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2025_CERWI_111227_3,17 (Online)/RWD/BPD/2024-25,Construction of Compound Wall at PHC Badasingiria Udala Block.,1.0,2848969.0,Tanmay Kumar Mohanty,INR,"1,143,134",Finance,24 nos bidders participated.,Dibyamayee Behera,01-May-2025 12:17 PM,finance_531786.pdf,BOQ Comparative Chart,1,2846307,BASANTI BEHERA,06-Mar-2025 09:50 PM,Rejected-AOC,unsuccessful tenderer,11-Jun-2025 06:43 PM,11-Jun-2025,"INR 1,143,134",60.0,Rajesh Pradhan,11-Jun-2025 06:43 PM,17.pdf (396.00 KB),A.K.Nayak,Internal,,Dibyamayee Behera,02-May-2025 10:14 AM,techsummary_531786.pdf (713.22 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2847683,BHABESH NAYAK,09-Mar-2025 12:05 PM,Rejected-AOC,unsuccessful tenderer,11-Jun-2025 06:43 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2847758,DIBYAJYOTI JENA,09-Mar-2025 12:24 PM,Rejected-AOC,unsuccessful tenderer,11-Jun-2025 06:43 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2844538,DINESH KUMAR NAYAK,06-Mar-2025 11:08 AM,Rejected-AOC,unsuccessful tenderer,11-Jun-2025 06:43 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2846376,KAMALAKANTA DEHURI,09-Mar-2025 12:10 PM,Rejected-AOC,unsuccessful tenderer,11-Jun-2025 06:43 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2846782,"M/S SAI SHREE CONSTRUCTIONS, PROP. SANGYASENI ROUT",07-Mar-2025 06:22 PM,Rejected-AOC,unsuccessful tenderer,11-Jun-2025 06:43 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2845051,PRADIPTA KISHORE DAS,10-Mar-2025 01:20 PM,Rejected-AOC,unsuccessful tenderer,11-Jun-2025 06:43 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2845850,PRAKASH CHANDRA BEHERA,08-Mar-2025 06:00 PM,Rejected-AOC,unsuccessful tenderer,11-Jun-2025 06:43 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2847892,PRAMOD KUMAR GIRI,09-Mar-2025 02:37 PM,Rejected-AOC,unsuccessful tenderer,11-Jun-2025 06:43 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2846105,PRAMOD PARIDA,08-Mar-2025 11:58 AM,Rejected-AOC,unsuccessful tenderer,11-Jun-2025 06:43 PM,,,,,,,,,,,,,AOC
