S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2807257.0,SIBAYA SAMBIT NAYAK,INR,"4,359,332",Technical,14nos bidders participated,Akshaya Kumar Naik,14-Feb-2025 08:03 PM,technical_528213.pdf,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2025_CERWI_110060_1,14(Online)/RWD/BPD/2024-25,Construction of R.W.Sub-Division Office building at Udala for 24-25,A.K.Nayak,Internal,,Dibyamayee Behera,12-Jun-2025 09:54 AM,finsummary_528213.pdf (602.54 KB),Akshay Kumar Naik,Internal,,Akshaya Kumar Naik,14-Feb-2025 08:13 PM,15-Feb-2025 09:00 AM,techsummary_528213.pdf (357.10 KB),Finance,.,Dibyamayee Behera,12-Jun-2025 09:40 AM,finance_528213.pdf,BOQ Comparative Chart,1,2805663,AJIT KUMAR BEHERA,09-Feb-2025 07:33 PM,Rejected-AOC,unsuccessful tenderer,12-Jun-2025 11:20 AM,12-Jun-2025,"INR 4,359,332",180.0,Rajesh Pradhan,12-Jun-2025 11:20 AM,14.pdf (387.00 KB),AOC,03-Feb-2025 11:00 AM,10-Feb-2025 05:30 PM,03-Feb-2025 11:00 AM,10-Feb-2025 05:00 PM,03-Feb-2025 11:00 AM ,10-Feb-2025 03:00 PM ,03-Feb-2025 11:00 AM,10-Feb-2025 05:00 PM,15-Feb-2025 09:00 AM,"S.E.R.W.Division, Baripada","S.E.R.W.Division, Baripada",Construction of R.W.Sub-Division Office building at Udala for 24-25,Construction of R.W.Sub-Division Office building at Udala for 24-25,Please refer Tender documents. ,NA ,"51,66,000",Civil Works - Buildings,NA ,Tender,90.0,180.0,"Baripada, Mayurbhanj",757002.0,NA ,NA ,NA ,"S.E.R.W.Division, Baripada",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,RC PAN GSTIN Affidavits and other documents as per DTCN,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,14(Online)/RWD/BPD/2024-25,2025_CERWI_110060_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"51,660",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2807866,DILLIP NAYAK,10-Feb-2025 04:11 PM,Rejected-AOC,unsuccessful tenderer,12-Jun-2025 11:20 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2797426,NIBEDITA BEHERA,08-Feb-2025 09:11 PM,Rejected-AOC,unsuccessful tenderer,12-Jun-2025 11:20 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2807949,PRADEEP KUMAR PARIDA,10-Feb-2025 04:28 PM,Rejected-AOC,unsuccessful tenderer,12-Jun-2025 11:20 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2807691,RANJAN KUMAR PANDA,10-Feb-2025 03:49 PM,Rejected-AOC,unsuccessful tenderer,12-Jun-2025 11:20 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2804601,SACHIDANANDA DHAL,10-Feb-2025 10:50 AM,Rejected-AOC,unsuccessful tenderer,12-Jun-2025 11:20 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2801829,SASMITA RANI PATTANAYAK,10-Feb-2025 03:11 PM,Rejected-AOC,unsuccessful tenderer,12-Jun-2025 11:20 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2797057,SATYAPRAKASH PRADHAN,04-Feb-2025 10:05 PM,Rejected-AOC,unsuccessful tenderer,12-Jun-2025 11:20 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2807257,SIBAYA SAMBIT NAYAK,10-Feb-2025 03:32 PM,Accepted-AOC,Lottery winner,12-Jun-2025 11:20 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2806419,SOURAV PALATA,10-Feb-2025 10:29 AM,Rejected-AOC,unsuccessful tenderer,12-Jun-2025 11:20 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
