Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper cost, EMD, GST,PAN, Contractor Registration Certificate, Experience Certificate etc",1.0,ICICI BANK,Superintending Engineer,Superintending Engineer RWSS Division Balangir,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,BID NO 24 OF 2024 -25,2025_RWSS_112120_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"20,850",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,02-Apr-2025 03:00 PM,11-Apr-2025 11:00 AM,02-Apr-2025 03:00 PM,10-Apr-2025 05:00 PM,NA ,NA ,02-Apr-2025 03:00 PM,10-Apr-2025 05:00 PM,"Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Dharuadadar, Taljharan, Sargadpali under Balangir Block in Balangir District","Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Dharuadadar, Taljharan, Sargadpali under Balangir Block in Balangir District",Please refer DTCN ,NA ,"20,84,996",Electrical Works,Electrical Works ,Tender,90.0,45.0,"Dharuadadar, Taljharan, Sargadpali under Balangir",767001.0,NA ,NA ,NA ,O/o Superintending Engineer RWSS Division Balangir,No ,No,AOC,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,2025_RWSS_112120_5,BID NO 24 OF 2024 -25,"Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Dharuadadar, Taljharan, Sargadpali under Balangir Block in Balangir District",1.0,2877385.0,M/S SAMBEET SUPPLIERS,INR,"1,772,455",ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,26-Jun-2025 06:01 PM,techsummary_535127.pdf (1869.76 KB),26-Jun-2025,"INR 2,084,996",45.0,Khagendra Barik,26-Jun-2025 06:12 PM,DHARUADADAR.pdf (1870.00 KB),L1 BIDDER HAS RESPOND,ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,26-Jun-2025 06:06 PM,finsummary_535127.pdf (1869.76 KB),Finance,bid has been opened,Khagendra Barik,12-Apr-2025 12:12 PM,finance_535127.pdf,BOQ Comparative Chart,1,2878500,Arihant Electricals and Engineers,09-Apr-2025 09:08 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,26-Jun-2025 06:06 PM,AOC
,,.pdf,Other Document as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2879210,ASHOK CHANDRA PATRA,08-Apr-2025 06:27 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,26-Jun-2025 06:06 PM,AOC
,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2878834,BIRENDRA KUMAR PATRA,10-Apr-2025 11:46 AM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,26-Jun-2025 06:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2880667,MAA BHUBANESWARI ELECTRICALS,10-Apr-2025 04:10 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,26-Jun-2025 06:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2880803,MAA SAMLESWARI ENGINEERING,10-Apr-2025 03:48 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,26-Jun-2025 06:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2877148,"M/s Ramchandi Construction, Nayagargh",06-Apr-2025 09:18 AM,Rejected-AOC,REJECTED AS PER OPWD CODE,26-Jun-2025 06:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2877385,M/S SAMBEET SUPPLIERS,06-Apr-2025 05:57 PM,Accepted-AOC,AWARDED AS PER OPWD CODE,26-Jun-2025 06:12 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2880569,M/S SAROJINEE POWER AND CONSTRUCTION,10-Apr-2025 12:24 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,26-Jun-2025 06:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2880073,PABITRA ELECTRICAL WORKSHOP,10-Apr-2025 03:10 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,26-Jun-2025 06:06 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2880764,PNP CONSTRUCTION,10-Apr-2025 02:05 PM,Rejected-Finance,AFTER TRANSPERENT OF LOTTERY,26-Jun-2025 06:06 PM,AOC
