S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1,ICICI BANK,Odisha Small Industries Corporation Ltd,OSIC/Constn./2024-2025/07,2024_OSIC_108610_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online.","The Managing Director, OSIC Ltd., Khapuria, Mad","The Managing Director, OSIC Ltd., Khapuria, Mad","7,080",Nil,Nil,No,21-Dec-2024 10:40 AM,10-Jan-2025 11:30 AM,21-Dec-2024 10:40 AM,09-Jan-2025 05:30 PM,NA ,NA ,21-Dec-2024 10:40 AM,09-Jan-2025 05:30 PM,"Construction of operation-cum-security room for new automatic gate at p.p. Unit main gate., installation of air tight upvc window at the backside of the main building and installation of air tight upvc window in the administrative main building","Construction of operation-cum-security room for new automatic gate at p.p. Unit main gate., installation of air tight upvc window at the backside of the main building and installation of air tight upvc window in the administrative main building",Please refer Tender documents. ,NA ,"11,28,453",Civil Works - Others,NA ,Tender,105.0,90.0,"The Managing Director, OSIC Ltd., Khapuria, Mad",753000.0,NA ,NA ,NA ,"The Managing Director, OSIC Ltd., Khapuria, Mad",No ,No,"11,285",Yes,fixed,,Nil,Nil,AOC,1.0,2730055.0,SUKANTA MALIK,INR,"1,122,814.13",Odisha Small Industries Corporation Ltd,2024_OSIC_108610_1,OSIC/Constn./2024-2025/07,"Construction of operation-cum-security room for new automatic gate at p.p. Unit main gate., installation of air tight upvc window at the backside of the main building and installation of air tight upvc window in the administrative main building",Deputy Executive Engineer,Internal,Executive Engineer,Susanta Kumar Behera,06-Jun-2025 03:43 PM,techsummary_521427.pdf (408.96 KB),06-Jun-2025,"INR 1,122,814.13",90.0,Susanta Kumar Behera,06-Jun-2025 04:16 PM,1.pdf (785.00 KB),wo,"The Managing Director, OSIC Ltd., Khapuria, Mad",Internal,"The Managing Director, OSIC Ltd., Khapuria, Mad",Susanta Kumar Behera,06-Jun-2025 04:15 PM,finsummary_521427.pdf (408.96 KB),Finance,Two bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Susanta Kumar Behera,10-Jan-2025 04:51 PM,finance_521427.pdf,BOQ Comparative Chart,1,2730087,BICHITRA NANDA DAS,05-Jan-2025 12:20 PM,Rejected-AOC,L2,06-Jun-2025 04:16 PM,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2730055,SUKANTA MALIK,05-Jan-2025 12:06 PM,Accepted-AOC,L1,06-Jun-2025 04:16 PM,AOC
