Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,Summary,Soubhagya Kumar Mohapatra,21-Oct-2024 04:49 PM,finance_506574.pdf,BOQ Comparative Chart,24-Jun-2025,"INR 3,138,094",180.0,Soubhagya Kumar Mohapatra,24-Jun-2025 11:53 AM,7245.pdf (7825.00 KB),AoC,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2024_CERWI_104747_16,Tender Online 01 of 2024-25,Construction of SC-HWC At Palikanta in Erasama Block in the District of Jagatsinghpur under State Plan for the Year 2024-25,1.0,2559236.0,SITARAM MALLA,INR,"3,138,094",1,2558983,BISWA RANJAN SWAIN,24-Sep-2024 02:29 PM,Rejected-Technical,L2 bidder,21-Oct-2024 04:54 PM,"SE,RW,JSPUR",Internal,,Soubhagya Kumar Mohapatra,21-Oct-2024 04:54 PM,techsummary_506574.pdf (1329.90 KB),"SE,RW,JSPUR",Internal,,Soubhagya Kumar Mohapatra,20-Dec-2024 02:27 PM,finsummary_506574.pdf (7825.08 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Regd, Cert, No relation Cert, Affd. towards Correctness Cert",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online 01 of 2024-25,2024_CERWI_104747_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"36,910",Yes,fixed,,Nil,Nil,"O/o the S.E, RWD, Jagatsinghpur","O/o the S.E, RWD, Jagatsinghpur",1.0,ICICI BANK,Construction of SC-HWC At Palikanta in Erasama Block in the District of Jagatsinghpur under State Plan for the Year 2024-25,Construction of SC-HWC At Palikanta in Erasama Block in the District of Jagatsinghpur under State Plan for the Year 2024-25,Please refer Tender documents. ,NA ,"36,91,000",Civil Works - Buildings,NA ,Tender,90.0,180.0,Jagatsinghprr,754103.0,NA ,NA ,NA ,"O/o the S.E, RWD, Jagatsinghpur",No ,No,12-Sep-2024 11:00 AM,25-Sep-2024 11:00 AM,12-Sep-2024 11:00 AM,24-Sep-2024 05:00 PM,12-Sep-2024 11:00 AM ,23-Sep-2024 03:00 PM ,12-Sep-2024 11:00 AM,24-Sep-2024 05:00 PM,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2558604,LOKANATH MAJHI,24-Sep-2024 12:22 PM,Rejected-Technical,L2 bidder,21-Oct-2024 04:54 PM,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2556389,M/S.BISHNUPRIYA CONSTRUCTION,24-Sep-2024 11:06 AM,Rejected-Technical,L2 bidder,21-Oct-2024 04:54 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2558507,NITYANANDA ROUT,24-Sep-2024 11:08 AM,Rejected-Technical,L2 bidder,21-Oct-2024 04:54 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2555737,RAJAKRUSHNA SAHOO,22-Sep-2024 04:15 PM,Rejected-Technical,L2 bidder,21-Oct-2024 04:54 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2555082,RAJESH KUMAR DAS,22-Sep-2024 09:23 PM,Rejected-Technical,L2 bidder,21-Oct-2024 04:54 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2555263,RAMJAMUNA CONSTRUCTION,22-Sep-2024 10:33 PM,Rejected-Technical,L2 bidder,21-Oct-2024 04:54 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2558744,Ranjan Kumar Jena,24-Sep-2024 12:46 PM,Rejected-Finance,Unsuccessfull bidder,20-Dec-2024 02:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,2557648,SANGRAM MALLICK,24-Sep-2024 03:15 PM,Rejected-Technical,L2 bidder,21-Oct-2024 04:54 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2556543,SAROJINI RAY,23-Sep-2024 12:01 PM,Rejected-Technical,L2 bidder,21-Oct-2024 04:54 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
