Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,"05 bidders quoted for the above work. However, Sri Bishnu Electrical Construction has not dropped the hard copies in the tender box.",SANJIB KUMAR TRIPATHY,04-Jun-2025 12:21 PM,finance_540751.pdf,BOQ Comparative Chart,1.0,2948768.0,SRIKANT MALLIK,INR,"851,996",Directorate of Agriculture and Food Production||SE Agriculture Central Zone||Executive Engineer (Agril) Kendrpara,2025_AGRIL_113746_1,03/2025-26,"Provision of 63KVA Transformer to the ADO Campus, Marshaghai",Sanjib Kumar Tripathy,Internal,,GOUTAM GURUPRASAD JENA,13-Jun-2025 08:37 AM,finsummary_540751.pdf (1999.69 KB),Sanjib Kumar Tripathy,Internal,,GOUTAM GURUPRASAD JENA,13-Jun-2025 08:26 AM,techsummary_540751.pdf (1999.69 KB),1,2948830,ICON BUILDERS,02-Jun-2025 03:22 PM,Rejected-Finance,As Srikant Malik is SC. So he was selected as L1 bidder due to price preference,13-Jun-2025 08:37 AM,13-Jun-2025,"INR 851,996",90.0,GOUTAM GURUPRASAD JENA,13-Jun-2025 08:45 AM,agree.pdf (609.00 KB),AOC,"9,000",Yes,fixed,,"EE (Agril.),AE Division,Kendrapara",Kendrapara,"Provision of 63KVA Transformer to the ADO Campus, Marshaghai","Provision of 63KVA Transformer to the ADO Campus, Marshaghai",Please refer Tender documents. ,NA ,"8,96,744",Electrical Works,NA ,Tender,90.0,90.0,Marshaghai,754213.0,NA ,NA ,NA ,"EE (Agril.),AE Division,Kendrapara",No ,No,"4,000",0.0,"EE (Agril.),AE Division,Kendrapara",Kendrapara,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST,PAN,REGISTRATION AND OTHERS AS PER DTCN",23-May-2025 10:00 AM,04-Jun-2025 11:00 AM,23-May-2025 10:00 AM,02-Jun-2025 05:00 PM,NA ,NA ,23-May-2025 10:00 AM,02-Jun-2025 05:00 PM,1.0,DD - Demand Draft,"EE (Agril.),AE Division,Kendrapara","EE (Agril.),AE Division,Kendrapara",Directorate of Agriculture and Food Production||SE Agriculture Central Zone||Executive Engineer (Agril) Kendrpara,03/2025-26,2025_AGRIL_113746_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2948194,Sri Bishnu Electrical Construction,02-Jun-2025 04:04 PM,Rejected-Technical,Not Submitted the hardcopies in the drop box,13-Jun-2025 08:26 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,TD- Term Deposit,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2948768,SRIKANT MALLIK,02-Jun-2025 03:54 PM,Accepted-AOC,Quoted lowest,13-Jun-2025 08:46 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2948388,SWASTIKI ELECTRICAL AND CIVIL CONSTRUCTION,02-Jun-2025 01:07 PM,Rejected-Technical,"EPF, ESIC Challan Not submitted",13-Jun-2025 08:26 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2948759,Trupti Electrical,02-Jun-2025 02:51 PM,Rejected-Finance,Lowest Quoted by other bidders,13-Jun-2025 08:37 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
