Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"DD,EMD,AFFIDAVIT,RC, PAN NO,GST NUMBER AND OTHER DOCUMENTS AS PER DTCN",1.0,ICICI BANK,17-Jan-2025 03:00 PM,29-Jan-2025 11:00 AM,17-Jan-2025 03:00 PM,28-Jan-2025 05:00 PM,17-Jan-2025 03:00 PM ,27-Jan-2025 05:00 PM ,17-Jan-2025 03:00 PM,28-Jan-2025 05:00 PM,CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,EEPTNG-online-11/2024-25,2025_CERWI_109496_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to PWD road to Bender road for the year 2024-25,S/R to PWD Road to Bender for the year 2024-25,Please refer Tender documents. ,NA ,"8,30,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Patnagarh,767025.0,NA ,NA ,NA ,"O/o the Executive Engineer, R.W.Division,Patnagarh",No ,No,"Executive Engineer, R.W.Division,Patnagarh","O/o the Executive Engineer, R.W.Division,Patnagarh","8,300",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,AOC,Executive Engineer,Internal,"Executive Engineer,DAo,ESTR.",Bebisuta Sahu,09-May-2025 12:17 PM,finsummary_526176.pdf (467.54 KB),Executive Engineer,Internal,"Executive Engineer,DAO,ESTR.",Bebisuta Sahu,09-May-2025 12:08 PM,techsummary_526176.pdf (467.54 KB),CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,2025_CERWI_109496_12,EEPTNG-online-11/2024-25,S/R to PWD road to Bender road for the year 2024-25,1.0,2778262.0,PADMANAVA NAIK,INR,"684,107",1,2776969,ABHISHEK SARAF,25-Jan-2025 06:03 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,09-May-2025 12:17 PM,10-Jun-2025,"INR 684,107",30.0,Barsha Rani Pagada,17-Jun-2025 04:56 PM,1401.pdf (581.00 KB),Finance,14 nos bid opened,Bebisuta Sahu,09-May-2025 12:02 PM,finance_526176.pdf,BOQ Comparative Chart,AOC
,,.xls,BILL OF QUANTITY,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2782361,ANAND PRAKASH SHARMA,28-Jan-2025 01:01 AM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,09-May-2025 12:17 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2773936,Anil Kumar Agrawal,26-Jan-2025 12:41 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,09-May-2025 12:17 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2783400,BIRENDRA SETH,28-Jan-2025 01:48 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,09-May-2025 12:17 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2773495,HEMAKANTI BEHERA,28-Jan-2025 02:24 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,09-May-2025 12:17 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2778779,JITENDRA BARIHA,26-Jan-2025 05:19 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,09-May-2025 12:17 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2778262,PADMANAVA NAIK,26-Jan-2025 12:54 PM,Accepted-AOC,Successful bidder,17-Jun-2025 04:56 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2784194,PIYUSH JINDAL,28-Jan-2025 04:38 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,09-May-2025 12:17 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2779545,PRATEEK RAJ PATRA,27-Jan-2025 02:16 AM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,09-May-2025 12:17 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2778881,PRITI AGRAWAL,26-Jan-2025 07:25 PM,Rejected-Finance,Unsuccessful bidder in transparent lottery system,09-May-2025 12:17 PM,,,,,,,,,,,,,AOC
