Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Construction of Infrastructures and Developmental Work at different Market Yards of Golamunda Block under RMC, Junagarh","Construction of Infrastructures and Developmental Work at different Market Yards of Golamunda Block under RMC, Junagarh",AS PER DETAIL TENDER CALL NOTICE ,NA ,"2,14,04,420",Civil Works - Others,NA ,Rate Contract,90.0,180.0,GOLAMUNDA,766016.0,NA ,NA ,NA ,RMC JUNAGARH,No ,No,"SUB-COLLECTOR,DHARMAGARH-CUM-CHAIRMAN RMC JUNAGARH",DHARMAGARH,1.0,Fee/PreQual/Technical,.pdf,DETAIL TENDER CALL NOTICE,Odisha State Agricultural Marketing Board||RMC Junagarh,02/RMC- Junagarh/2025-26,2025_OSAMB_112901_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,29-Apr-2025 11:00 AM,16-May-2025 09:00 AM,29-Apr-2025 11:00 AM,15-May-2025 05:00 PM,29-Apr-2025 11:00 AM ,05-May-2025 05:00 PM ,29-Apr-2025 11:00 AM,15-May-2025 05:00 PM,26-May-2025 11:30 AM,"2,14,044",Yes,percentage,1.0%,Nil,Nil,"10,000",Nil,Nil,Yes,AOC,1,2915343,CHAITANYA MAJHI,15-May-2025 11:43 AM,Rejected-Technical,Not Submitted Annual Balance Sheet and Annual Turnover,23-May-2025 03:47 PM,18-Jun-2025,"INR 18,195,897.44",180.0,Udit Kumar Babu,18-Jun-2025 09:49 AM,Khaliapali_Golamunda.pdf (274.00 KB),work order,Chairman,Internal,"Secretary, JE, AE, Accountant",Udit Kumar Babu,23-May-2025 03:47 PM,26-May-2025 11:30 AM,techsummary_537912.pdf (1480.78 KB),Finance,ok,Udit Kumar Babu,26-May-2025 11:53 AM,,BOQ Comparative Chart,Technical,OK,Udit Kumar Babu,17-May-2025 07:57 AM,,Odisha State Agricultural Marketing Board||RMC Junagarh,2025_OSAMB_112901_1,02/RMC- Junagarh/2025-26,"Construction of Infrastructures and Developmental Work at different Market Yards of Golamunda Block under RMC, Junagarh",Chairman,Internal,"Secretary, JE, AE, Accountant",Udit Kumar Babu,18-Jun-2025 09:45 AM,finsummary_537912.pdf (273.87 KB),1.0,2918795.0,SATYA PRAKASH AGRAWAL,INR,"18,195,897.44",AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC,2,2917865,CH SUBASH CHANDRA PATRO,15-May-2025 12:12 PM,Rejected-Technical,Not submitted ESI latest Challan Balance Sheet and Annual Turnover,23-May-2025 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2918853,Dhiraj Kumar Agrawal,15-May-2025 02:06 PM,Rejected-Finance,As per transparency Lottery System,18-Jun-2025 09:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2917000,GIRISH CHANDRA BEHERA,15-May-2025 01:33 PM,Rejected-Technical,Not Submitted Latest EPF Challan Audit Balance Sheet and Annual Turnover,23-May-2025 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2919074,JAYANTA MEHER,15-May-2025 03:18 PM,Rejected-Technical,Not Submitted Audit Balance Sheet and Annual Turnover,23-May-2025 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2919068,KASHINATH MOHARANA,15-May-2025 04:48 PM,Rejected-Technical,Not Submitted Latest ESI and EPF Challan Audit Balance Sheet and Annual Turnover,23-May-2025 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2917042,MANOJ KUMAR MOHANTY,13-May-2025 08:55 PM,Rejected-Finance,As per transparency Lottery System,18-Jun-2025 09:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2916970,MOHIT KUMAR AGRAWAL,14-May-2025 07:31 PM,Rejected-Technical,Not Submitted EPF lates Deposit Challan,23-May-2025 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2917917,M/S HEMANTA AGRAWAL AND CO,14-May-2025 06:29 PM,Rejected-Finance,As per transparency Lottery System,18-Jun-2025 09:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2915190,M/S HEMANTA KUMAR SHARMA,15-May-2025 04:54 PM,Rejected-Technical,Not Submitted Latest GST EPF ESI and Required Experience,23-May-2025 03:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
