S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2655338.0,MAA SANTOSHI ENTERPRISES,INR,"172,245,673",CE Roads-II Odisha,Internal,,Pradipta Kumar Nayak,30-Jun-2025 05:37 PM,finsummary_514489.pdf (1818.48 KB),Technical,Opening,Lipsa Mallick,21-Nov-2024 01:12 PM,,EIC-CIVIL,2024_EICCL_106384_4,CE-ROADS-II-11/2024-25,Improvement such as widening and strengthening of Pandri-Sunari-Baghamunda road from 0/000 km to 12/660 km in the district of Jharsuguda under State Plan,Finance,Finance opening,Lipsa Mallick,10-Jan-2025 05:32 PM,,BOQ Comparative Chart,EIC Civil cum Roads Odisha,Internal,,Pradipta Kumar Nayak,10-Jan-2025 01:58 PM,10-Jan-2025 05:00 PM,techsummary_514489.pdf (273.98 KB),30-Jun-2025,"INR 172,245,673",450.0,Pradipta Kumar Nayak,30-Jun-2025 05:41 PM,Pandri_Sunari_AOC.pdf (1818.00 KB),07P1 of 2025-26,1,2648473,BIJAY KUMAR AGARWAL,19-Nov-2024 08:32 PM,Rejected-AOC,L1 bidder,30-Jun-2025 05:41 PM,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit",05-Nov-2024 11:30 AM,21-Nov-2024 11:30 AM,05-Nov-2024 11:30 AM,20-Nov-2024 05:30 PM,NA ,NA ,05-Nov-2024 11:30 AM,20-Nov-2024 05:30 PM,10-Jan-2025 05:00 PM,"Chief Engineer, Roads-II, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar",Improvement such as widening and strengthening of Pandri-Sunari-Baghamunda road from 0/000 km to 12/660 km in the district of Jharsuguda under State Plan,Improvement such as widening and strengthening of Pandri-Sunari-Baghamunda road from 0/000 km to 12/660 km in the district of Jharsuguda under State Plan,Please refer Tender documents. ,NA ,"20,26,18,131",Civil Works - Roads,NA ,Tender,90.0,450.0,Jharsuguda,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,"20,26,000",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,EIC-CIVIL,CE-ROADS-II-11/2024-25,2024_EICCL_106384_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2653361,BKD INFRASTRUCTURE PRIVATE LIMITED,20-Nov-2024 02:28 PM,Rejected-AOC,L2 bidder,30-Jun-2025 05:41 PM,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,Machineries and work experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2655338,MAA SANTOSHI ENTERPRISES,20-Nov-2024 01:04 PM,Accepted-AOC,Selected as L1 bidder,30-Jun-2025 05:41 PM,AOC,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2653381,MONALISA ENGICONS,20-Nov-2024 01:20 PM,Rejected-AOC,L1 bidder,30-Jun-2025 05:41 PM,AOC,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2646807,Orient Constructions Pvt. Ltd.,17-Nov-2024 11:41 AM,Rejected-AOC,L1 bidder,30-Jun-2025 05:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2655648,Shree Balaji Engicons Limited,20-Nov-2024 01:02 PM,Rejected-AOC,L1 bidder,30-Jun-2025 05:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
