S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2799678.0,M/S GANESWAR SENAPATI,INR,"143,160",Finance,All are admitted for finalisation.,Jyoti Prakash Samal,04-Mar-2025 06:53 PM,,BOQ Comparative Chart,"Er.Jyoti Prakash Samal,SE",Internal,"Sri Nitesh kumar Kandhway, Smt. Kshyanaprava Mohanty, Smt. Rina Kumari Sasmal, Sri Raj Kishore Pal",Jyoti Prakash Samal,02-Jun-2025 11:16 AM,finsummary_528094.pdf (918.13 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-PURI,2025_CERWI_110016_8,Online-09 of 2024-25,Repair to R.I. Office at Kalapadarfor the year 2024-25 in the District of Puri.,"Er.Jyoti Prakash Samal,SE",Internal,"Sri Nitesh kumar Kandhway, Smt. Kshyanaprava Mohanty, Smt. Rina Kumari Sasmal, Sri Raj Kishore Pal",Jyoti Prakash Samal,02-Jun-2025 11:10 AM,techsummary_528094.pdf (918.13 KB),1,2798310,ASHISHA RAYSINGH,05-Feb-2025 01:00 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",02-Jun-2025 11:16 AM,02-Jun-2025,"INR 168,404",15.0,Jyoti Prakash Samal,02-Jun-2025 11:21 AM,Kalapadar.pdf (870.00 KB),AOC,1.0,ICICI BANK,"1,680",Yes,fixed,,Nil,Nil,"Superintending Engineer,Rural Works Division,Puri","O/o Superintending Engineer,R.W Division,Puri",1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of tender paper, EMD, APS, PAN, GSTIN, Registration Certificate and other documents as per DTCN",600.0,0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-PURI,Online-09 of 2024-25,2025_CERWI_110016_8,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,31-Jan-2025 06:00 PM,07-Feb-2025 11:30 AM,31-Jan-2025 06:00 PM,06-Feb-2025 05:00 PM,31-Jan-2025 06:00 PM ,05-Feb-2025 01:30 PM ,31-Jan-2025 06:00 PM,06-Feb-2025 05:00 PM,Repair to R.I. Office at Kalapadarfor the year 2024-25 in the District of Puri.,Repair to R.I. Office at Kalapadarfor the year 2024-25 in the District of Puri.,Please refer DTCN. ,NA ,"1,68,000",Civil Works - Buildings,NA ,Tender,90.0,15.0,Puri,752001.0,NA ,NA ,NA ,"O/o Superintending Engineer,R.W Division,Puri",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2800283,BASANTA KUMAR KANDI,06-Feb-2025 02:16 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",02-Jun-2025 11:16 AM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2800636,HARIHAR PATTANAIK,06-Feb-2025 02:10 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",02-Jun-2025 11:16 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2797523,HITU PRADHAN,04-Feb-2025 07:50 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",02-Jun-2025 11:16 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2795131,KALPANA PATASHANI,05-Feb-2025 09:48 AM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",02-Jun-2025 11:16 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2800647,MANOJ KUMAR MANGARAJ,06-Feb-2025 02:11 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",02-Jun-2025 11:16 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2799678,M/S GANESWAR SENAPATI,05-Feb-2025 07:41 PM,Accepted-AOC,"He is the 1st successful lottery winner, so his rate is accepted and awarded.",02-Jun-2025 11:21 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2795589,M/S MANOJ KUMAR SWAIN,03-Feb-2025 07:01 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",02-Jun-2025 11:16 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2795380,M S SUBHALAXMI INFRASTRUCTURE,05-Feb-2025 12:15 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",02-Jun-2025 11:16 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2801037,M/S UGRATARA CONSTRUCTION,06-Feb-2025 04:57 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",02-Jun-2025 11:16 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
