Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
BLOCK DEVELOPMENT OFFICER,"OFFICE OF THE PANCHAYAT SAMITI , RAJBORASAMBAR",1.0,ICICI BANK,"23,500",Yes,fixed,,Nil,Nil,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Bargarh||RAJBORASAMBAR Block,02/02/2024-25,2024_PRBRJ_104330_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,TCN,22-Aug-2024 11:00 AM,12-Sep-2024 11:00 AM,22-Aug-2024 11:00 AM,10-Sep-2024 05:00 PM,22-Aug-2024 11:00 AM ,23-Aug-2024 05:00 PM ,22-Aug-2024 11:00 AM,10-Sep-2024 05:00 PM,CONSTRUCTION OF GPLF BUILDING AT PURENA GP UNDER RAJBORASAMBAR BLOCK.,CIVIL WORK,Please refer Tender documents. ,NA ,"23,49,432",Civil Works - Buildings,NA ,Tender,90.0,150.0,RAJBORASAMBAR BLOCK,768036.0,NA ,NA ,NA ,BLOCK OFFICE RAJBORASAMBAR,No ,No,"6,000",Nil,Nil,No,AOC,"BDO , Rajborasambar",Internal,"BDO , AEE , BFO , SO , AE/JE , CP , JRA/SRA",ANSHU KUMAR,18-Jun-2025 05:25 PM,finsummary_505132.pdf (430.66 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Bargarh||RAJBORASAMBAR Block,2024_PRBRJ_104330_1,02/02/2024-25,CONSTRUCTION OF GPLF BUILDING AT PURENA GP UNDER RAJBORASAMBAR BLOCK.,1.0,2541332.0,CHERU MAHANANDA,INR,"2,182,385.168",Finance,Tender may be awarded to L1 Bidder Sri. Cheru Mahananda who has submitted the lowest bid.,ANSHU KUMAR,18-Jun-2025 05:05 PM,,BOQ Comparative Chart,18-Jun-2025,"INR 2,349,429.614",180.0,ANSHU KUMAR,18-Jun-2025 06:05 PM,PurenaAgg.pdf (594.00 KB),1,2541332,CHERU MAHANANDA,05-Sep-2024 12:37 PM,Accepted-AOC,Lowest Bidder Selected,18-Jun-2025 06:06 PM,"BDO , Rajborasambar",Internal,"BDO , AEE , BFO , SO , CP , AE/JE , SRA/JRA.",ANSHU KUMAR,18-Jun-2025 05:10 PM,techsummary_505132.pdf (430.66 KB),AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2541266,KUNALA DEBATA,05-Sep-2024 10:05 AM,Rejected-AOC,L2 Bidder Rejected,18-Jun-2025 06:06 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2544166,KUNAL SINGH BARIHA,10-Sep-2024 03:01 PM,Rejected-AOC,L3 Bidder Rejected,18-Jun-2025 06:06 PM,,,,,,,AOC
