EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"11,672",Yes,percentage,1.0%,Nil,Nil,10-Mar-2025 11:00 AM,25-Mar-2025 11:30 AM,10-Mar-2025 11:00 AM,24-Mar-2025 05:30 PM,10-Mar-2025 11:00 AM ,21-Mar-2025 05:30 PM ,10-Mar-2025 11:00 AM,24-Mar-2025 05:30 PM,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"paper cost,EMD,RC,GST,PAN,NRC,Affidavits and other documents as per DTCN",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Balangir||TITLAGARH Block,02/TLG/2024-25,2025_PRBTL_111487_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,BDO,"Panchayat Samiti Office, TITILAGARH","6,000",Nil,Nil,No,"Devlopment of kabristan,ward No 4",Building Works,Nill ,NA ,"11,67,159",Civil Works - Buildings,Nill ,Tender,90.0,180.0,Titilagarh,767033.0,NA ,NA ,NA ,Titilagarh Block Office,No ,No,AOC,23-Jun-2025,"INR 1,166,575.64",180.0,CHANDRAMANI NAG,23-Jun-2025 10:18 PM,Wckabristan.pdf (276.00 KB),Rafik ullah khan L1,1,2865925,MOHAMMAD TAHIR KHAN,24-Mar-2025 12:48 PM,Rejected-Finance,not qualified,23-Jun-2025 09:38 PM,"BDO,Titilagarh",Internal,"BDO,AEE,BFO,SO",CHANDRAMANI NAG,23-Jun-2025 08:22 PM,techsummary_532680.pdf (350.31 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Balangir||TITLAGARH Block,2025_PRBTL_111487_1,02/TLG/2024-25,"Devlopment of kabristan,ward No 4","BDO,Titilagarh",Internal,"BDO,AEE,BFO,SO",CHANDRAMANI NAG,23-Jun-2025 09:38 PM,finsummary_532680.pdf (352.06 KB),Finance,Accepted,CHANDRAMANI NAG,23-Jun-2025 05:38 PM,finance_532680.pdf,BOQ Comparative Chart,1.0,2866925.0,Rafik Ullah Khan,INR,"1,166,575.61",AOC
,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2866925,Rafik Ullah Khan,24-Mar-2025 03:01 PM,Accepted-AOC,qualified for lowest rate quoted,23-Jun-2025 10:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
