S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,ICICI BANK,Executive officer Barbil Municipality,Executive officer Barbil Municipality,Improvement of road near Sai Mandir to Parichaya Gruha in Ward No.10,Improvement of road near Sai Mandir to Parichaya Gruha in Ward No.10,Please refer Tender documents. ,NA ,"6,50,000",Civil Works - Others,NA ,Tender,45.0,45.0,Barbil,758035.0,NA ,NA ,NA ,Barbil Municipality office,No ,No,07-Oct-2024 10:00 AM,25-Oct-2024 11:00 AM,07-Oct-2024 10:00 AM,24-Oct-2024 05:00 PM,NA ,NA ,07-Oct-2024 10:00 AM,24-Oct-2024 05:00 PM,27-Nov-2024 10:00 AM,1,Fee/PreQual/Technical,.pdf,Detail Tender call Notice,"6,500",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Barbil Municipality,2688/BBL MPLTY,2024_ORULB_105326_67,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,AOC,Laxman mahanta,Internal,,Purna Chandra Mahanta,26-Nov-2024 06:26 PM,27-Nov-2024 10:00 AM,techsummary_508464.pdf (3683.56 KB),Finance,open,Purna Chandra Mahanta,28-Nov-2024 06:52 PM,finance_508464.pdf,BOQ Comparative Chart,Laxman Mahanta,Internal,,Ramesh Chandra Nayak,24-Jun-2025 02:47 PM,finsummary_508464.pdf (840.88 KB),Technical,open,Purna Chandra Mahanta,28-Oct-2024 07:56 PM,technical_508464.pdf,Municipal Bodies||Barbil Municipality,2024_ORULB_105326_67,2688/BBL MPLTY,Improvement of road near Sai Mandir to Parichaya Gruha in Ward No.10,1.0,2591732.0,Sudarshan Gope,INR,"708,517",1,2591732,Sudarshan Gope,23-Oct-2024 09:05 PM,Accepted-AOC,Lowest,24-Jun-2025 02:49 PM,24-Jun-2025,"INR 708,517",45.0,Ramesh Chandra Nayak,24-Jun-2025 02:49 PM,wo67.pdf (482.00 KB),Contact value including GST,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2591312,SUDIP KUMAR SAMAL,23-Oct-2024 04:49 PM,Rejected-Finance,Second,24-Jun-2025 02:47 PM,,,,,,,,AOC
