Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Technical Bid Opening,Umakant Nayak,21-Jun-2025 03:41 PM,finance_537256.pdf,BOQ Comparative Chart,1.0,2903663.0,SANDIP KUMAR PATTNAIK,INR,"835,094","CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE Sambalpur Irrigation Division Sambalpur",2025_CEBBU_112724_1,SESID-01(22)/2025-26,canal Works,Superintending Engineer,Internal,"Superintending Engineer, Accountant, AEE Estimator",Umakant Nayak,23-Jun-2025 03:39 PM,finsummary_537256.pdf (195.06 KB),Superintending Engineer,Internal,"Superintending Engineer, Accountant, AEE Estimator",Umakant Nayak,21-Jun-2025 05:27 PM,techsummary_537256.pdf (195.06 KB),24-Jun-2025,"INR 835,094",90.0,Umakant Nayak,24-Jun-2025 10:36 AM,WO_22.pdf (311.00 KB),Sri Sandip Kumar Pattnaik is selected as winner of this tender through transparent lottery system. So the work order may be issued in favour of Sri Sandip Kumar Pattnaik.,1,2901163,AMIT KUMAR BEHERA,30-Apr-2025 08:08 PM,Rejected-AOC,Not selected.,24-Jun-2025 10:36 AM,AOC,Superintending Engineer,"Office of the Superintending Engineer, Sambalpur Irrigation Division, Sambalpur","CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE Sambalpur Irrigation Division Sambalpur",SESID-01(22)/2025-26,2025_CEBBU_112724_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"9,824",Yes,fixed,,Nil,Nil,23-Apr-2025 11:00 AM,03-May-2025 11:00 AM,23-Apr-2025 11:00 AM,02-May-2025 05:00 PM,23-Apr-2025 11:00 AM ,02-May-2025 05:00 PM ,23-Apr-2025 11:00 AM,02-May-2025 05:00 PM,1.0,ICICI BANK,canal Works,Improvement to Nuakhurigaon S/M in between RD 480m to RD 600m for 2025-26.,As per DTCN ,NA ,"9,82,348",Civil Works - Canal,NA ,Tender,90.0,90.0,Sambalpur,768001.0,NA ,NA ,NA ,"O/o the SE, SID, Sambalpur",No ,No,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, GST, PAN, Contractor RC, Affidavit, Undertakings, Other document as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2896055,BADRINATH BHOI,30-Apr-2025 10:38 PM,Rejected-AOC,Not selected.,24-Jun-2025 10:36 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill Of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2903119,BIMAL MAHAPATRA,01-May-2025 04:12 PM,Rejected-AOC,Not selected.,24-Jun-2025 10:36 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2901283,BRAJA MOHAN BADHAI,01-May-2025 11:42 AM,Rejected-AOC,Not selected.,24-Jun-2025 10:36 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2902883,CHANDRABHANU DASH,01-May-2025 11:43 AM,Rejected-AOC,Not selected.,24-Jun-2025 10:36 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2903042,KULAMANI SAHANSIA,01-May-2025 10:42 PM,Rejected-AOC,Not selected.,24-Jun-2025 10:36 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2903689,MANASH RANJAN MAHAPATRA,02-May-2025 12:21 PM,Rejected-AOC,Not selected.,24-Jun-2025 10:36 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2902838,PUJARANI SAMAL,01-May-2025 11:16 AM,Rejected-AOC,Not selected.,24-Jun-2025 10:36 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2902203,SAGARIKA MISHRA,30-Apr-2025 09:14 PM,Rejected-AOC,Not selected.,24-Jun-2025 10:36 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2903195,SANDHYARANI SAHU,01-May-2025 04:01 PM,Rejected-AOC,Not selected.,24-Jun-2025 10:36 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
