Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,Tender Opened,Nihar Ranjan Behera,20-Jun-2025 07:36 PM,,BOQ Comparative Chart,1.0,2855129.0,BISWAJIT DHALI,INR,"941,656.22","CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",2025_CEMIB_111271_9,SEMIDMKG-07/2024-25,Improvement to MI Tank at MV-53,Superintending Engineer,Internal,Superintending Engineer Asst. Engineer (Estr.) Divisional Account Officer,Nihar Ranjan Behera,20-Jun-2025 07:52 PM,finsummary_532005.pdf (879.08 KB),Superintending Engineer,Internal,Superintending Engineer Asst. Engineer (Estr.) Divisional Account Officer,Nihar Ranjan Behera,20-Jun-2025 07:40 PM,techsummary_532005.pdf (879.08 KB),1,2854984,BIBEK KUMAR DEURI,16-Mar-2025 08:32 AM,Rejected-AOC,Unsuccessful in Lottery,20-Jun-2025 07:58 PM,20-Jun-2025,"INR 941,656.22",60.0,Nihar Ranjan Behera,20-Jun-2025 07:58 PM,9.pdf (439.00 KB),AOC,Superintending Engineer,"O/O the SE, M.I. Division, Malkangiri",1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN CARD, Active GSTIN, Affidavit, Valid License, No Relation Certificate, Price Preference","6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"11,100",Yes,fixed,,Nil,Nil,Improvement to MI Tank at MV-53,Improvement to MI Tank at MV-53 in Korukonda Block of Malkangiri District under ERM.,Refer DTCN ,NA ,"11,07,701",Civil Works - Water Works,NA ,Tender,90.0,60.0,MV-53,764045.0,NA ,NA ,NA ,"O/O the SE, M.I. Division, Malkangiri",No ,No,"CE,Minor Irrigation,BBSR||SE,KBK Minor Irr.CircleII,Jeypore||EE,MI Divn, Malkangir",SEMIDMKG-07/2024-25,2025_CEMIB_111271_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,06-Mar-2025 10:00 AM,17-Mar-2025 11:00 AM,06-Mar-2025 10:00 AM,16-Mar-2025 05:00 PM,06-Mar-2025 10:00 AM ,15-Mar-2025 05:00 PM ,06-Mar-2025 10:00 AM,16-Mar-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2855129,BISWAJIT DHALI,16-Mar-2025 11:24 AM,Accepted-AOC,Winner in Lottery,20-Jun-2025 07:58 PM,,,,,,,AOC,,,,,.xls,Bill of Quantity,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2855340,CHANDANA BALA,15-Mar-2025 08:45 AM,Rejected-AOC,Unsuccessful in Lottery,20-Jun-2025 07:58 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2852547,GOPAL BHADRA,13-Mar-2025 06:42 PM,Rejected-AOC,Unsuccessful in Lottery,20-Jun-2025 07:58 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2856750,KISHOR BISWAS,16-Mar-2025 03:29 PM,Rejected-AOC,Unsuccessful in Lottery,20-Jun-2025 07:58 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2856378,NIRMALYA DEV BALA,16-Mar-2025 12:46 PM,Rejected-AOC,Unsuccessful in Lottery,20-Jun-2025 07:58 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2856031,NITAI CHANDRA BISWAS,16-Mar-2025 10:19 AM,Rejected-AOC,Unsuccessful in Lottery,20-Jun-2025 07:58 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2856113,RANJITA BHOWMIK (S.C),16-Mar-2025 01:47 PM,Rejected-AOC,Unsuccessful in Lottery,20-Jun-2025 07:58 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2856075,RINA MANDAL,16-Mar-2025 12:54 PM,Rejected-AOC,Unsuccessful in Lottery,20-Jun-2025 07:58 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2856330,SAGAR KUMAR PATRA,16-Mar-2025 12:04 PM,Rejected-AOC,Unsuccessful in Lottery,20-Jun-2025 07:58 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
