Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,DTCN,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Bhadrak,01/2024-25 (2706)/OLIC (BDK) dt. 14.10.2024,2024_OLIC_105822_35,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,Installation and Energization of Package 35,Installation and Energization of Package 35,As per mentioned in DTCN ,NA ,"23,95,138",Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,90.0,"L.I Division, Bhadrak",756100.0,NA ,NA ,NA ,"L.I Division, Bhadrak",No ,No,22-Oct-2024 11:00 AM,06-Nov-2024 11:00 AM,22-Oct-2024 11:00 AM,05-Nov-2024 05:00 PM,22-Oct-2024 11:00 AM ,05-Nov-2024 05:00 PM ,22-Oct-2024 11:00 AM,05-Nov-2024 05:00 PM,07-Jan-2025 12:00 PM,1.0,ICICI BANK,"E.E, L.I Division, Bhadrak","E.E, L.I Division, Bhadrak","23,951",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,AOC,30-Apr-2025,"INR 2,826,263",90.0,G. TARESWAR RAO,20-Jun-2025 08:28 PM,PKG35.pdf (99.00 KB),Awarded of Work,1,2605280,AJAY KUMAR GIRI,02-Nov-2024 11:14 PM,Rejected-Finance,Due to in L3 Position,09-Apr-2025 12:59 PM,G T Rao,Internal,,G. TARESWAR RAO,03-Jan-2025 05:14 PM,07-Jan-2025 12:00 PM,techsummary_510472.pdf (2475.64 KB),Finance,Financial Bid Opened,G. TARESWAR RAO,07-Jan-2025 07:01 PM,,BOQ Comparative Chart,Technical,Admitted,G. TARESWAR RAO,07-Nov-2024 05:41 PM,,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Bhadrak,2024_OLIC_105822_35,01/2024-25 (2706)/OLIC (BDK) dt. 14.10.2024,Installation and Energization of Package 35,G T Rao,Internal,,G. TARESWAR RAO,09-Apr-2025 12:59 PM,finsummary_510472.pdf (2475.64 KB),1.0,2610964.0,M/S GOURISHANKAR ENTERPRISES.RAMAKANTA MAHANI,INR,"2,826,263",AOC
,,.pdf,Tender Notice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,AOC,,,,,,,,2,2611896,AMALENDU NAYAK,04-Nov-2024 09:48 AM,Rejected-Finance,Due to in L3 Position,09-Apr-2025 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2616515,GITANJALI SARANGI PROPRIETOR- GITANJALI ENTERPRISES,05-Nov-2024 07:32 AM,Rejected-Finance,Due to in L3 Position,09-Apr-2025 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2609774,Khageswar Mahalik,03-Nov-2024 05:00 PM,Rejected-Finance,Due to in L3 Position,09-Apr-2025 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2609713,LAKSHMIMANI GIRI,04-Nov-2024 09:48 AM,Rejected-Finance,Due to in L3 Position,09-Apr-2025 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2605943,MAHASWETA DHADA,04-Nov-2024 11:34 PM,Rejected-Finance,Due to in L2 Position,09-Apr-2025 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2611326,Manas Kumar Jena,05-Nov-2024 12:30 PM,Rejected-Finance,Due to in L3 Position,09-Apr-2025 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2610964,M/S GOURISHANKAR ENTERPRISES.RAMAKANTA MAHANI,03-Nov-2024 08:52 PM,Accepted-AOC,Due to in L1 Position,20-Jun-2025 08:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2616844,M/s Maa Subarnmukhi Engineering,05-Nov-2024 12:39 AM,Rejected-Finance,Due to in L3 Position,09-Apr-2025 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2608779,POWERTECH ENGINEERING.TAPAS RANJAN PATI,03-Nov-2024 12:48 PM,Rejected-Finance,Due to in L3 Position,09-Apr-2025 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
