S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
1.0,2843054.0,SAMEERKANTA PANDA,INR,"48,659,780",Santosh Kumar Behera,Internal,SE Sundargarh R and B Division DAO-I Sundargarh R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,02-Jun-2025 06:41 PM,finsummary_530011.pdf (211.04 KB),Technical,Bid opening summary,Santosh Kumar Behera,04-Mar-2025 11:58 AM,technical_530011.pdf,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,2025_EICCL_110601_1,CCEKC - 34/ 2024-25,Construction of HL Bridge over Ichha River at 1.800 km on Girinkela to Ushakothi road (ODR) in the District of Sundargarh under State Plan for 2024-25.,Finance,Bid opening summary,Santosh Kumar Behera,27-Mar-2025 12:16 PM,finance_530011.pdf,BOQ Comparative Chart,Santosh Kumar Behera,Internal,SE Sundargarh R and B Division DAO-I Sundargarh R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,21-Mar-2025 02:25 PM,27-Mar-2025 11:30 AM,techsummary_530011.pdf (1251.36 KB),02-Jun-2025,"INR 48,659,780",720.0,Santosh Kumar Behera,02-Jun-2025 06:44 PM,AOC_ICHHARIVER.pdf (972.00 KB),1st Lowest Bidder,1,2840024,isar engineers pvt ltd,03-Mar-2025 03:45 PM,Rejected-Technical,As per decision of technical evaluation committee,21-Mar-2025 02:25 PM,AOC,13-Feb-2025 06:00 PM,04-Mar-2025 11:30 AM,13-Feb-2025 06:00 PM,03-Mar-2025 04:00 PM,NA ,NA ,13-Feb-2025 06:00 PM,03-Mar-2025 04:00 PM,27-Mar-2025 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender paper Cost and EMD,PAN,GSTIN,Contractor RC,Affidavit","10,000",0.0,Nil,Nil,No,"5,72,400",Yes,fixed,,Nil,Nil,CCE Keonjhar (R and B) Circle,"O/o the CCE Keonjhar (R and B) Circle, Keonjhar-758001",Construction of HL Bridge over Ichha River at 1.800 km on Girinkela to Ushakothi road (ODR) in the District of Sundargarh under State Plan for 2024-25.,Construction of HL Bridge over Ichha River at 1.800 km on Girinkela to Ushakothi road (ODR) in the District of Sundargarh under State Plan for 2024-25.,Please refer Tender Documents ,NA ,"5,72,40,000",Civil Works - Bridges,NA ,Tender,90.0,720.0,Sundargarh,770001.0,NA ,NA ,NA ,O/o the CCE Keonjhar (R and B) Circle,No ,No,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,CCEKC - 34/ 2024-25,2025_EICCL_110601_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2842454,M/S SUN CONSTRUCTION,03-Mar-2025 02:25 PM,Rejected-Finance,3rd Lowest Bidder,02-Jun-2025 06:41 PM,AOC,,,,,,,,,,,,.pdf,"Machineries, work in hand, work experience",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2843360,RANJEET KUMAR BARUA,03-Mar-2025 01:29 PM,Rejected-Technical,As per decision of technical evaluation committee,21-Mar-2025 02:25 PM,AOC,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2843124,SAJAN KUMAR GUPTA,03-Mar-2025 02:15 PM,Rejected-Finance,2nd Lowest Bidder,02-Jun-2025 06:41 PM,AOC,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2843054,SAMEERKANTA PANDA,03-Mar-2025 03:44 PM,Accepted-AOC,1st Lowest Bidder,02-Jun-2025 06:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2843535,SHREE SHYAMJEE CONSTRUCTION,03-Mar-2025 03:39 PM,Rejected-Finance,4th Lowest Bidder,02-Jun-2025 06:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2843037,SRINIBAS PRADHAN,03-Mar-2025 01:40 PM,Rejected-Finance,3rd Lowest Bidder,02-Jun-2025 06:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
