Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
Executive Engineer,Internal,,Anil Kumar Das,29-May-2025 12:19 PM,techsummary_537856.pdf (563.41 KB),1,2914971,ASHOK KUMAR JOSHI,13-May-2025 10:33 AM,Accepted-AOC,Qualified in transparancy lottery,19-Jun-2025 11:51 AM,18-Jun-2025,"INR 599,323",90.0,Anil Kumar Das,19-Jun-2025 11:51 AM,4055.pdf (285.00 KB),Finance,comparative statement,Anil Kumar Das,14-May-2025 03:02 PM,finance_537856.pdf,BOQ Comparative Chart,1.0,2914971.0,ASHOK KUMAR JOSHI,INR,"599,323",CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,2025_CERWI_112882_4,EERWPH-01/2025-26,"PH works (SI,SD AND WS) to Construction of Sub centre building at Deng of Saintala block in Balangir Dist under State Plan-MMSSM in the F.Y.-2023-24.",Executive Engineer,Internal,,Anil Kumar Das,18-Jun-2025 03:06 PM,finsummary_537856.pdf (60.99 KB),AOC,"4,000",0.0,Nil,Nil,No,CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,EERWPH-01/2025-26,2025_CERWI_112882_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"PH works (SI,SD AND WS) to Construction of Sub centre building at Deng of Saintala block in Balangir Dist under State Plan-MMSSM in the F.Y.-2023-24.","PH works (SI,SD AND WS) to Construction of Sub centre building at Deng of Saintala block in Balangir Dist under State Plan-MMSSM in the F.Y.-2023-24.",Please refer Tender documents. ,NA ,"7,05,002",Civil Works - Buildings,NA ,Tender,90.0,NA ,Deng,767032.0,NA ,NA ,NA ,"O/O THE SE RW (PH) DIVISION,BHUBANESWAR",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid License Document as per tender class of contractor in NIT, GST, Certificate, PAN Card.","Executive Engineer,RW (PH) Division, BBSR","SE RW (PH) DIVISION, BBSR Behind Esplande mall, Bomikhal, Rasulgarh,751010",03-May-2025 11:00 AM,14-May-2025 11:00 AM,03-May-2025 11:00 AM,13-May-2025 05:00 PM,NA ,NA ,03-May-2025 11:00 AM,13-May-2025 05:00 PM,"7,100",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,2,2916098,HARI SHANKAR AGRAWAL,13-May-2025 04:11 PM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"EMD, Tender Paper cost, Affidavit for correctness and no Relation Certificate",,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,3,2912910,KALYANI NANDA,13-May-2025 10:23 AM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,2916270,NIRMAL SHARMA,13-May-2025 03:31 PM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,2911078,NISHITA SWAIN,10-May-2025 12:48 PM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,2914622,RAJIB KUMAR HOTA,13-May-2025 03:00 AM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,2915652,RAJKUMAR SINGH PATRA,13-May-2025 01:10 PM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,2915997,RASHMI BISWAL,13-May-2025 02:16 PM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,2911886,SAGARIKA RATH,11-May-2025 12:47 PM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,2911362,SANDHYA RANI NAYAK,10-May-2025 04:24 PM,Rejected-Finance,Not Qualified in transparency lottery,18-Jun-2025 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
