Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
02-Jun-2025,"INR 407,040.427",60.0,Pramod Kumar Khillo,01-Jun-2025 08:09 AM,PROCEEDING.pdf (1285.00 KB),1.0,2877740.0,PRATAP KISHOR NAIK,INR,"407,040.427",Municipal Bodies||Dharmagarh NAC,2025_ORULB_111779_28,DHM/01/2024-25,CONSTRUCTION OF ROAD FROM GUDI TOWARDS DAMODAR BEMAL HOUSE VIA LINGARAJ BEHERA HOUSE AT SALEKELPADA IN WARD NO 09,1,2868606,AISCHARYA GOYAL,29-Mar-2025 12:15 AM,Rejected-Finance,By the tender committee,01-Jun-2025 07:54 AM,Finance,Summary,Pramod Kumar Khillo,31-May-2025 10:33 AM,finance_533827.pdf,BOQ Comparative Chart,Ashok Kumar Mohanty,Internal,"Birsingh Biroli,Rajiblochan Podh,Sarat Kumar Sahoo",Pramod Kumar Khillo,01-Jun-2025 07:54 AM,finsummary_533827.pdf (1285.36 KB),Ashok Kumar Mohanty,Mixed,"Birsingh Biroli,Rajiblochan Podh,Sarat Kumar Sahoo",Pramod Kumar Khillo,31-May-2025 11:46 AM,techsummary_533827.pdf (1285.36 KB),AOC,1.0,ICICI BANK,Municipal Bodies||Dharmagarh NAC,DHM/01/2024-25,2025_ORULB_111779_28,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EXECUTIVE OFFICER,DHARMAGARH NAC,20-Mar-2025 03:00 PM,10-Apr-2025 10:00 AM,20-Mar-2025 03:00 PM,08-Apr-2025 05:00 PM,NA ,NA ,20-Mar-2025 03:00 PM,08-Apr-2025 05:00 PM,"2,000",0.0,Nil,Nil,No,CONSTRUCTION OF ROAD FROM GUDI TOWARDS DAMODAR BEMAL HOUSE VIA LINGARAJ BEHERA HOUSE AT SALEKELPADA IN WARD NO 09,CONSTRUCTION OF ROAD FROM GUDI TOWARDS DAMODAR BEMAL HOUSE VIA LINGARAJ BEHERA HOUSE AT SALEKELPADA IN WARD NO 09,Please refer Tender documents. ,NA ,"4,78,814",Civil Works - Roads,NA ,Tender,60.0,60.0,DHARMAGARH NAC,766015.0,NA ,NA ,NA ,DHARMAGARH NAC,No ,No,"4,788",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, PAN,GST Tender Paper cost, EMD and other document as per DTCN",AOC
,,,,,,,,,,,,,,,2,2878401,BISWAJIT MUND,08-Apr-2025 09:14 AM,Rejected-Finance,By the tender committee,01-Jun-2025 07:54 AM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,3,2877755,DHABALESWAR NAIK,07-Apr-2025 01:16 PM,Rejected-Finance,By the tender committee,01-Jun-2025 07:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2873910,DIPTIMAYEE JENA,08-Apr-2025 12:23 AM,Rejected-Finance,By the tender committee,01-Jun-2025 07:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2876373,GAJINDRA PRADHAN,05-Apr-2025 09:35 AM,Rejected-Finance,By the tender committee,01-Jun-2025 07:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2878140,JAGBANDHU SUNANI,08-Apr-2025 12:15 AM,Rejected-Finance,By the tender committee,01-Jun-2025 07:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2877466,MANOJ KUMAR AGRAWAL,08-Apr-2025 01:31 PM,Rejected-Finance,By the tender committee,01-Jun-2025 07:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2875776,M/S ASHISH MOHANTY,04-Apr-2025 10:36 PM,Rejected-Finance,By the tender committee,01-Jun-2025 07:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2878927,M/S DEBADATTA PATTNAIK,08-Apr-2025 01:28 PM,Rejected-Finance,By the tender committee,01-Jun-2025 07:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2873513,PALLY SHREE SAHOO,29-Mar-2025 08:42 PM,Rejected-Finance,By the tender committee,01-Jun-2025 07:54 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
