Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Online Proof Copy of Tender Cost, Bid Security, GSTIN, PAN, R.C and Affidavit","C.C.E, Northern R AND B Circle, SAMBALPUR","O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",Construction of H.L. Bridge over Local Nallah at 5-800 Km on Salehetikira to Bagdehi road in the District of Jharsuguda under State Plan for the year 2023-24,BRIDGE WORK,Please refer Tender documents. ,NA ,"7,98,85,274",Civil Works - Bridges,NA ,Tender,90.0,540.0,JHARSUGUDA,768201.0,NA ,NA ,NA ,"O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",No ,No,"10,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,CCENC (RANDB) /13/ 2024-25,2024_EICCL_107623_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"7,98,900",Yes,fixed,,Nil,Nil,29-Nov-2024 09:00 AM,13-Dec-2024 05:30 PM,29-Nov-2024 09:00 AM,13-Dec-2024 05:00 PM,29-Nov-2024 09:00 AM ,05-Dec-2024 05:00 PM ,29-Nov-2024 09:00 AM,13-Dec-2024 05:00 PM,28-Jan-2025 11:00 AM,AOC,1,2695133,AMARDEEP AGARWALLA,13-Dec-2024 03:53 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,23-Jun-2025 08:28 AM,23-Jun-2025,"INR 70,858,238",540.0,Rama Chandra Sethi,23-Jun-2025 08:32 AM,AGTBAGDIHI5800.pdf (2439.00 KB),AGT DRAWN,"CCE,NORTHERN R AND B CIRCLE,SAMBALPUR",Internal,,Anam Charan Sahoo,25-Jan-2025 06:29 PM,28-Jan-2025 11:00 AM,techsummary_518163.pdf (487.54 KB),Finance,FINANCIAL BID OPENED,Anam Charan Sahoo,29-Jan-2025 09:00 PM,,BOQ Comparative Chart,EIC-CIVIL||SERNB-CIRCLE-NORTHERN,2024_EICCL_107623_3,CCENC (RANDB) /13/ 2024-25,Construction of H.L. Bridge over Local Nallah at 5-800 Km on Salehetikira to Bagdehi road in the District of Jharsuguda under State Plan for the year 2023-24,Technical,TECHNICAL BID OPENED,Rama Chandra Sethi,17-Dec-2024 10:43 AM,,CCE NC,Internal,,Rama Chandra Sethi,23-Jun-2025 08:28 AM,finsummary_518163.pdf (1623.64 KB),1.0,2691728.0,D. K. Engineering and Construction,INR,"70,858,238",AOC
,,.pdf,"Ownership of machineries, work experience and MOU for composite Building work etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC,2,2693458,BIJAY KUMAR AGARWAL,13-Dec-2024 01:53 PM,Rejected-Technical,As per the decision of Tender Evaluation Committee,25-Jan-2025 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work experience certificate and other related documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2691728,D. K. Engineering and Construction,13-Dec-2024 11:24 AM,Accepted-AOC,AGT DRAWN,23-Jun-2025 08:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BILL OF QUANTITY (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2692433,MS SHREE SHARDA CONSTRUCTIONS,13-Dec-2024 12:43 PM,Rejected-Technical,As per the decision of Tender Evaluation Committee,25-Jan-2025 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2691842,PRAVEEN AGRAWAL,12-Dec-2024 09:15 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,23-Jun-2025 08:28 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2692329,SAJAN KUMAR GUPTA,13-Dec-2024 01:28 PM,Rejected-Technical,As per the decision of Tender Evaluation Committee,25-Jan-2025 06:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
