Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Construction of one office building and 50MT Godown at Badasada,Construction of one office building and 50MT Godown at Badasada,Please refer Tender documents. ,NA ,"27,91,000",Civil Works - Buildings,NA ,Tender,90.0,180.0,ba,759143.0,NA ,NA ,NA ,"O/O Executive Engineer, R.W Division, Angul",No ,No,"28,000",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,Online AGL-19,2025_CERWI_111738_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GST RC PAN Affidavit regarding correctness No relation certificate,"6,000",0.0,Nil,Nil,No,18-Mar-2025 06:50 PM,27-Mar-2025 11:00 AM,18-Mar-2025 06:50 PM,26-Mar-2025 05:00 PM,18-Mar-2025 06:50 PM ,25-Mar-2025 01:00 PM ,18-Mar-2025 06:50 PM,26-Mar-2025 05:00 PM,"Executive Engineer, R.W Division, Angul","Executive Engineer, R.W Division, Angul",AOC,EE,Internal,DAO Est,Raju Dhaunlia,20-Jun-2025 05:18 PM,techsummary_533617.pdf (198.52 KB),EE,Internal,DAO Est,Raju Dhaunlia,20-Jun-2025 05:23 PM,finsummary_533617.pdf (198.52 KB),Finance,12 Bid found,Raju Dhaunlia,20-Jun-2025 05:10 PM,finance_533617.pdf,BOQ Comparative Chart,21-Jun-2025,"INR 2,799,272",180.0,Ashok Kumar Mishra,21-Jun-2025 06:06 PM,Bandasada21.pdf (694.00 KB),21P-I,CE RW I||RWCIRCLE-ANGUL||RW-DIVISION-ANGUL,2025_CERWI_111738_21,Online AGL-19,Construction of one office building and 50MT Godown at Badasada,1.0,2867817.0,RANJAN KUMAR SAMAL,INR,"2,799,272",1,2868967,ASHES KUMAR PATTANAYAK,26-Mar-2025 12:02 PM,Rejected-Finance,Not Won Lottery,20-Jun-2025 05:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2864880,BINAPANI BISWAL,22-Mar-2025 06:43 PM,Rejected-Finance,Not Won Lottery,20-Jun-2025 05:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2868546,BRAJA KISHORE GARNAYAK,25-Mar-2025 10:12 PM,Rejected-Finance,Not Won Lottery,20-Jun-2025 05:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2868351,DILIP KUMAR MOHANTY,25-Mar-2025 07:19 PM,Rejected-Finance,Not Won Lottery,20-Jun-2025 05:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2867995,DILLIP KUMAR SETHI (SC),25-Mar-2025 03:56 PM,Rejected-Finance,Not Won Lottery,20-Jun-2025 05:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2867563,MANOJ KUMAR PRADHAN,25-Mar-2025 06:18 AM,Rejected-Finance,Not Won Lottery,20-Jun-2025 05:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2868647,PADMA LOCHAN SAHOO,25-Mar-2025 11:51 PM,Rejected-Finance,Not Won Lottery,20-Jun-2025 05:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2866241,PRADEEP KU SAHOO,24-Mar-2025 11:36 AM,Rejected-Finance,Not Won Lottery,20-Jun-2025 05:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2867139,PRASANTA KUMAR NAIK,24-Mar-2025 04:15 PM,Rejected-Finance,Not Won Lottery,20-Jun-2025 05:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2868050,PUSPALATA SAHOO,25-Mar-2025 04:36 PM,Rejected-Finance,Not Won Lottery,20-Jun-2025 05:23 PM,AOC
