S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, GST, EMD, PAN, Paper cost and other Documents as per DTCN",Rourkela Municipal Corporation,MC/RMC/17/2025,2025_RMC_111880_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela.","Improvement of CC Park near ABM Hospital at Civil Township under RMC, Rourkela.",Works,Please refer Tender documents. ,NA ,"7,53,000",Civil Works - Others,NA ,Tender,90.0,30.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela.",No ,No,"7,530",Yes,fixed,,Nil,Nil,24-Mar-2025 06:00 PM,08-Apr-2025 11:00 AM,24-Mar-2025 06:00 PM,07-Apr-2025 05:00 PM,NA ,NA ,24-Mar-2025 06:00 PM,07-Apr-2025 05:00 PM,"4,000",Nil,Nil,No,AOC,Finance,EMD refund,Birendra Nanda,26-Jun-2025 12:06 PM,finance_534219.pdf,BOQ Comparative Chart,1,2878074,ANNAPURNA HITEKSHA ENTERPRISES,07-Apr-2025 03:50 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:47 PM,Commissioner,External,"Audit Officer, Superintending Engineer, Joint Commissioner",Birendra Nanda,26-Jun-2025 12:47 PM,techsummary_534219.pdf (1680.36 KB),26-Jun-2025,"INR 639,894.8",30.0,Birendra Nanda,26-Jun-2025 04:22 PM,BID17.pdf (1680.00 KB),Kanha Construction,1.0,2876616.0,MS KANHA CONSTRUCTION,INR,"639,894.8",Commissioner,External,"Audit Officer, Superintending Engineer, Joint Commissioner",Birendra Nanda,26-Jun-2025 01:01 PM,finsummary_534219.pdf (1680.35 KB),Rourkela Municipal Corporation,2025_RMC_111880_6,MC/RMC/17/2025,"Improvement of CC Park near ABM Hospital at Civil Township under RMC, Rourkela.",AOC
2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2874097,ARADHYA CONSTRUCTION,31-Mar-2025 06:49 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2874105,ARATI TRIPATHY,31-Mar-2025 07:13 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,2878020,BRAJA MOHAN BEURA,07-Apr-2025 02:06 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,2875412,CHIDA ORAM,03-Apr-2025 05:47 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,2876923,EDITION INTERNATIONAL,05-Apr-2025 06:18 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,26-Jun-2025 12:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,2874558,JITENDRA KUMAR NAYAK,02-Apr-2025 12:21 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,2875388,KARTIK DAS,03-Apr-2025 05:09 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,2877896,MAA FABRICATION,07-Apr-2025 12:54 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,2878048,MAA SAMALEI TRADERS,07-Apr-2025 02:21 PM,Rejected-Technical,By The Tender Committee,26-Jun-2025 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
