Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Construction of Govt. Homoeopathy Dispensary Building at Budulipadar under Tumudibandha Block in the District of Kandhamal for the year 2024-25,Construction of Govt. Homoeopathy Dispensary Building at Budulipadar under Tumudibandha Block in the District of Kandhamal for the year 2024-25,Please refer Tender documents. ,NA ,"45,50,667",Civil Works - Buildings,NA ,Tender,90.0,240.0,Balliguda/Kandhamal,762103.0,NA ,NA ,NA ,Executive Engineer RWD Balliguda,No ,No,"45,510",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Contract Registration Certificate, GSTIN, PAN CARD, Affidavit, cost of Tender Paper as per",Executive Engineer RWD Balliguda,Executive Engineer RWD Balliguda,CE RW I||RWCIRCLE-BERHAMPUR||EE RW Divn. Baliguda,Online Tender/04/EERWD/BLG-2024-25,2025_CERWI_111185_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,27-Feb-2025 06:00 PM,07-Mar-2025 11:30 AM,27-Feb-2025 06:00 PM,06-Mar-2025 04:00 PM,27-Feb-2025 06:00 PM ,04-Mar-2025 04:00 PM ,27-Feb-2025 06:00 PM,06-Mar-2025 04:00 PM,AOC,EE/DAO,Internal,EE/DAO,Srikrushna Sabar,17-Jun-2025 11:31 AM,finsummary_531646.pdf (471.06 KB),CE RW I||RWCIRCLE-BERHAMPUR||EE RW Divn. Baliguda,2025_CERWI_111185_3,Online Tender/04/EERWD/BLG-2024-25,Construction of Govt. Homoeopathy Dispensary Building at Budulipadar under Tumudibandha Block in the District of Kandhamal for the year 2024-25,1.0,2844045.0,KARPANA SAGAR PATRO,INR,"3,868,522",Finance,Successful bidder Sri Pradeep Kumar Nayak C Class Contractor declared as winner in lottery.,Srikrushna Sabar,16-Jun-2025 05:24 PM,finance_531646.pdf,BOQ Comparative Chart,17-Jun-2025,"INR 3,868,522",240.0,Srikrushna Sabar,17-Jun-2025 11:41 AM,Work.pdf (541.00 KB),"Successful bidder Sri Karpana Sagar Patro,B Class Contractor declared as winner in lottery",1,2845838,BABAMANI SAHU,06-Mar-2025 02:02 PM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 11:31 AM,EE/DAO,Internal,EE/DAO,Srikrushna Sabar,16-Jun-2025 05:28 PM,techsummary_531646.pdf (471.06 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Bid Security Declaration Form,Valid Email ID and Valid WhatsApp No. is Mandatory",,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2845069,DINESH RANJAN SAHOO,05-Mar-2025 07:09 PM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 11:31 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2844045,KARPANA SAGAR PATRO,04-Mar-2025 01:02 PM,Accepted-AOC,Successful bidder Sri Karpana Sagar Patro Class Contractor declared as winner in lottery,17-Jun-2025 11:41 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2842249,LAXMI KANTA JENA,01-Mar-2025 04:56 PM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 11:31 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2844138,M/S NARAYAN BEHERA,04-Mar-2025 03:02 PM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 11:31 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2843066,RABI NARAYAN PATRO,03-Mar-2025 10:44 AM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 11:31 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2844110,SANJAYA KUMAR GOUDA,04-Mar-2025 01:54 PM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 11:31 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2843424,Sanjay Kumar Panda,03-Mar-2025 02:03 PM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 11:31 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2844899,SOUMYALIPI BEHERA,05-Mar-2025 04:16 PM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 11:31 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2843107,UMA KANTA NAIK,03-Mar-2025 11:13 AM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 11:31 AM,,,,,,,AOC
