Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage
"ADDL. CHIEF ENGINEER, MECHANICAL CIRCLE, BHUBANESWAR",Internal,,RAMESH LADI,22-May-2025 12:23 PM,techsummary_537557.pdf (759.79 KB),1,2908858,ABHISEKH ENTERPRISERS,08-May-2025 12:37 PM,Rejected-Finance,LOOSER OF THE LOTTERY,04-Jun-2025 03:39 PM,04-Jun-2025,"INR 1,003,325",60.0,RAMESH LADI,04-Jun-2025 04:53 PM,mdl3aoc.pdf (424.00 KB),Finance,ALL BID DOCUMENTS ARE DOWNLOADED.,RAMESH LADI,09-May-2025 03:25 PM,,BOQ Comparative Chart,1.0,2908078.0,ORIFEB INDUSTRIES,INR,"1,003,325",Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Bhubaneswar,2025_CEMWR_112822_1,ACEM/MDL-03/2025-26,"Supply, fabrication and erection of Gate and Hoist of Bisipur-iii Check Dam of Karanjia Block under minor Irrigation Division Jashipur for the year-2024-25","ADDL. CHIEF ENGINEER, MECHANICAL CIRCLE, BHUBANESWAR",Internal,"ASST. TO ADDL. CHIEF ENGINEER, EXECUTIVE ENGINEER, MECHANICAL DIVISION, LAXMIPOSI, DIVISIONAL ACCOUNTANT, MECHANICAL DIVISION, LAXMIPOSI",RAMESH LADI,04-Jun-2025 03:39 PM,finsummary_537557.pdf (391.43 KB),AOC,"Supply, fabrication and erection of Gate and Hoist of Bisipur-iii Check Dam of Karanjia Block under minor Irrigation Division Jashipur for the year-2024-25","Supply, fabrication and erection of Gate and Hoist of Bisipur-iii Check Dam of Karanjia Block under minor Irrigation Division Jashipur for the year-2024-25",Please refer Tender documents. ,NA ,"11,80,243",Mechanical Works,NA ,Tender,90.0,60.0,"BISHIPUR-III, KARANJIA BLOCK",757037.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Bhubaneswar,ACEM/MDL-03/2025-26,2025_CEMWR_112822_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"ADDL. CHIEF ENGINEER, MECHANICAL CIRCLE, BBSR","O/O THE ADDL. CHIEF ENGINEER, MECHANICAL CIRCLE, BHUBANESWAR, DELTA","11,900",No,fixed,,Nil,Nil,1.0,ICICI BANK,28-Apr-2025 10:00 AM,09-May-2025 12:00 PM,28-Apr-2025 10:00 AM,08-May-2025 05:30 PM,28-Apr-2025 10:00 AM ,08-May-2025 05:30 PM ,28-Apr-2025 10:00 AM,08-May-2025 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN, AFFIDAVIT AND ALL OTHER DOCUMENTS AS PER DTCN.",AOC
,,,,,,2,2907495,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",08-May-2025 12:55 PM,Rejected-Finance,LOOSER OF THE LOTTERY,04-Jun-2025 03:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,3,2905728,ANJAN KUMAR JENA,08-May-2025 08:49 AM,Rejected-Finance,LOOSER OF THE LOTTERY,04-Jun-2025 03:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,2903622,BANASHREE BHUYAN,08-May-2025 11:23 AM,Rejected-Finance,LOOSER OF THE LOTTERY,04-Jun-2025 03:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,2908876,BASUDEV PANIGRAHI,08-May-2025 01:03 PM,Rejected-Technical,Non Responsive,22-May-2025 12:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,2903222,DASH ENGINEERING AND WORKS,07-May-2025 12:47 PM,Rejected-Finance,LOOSER OF THE LOTTERY,04-Jun-2025 03:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,2903636,LAXMIDHRA BHUYAN,08-May-2025 11:12 AM,Rejected-Finance,LOOSER OF THE LOTTERY,04-Jun-2025 03:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,2906133,M/S Abirvab Steel Product,08-May-2025 11:01 AM,Rejected-Finance,LOOSER OF THE LOTTERY,04-Jun-2025 03:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,2903488,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,08-May-2025 09:51 AM,Rejected-Finance,LOOSER OF THE LOTTERY,04-Jun-2025 03:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,2905835,M/S Ashreebad Fabricators,08-May-2025 07:50 AM,Rejected-Finance,LOOSER OF THE LOTTERY,04-Jun-2025 03:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
