Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
09-Jun-2025,"INR 1,694,915",60.0,Pradeep Kumar Nayak,09-Jun-2025 11:53 AM,WO06125.pdf (569.00 KB),EO CP ME AE,Internal,,Pradeep Kumar Nayak,06-Jun-2025 01:32 PM,techsummary_533281.pdf (547.66 KB),Finance,Tender opened successfully,Pradeep Kumar Nayak,27-Mar-2025 05:42 PM,,BOQ Comparative Chart,1.0,2869396.0,Mohammed Firoz Khan,INR,"1,694,914.56",EO CP ME AE,Internal,,Pradeep Kumar Nayak,09-Jun-2025 11:51 AM,finsummary_533281.pdf (547.66 KB),Municipal Bodies||Balasore Municipality,2025_ORULB_111643_125,BM_06_2024_25,Constn. of paver block road and drain from Somanth Patra House to Debashish ratha Res in W.N-17,1,2869396,Mohammed Firoz Khan,26-Mar-2025 03:19 PM,Accepted-AOC,WO,09-Jun-2025 11:54 AM,AOC,"6,000",0.0,Nil,Nil,No,17-Mar-2025 05:00 PM,27-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,NA ,NA ,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,1,ICICI BANK,Municipal Bodies||Balasore Municipality,BM_06_2024_25,2025_ORULB_111643_125,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"16,949",Yes,percentage,1.0%,Nil,Nil,Constn. of paver block road and drain from Somanth Patra House to Debashish ratha Res in W.N-17,Constn. of paver block road and drain from Somanth Patra House to Debashish ratha Res in W.N-17,Please refer Tender documents. ,NA ,"16,94,915",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756001.0,NA ,NA ,NA ,Balasore Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"Executive Officer, Balasore Municipality",Balasore Municipality Office,1.0,REVISED DTCN,Technical Bid,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2869426,Sk Ibrar Hossain,26-Mar-2025 03:32 PM,Rejected-Technical,L2,06-Jun-2025 01:32 PM,AOC,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,AOC
