Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
SE DID,"O/o the SE, Deogarh Irrigation Division, Deogarh","6,000",Nil,Nil,No,"Construction of Guard wall with bed lining in between RD.00m to 150m and repair and renovation of fall at RD 6m,36m,112m and 142m in Patharkhani SM of GRMC for the year 2025-26.","Construction of Guard wall with bed lining in between RD.00m to 150m and repair and renovation of fall at RD 6m,36m,112m and 142m in Patharkhani SM of GRMC for the year 2025-26.",C and D class Contractor  ,NA ,"10,92,736",Civil Works - Canal,NA ,Tender,90.0,90.0,Deogarh,768119.0,NA ,NA ,NA ,"O/o the SE, Deogarh Irrigation Division, Deogarh",No ,No,03-May-2025 11:00 AM,14-May-2025 10:00 AM,03-May-2025 11:00 AM,13-May-2025 05:00 PM,03-May-2025 11:00 AM ,13-May-2025 05:00 PM ,03-May-2025 11:00 AM,13-May-2025 05:00 PM,1.0,ICICI BANK,CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||Deogarh Irrigation Division Deogarh,SEDID-01/2025-26,2025_CEBBS_113039_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"11,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, GST, Pan, Contractor RC etc. as per DTCN",AOC,SE DID,Internal,"SE, AEE, Estimator",Suresh Chandra Munda,22-Jun-2025 12:30 PM,techsummary_538204.pdf (369.71 KB),SE DID,Internal,"SE, AEE, Estimator",Suresh Chandra Munda,22-Jun-2025 12:37 PM,finsummary_538204.pdf (369.71 KB),Finance,All Bidder Admitted,Suresh Chandra Munda,21-Jun-2025 01:37 PM,finance_538204.pdf,BOQ Comparative Chart,CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||Deogarh Irrigation Division Deogarh,2025_CEBBS_113039_11,SEDID-01/2025-26,"Construction of Guard wall with bed lining in between RD.00m to 150m and repair and renovation of fall at RD 6m,36m,112m and 142m in Patharkhani SM of GRMC for the year 2025-26.",1.0,2914659.0,DHIREN KUMAR DEO,INR,"928,935",1,2913727,ANIL KUMAR SAHU,12-May-2025 05:04 PM,Rejected-AOC,Not Qualified in Lottery System.,22-Jun-2025 12:41 PM,22-Jun-2025,"INR 928,935",90.0,Suresh Chandra Munda,22-Jun-2025 12:41 PM,11.pdf (433.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2913554,BIREN KUMAR PRADHAN,12-May-2025 03:54 PM,Rejected-AOC,Not Qualified in Lottery System.,22-Jun-2025 12:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2914638,DEBENDRA KISAN,13-May-2025 11:39 AM,Rejected-AOC,Not Qualified in Lottery System.,22-Jun-2025 12:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2914659,DHIREN KUMAR DEO,12-May-2025 11:22 PM,Accepted-AOC,Qualified in Lottery System.,22-Jun-2025 12:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2912776,Harena kumar Behera,12-May-2025 05:53 PM,Rejected-AOC,Not Qualified in Lottery System.,22-Jun-2025 12:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2912630,LALIT MITRA,12-May-2025 08:20 PM,Rejected-AOC,Not Qualified in Lottery System.,22-Jun-2025 12:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2913433,Lokanath sahu,12-May-2025 02:37 PM,Rejected-AOC,Not Qualified in Lottery System.,22-Jun-2025 12:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2916025,MITRAVANU BEHERA,13-May-2025 02:50 PM,Rejected-AOC,Not Qualified in Lottery System.,22-Jun-2025 12:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2913639,PRAMOD KUMAR PRADHAN,12-May-2025 04:33 PM,Rejected-AOC,Not Qualified in Lottery System.,22-Jun-2025 12:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2915421,RAJESH PAIKRAY,13-May-2025 12:38 PM,Rejected-AOC,Not Qualified in Lottery System.,22-Jun-2025 12:41 PM,,,,,,,AOC
