Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
05-Jun-2025,"INR 214,231",30.0,Rojalin Mishra,05-Jun-2025 11:50 AM,AOC.pdf (171.00 KB),79 p1 24-25 dtd 10.03.25,1.0,2772576.0,ARUNI MISHRA,INR,"214,231",CE RW I||RWCIRCLE-BHUBANESWAR||RW Division Nayagarh-II,2025_CERWI_109517_13,ONLINE TENDER 06/ RWD-II/2024-25,S/R to RI office at Chadeyapalli for 2024-25.,1,2773230,AJIT KUMAR JENA,24-Jan-2025 10:12 AM,Rejected-AOC,R,05-Jun-2025 11:51 AM,Finance,CS,Rojalin Mishra,04-Jun-2025 11:33 AM,finance_526212.pdf,BOQ Comparative Chart,"EE RWD-II,NAYAGARH",Internal,"DAO, AE ESTR",Rojalin Mishra,05-Jun-2025 11:44 AM,finsummary_526212.pdf (197.41 KB),"EE RWD-II,NAYAGARH",Internal,"DAO, AE ESTR",Rojalin Mishra,04-Jun-2025 11:45 AM,techsummary_526212.pdf (197.41 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GSTIN,RC etc as per DTCN",S/R to RI office at Chadeyapalli for 2024-25.,Bldg work,Please refer Tender documents. ,NA ,"2,52,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,NAYAGARH,752069.0,NA ,NA ,NA ,NAYAGARH,No ,No,"2,520",Yes,fixed,,Nil,Nil,17-Jan-2025 06:00 PM,28-Jan-2025 11:00 AM,17-Jan-2025 06:00 PM,27-Jan-2025 05:00 PM,17-Jan-2025 06:00 PM ,27-Jan-2025 01:00 PM ,17-Jan-2025 06:00 PM,27-Jan-2025 05:00 PM,"SE RWD-II,NAYAGARH",NEAR DRDA NGRH,"2,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BHUBANESWAR||RW Division Nayagarh-II,ONLINE TENDER 06/ RWD-II/2024-25,2025_CERWI_109517_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,2,2772576,ARUNI MISHRA,24-Jan-2025 07:01 PM,Accepted-AOC,AOC,05-Jun-2025 11:51 AM,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,3,2772657,ASWINI KUMAR BEHERA,26-Jan-2025 11:20 PM,Rejected-AOC,R,05-Jun-2025 11:51 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,2773266,BIRANCHI NARAYAN PATTANAYAK,24-Jan-2025 10:36 AM,Rejected-AOC,R,05-Jun-2025 11:51 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2773594,BIRANCHI NARAYAN PRADHAN,26-Jan-2025 07:14 PM,Rejected-AOC,R,05-Jun-2025 11:51 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2778442,JANARDAN NAYAK,27-Jan-2025 11:40 AM,Rejected-AOC,R,05-Jun-2025 11:51 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,2780172,KRUPASINDHU BEHERA,27-Jan-2025 12:25 PM,Rejected-AOC,R,05-Jun-2025 11:51 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,2773369,MAHABIR PRASAD DASH,26-Jan-2025 10:44 PM,Rejected-AOC,R,05-Jun-2025 11:51 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,2771537,MAHESWAR RANABHAT,22-Jan-2025 09:34 PM,Rejected-AOC,R,05-Jun-2025 11:51 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,2776847,MAKABULU KHAN,27-Jan-2025 11:19 AM,Rejected-AOC,R,05-Jun-2025 11:51 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,2779373,MANORANJAN JENA,27-Jan-2025 11:25 AM,Rejected-AOC,R,05-Jun-2025 11:51 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
