Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"Regd Certificate, GSTIN, PAN, Affidavits and other mandatory documents as per DTCN",1.0,ICICI BANK,SE Cuttack RandB Division No.I,O/O SE Cuttack RandB Division No.I Cuttack,13-Jun-2024 04:00 PM,25-Jun-2024 11:00 AM,13-Jun-2024 04:00 PM,24-Jun-2024 05:00 PM,NA ,NA ,13-Jun-2024 04:00 PM,24-Jun-2024 05:00 PM,"Fire Fighting and Alarm System at Physiology Building, SCBMCH, Cuttack",Fire fighting works,As per DTCN ,NA ,"13,20,847",Electrical Works,NA ,Tender,90.0,60.0,Cuttack,753001.0,NA ,NA ,NA ,O/O SE Cuttack RandB Division No.I Cuttack,No ,No,"6,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,SE CTC (RandB)-02 of 2024-25,2024_EICCL_103129_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"13,300",Yes,fixed,,Nil,Nil,AOC,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,2024_EICCL_103129_1,SE CTC (RandB)-02 of 2024-25,"Fire Fighting and Alarm System at Physiology Building, SCBMCH, Cuttack",Er Prabhas Kumar Majhi SE,Internal,Er Madhusmita Sahoo JE Estr Er Subhashree Subhasmita Das Mohapatra AEE Estr Mr Abadhut Das Sr DAO,Debendra Kumar Behera,18-Jun-2025 06:43 PM,finsummary_501426.pdf (1507.72 KB),Finance,5nos bids received,Pravas Kumar Majhi,26-Jun-2024 07:19 PM,,BOQ Comparative Chart,1.0,2500081.0,Starlight Enterprises,INR,"1,122,852",1,2499239,HAREKRUSHNA INDUSTRIES PROP. SURENDRA KUMAR JENA,24-Jun-2024 03:59 PM,Rejected-AOC,Rejected,18-Jun-2025 06:47 PM,18-Jun-2025,"INR 1,122,852",60.0,Debendra Kumar Behera,18-Jun-2025 06:46 PM,2024_EICCL_103129_1A.PDF (701.00 KB),The agency has been finalised on transparent lottery system and the date of commencement may be treated as 01.08.2024 to complete the work by 30.09.2024 in all respect,Er Pravash Kumar Majhi,Internal,Er Madhusmita Sahoo JE Estr Er Subhashree Subhasmita Das Mohapatra AEE Estr Mr Abadhut Das Sr DAO,Parsuram Sahu,23-Jul-2024 05:27 PM,techsummary_501426.pdf (607.00 KB),AOC
,,.xls,Bill of Quantities,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2497155,M/S FIRESTOP SALES AND SERVICES,24-Jun-2024 12:52 PM,Rejected-AOC,Rejected,18-Jun-2025 06:47 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2498098,SMART I TECHNOLOGIES,24-Jun-2024 03:03 PM,Rejected-AOC,Rejected,18-Jun-2025 06:47 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2500081,Starlight Enterprises,24-Jun-2024 04:24 PM,Accepted-AOC,Accepted,18-Jun-2025 06:47 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2498007,TEXTEL TECHNOLOGIES PRIVATE LIMITED,24-Jun-2024 11:04 AM,Rejected-AOC,Rejected,18-Jun-2025 06:47 PM,,,,,,,,,,,,,,AOC
