Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Construction of C.C. road and repair from Deula Sahi Chhak to Bangali Sahi and Dhoba Sahi in Ward No. 7.,Construction of C.C. road and repair from Deula Sahi Chhak to Bangali Sahi and Dhoba Sahi in Ward No. 7.,Please refer Tender documents. ,NA ,"7,13,100",Civil Works - Others,NA ,Tender,90.0,30.0,CMC,753012.0,NA ,NA ,NA ,"At Bikash Bhawan, Jagannathlane Badambadi",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAPER COST, EMD ONLINE,VAT, PAN, EPF REGISTRATION AND GST-IN CERTIFICATE OTHER DOCUMENTS AS PER DTCN",1.0,ICICI BANK,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-I_No.15/2024-25,2024_ORULB_106896_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,14-Nov-2024 06:30 PM,22-Nov-2024 11:00 AM,14-Nov-2024 06:30 PM,20-Nov-2024 05:00 PM,14-Nov-2024 06:30 PM ,20-Nov-2024 05:00 PM ,14-Nov-2024 06:30 PM,20-Nov-2024 05:00 PM,"4,720",0.0,Nil,Nil,No,"7,100",Yes,fixed,,Nil,Nil,"Executive Engineer, CD-I","At Bikash Bhawan, Jagannathlane Badambadi, Dist Cuttack, Pin-753012",AOC,Municipal Bodies||Cuttack Municipal Corporation,2024_ORULB_106896_6,MC(CMC)CTC_Div-I_No.15/2024-25,Construction of C.C. road and repair from Deula Sahi Chhak to Bangali Sahi and Dhoba Sahi in Ward No. 7.,Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,20-Jun-2025 01:01 PM,finsummary_516005.pdf (397.89 KB),Finance,Three bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Subas Chandra Sahoo,22-Nov-2024 04:35 PM,,BOQ Comparative Chart,1.0,2652017.0,CHANDRABATI BISWAL,INR,"606,136",20-Jun-2025,"INR 606,136",30.0,Subas Chandra Sahoo,20-Jun-2025 01:04 PM,5972.pdf (881.00 KB),Work Order,1,2652017,CHANDRABATI BISWAL,19-Nov-2024 11:23 AM,Accepted-AOC,Accepted,20-Jun-2025 01:04 PM,Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,20-Jun-2025 12:57 PM,techsummary_516005.pdf (397.89 KB),AOC
,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2656317,RAHUL KUMAR SWAIN,20-Nov-2024 04:09 PM,Rejected-AOC,Rejected,20-Jun-2025 01:04 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2655856,SANJAY KUMAR SETHY(SC),20-Nov-2024 01:27 PM,Rejected-AOC,Rejected,20-Jun-2025 01:04 PM,,,,,,,AOC
