Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
Municipal Bodies||Bhawanipatna Municipality,BPM/02/2025-26,2025_ORULB_113631_30,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,21-May-2025 02:00 PM,30-May-2025 05:00 PM,21-May-2025 02:00 PM,30-May-2025 04:00 PM,NA ,NA ,21-May-2025 02:00 PM,30-May-2025 04:00 PM,"4,000",0.0,Nil,Nil,No,Construction of Paver road from Durga Mandap front to Prabhakar tripathy house in Ward No. 19,Construction of Paver road from Durga Mandap front to Prabhakar tripathy house in Ward No. 19,Please refer Tender documents. ,NA ,"5,35,593",Civil Works - Others,NA ,Tender,90.0,30.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","5,400",Yes,fixed,,Nil,Nil,AOC,Chairperson,Internal,,Pratik Rath,26-Jun-2025 09:13 AM,techsummary_540440.pdf (1957.09 KB),Chairperson,Mixed,,Pratik Rath,26-Jun-2025 11:26 AM,finsummary_540440.pdf (1957.09 KB),Finance,accepted,BANAMALI MEHER,31-May-2025 07:37 PM,,BOQ Comparative Chart,1,2931745,AKASH AGRAWAL,28-May-2025 02:09 PM,Rejected-AOC,L2,26-Jun-2025 11:29 AM,1.0,2933080.0,LAXMIPRIYA SABAR,INR,"500,834.73",Municipal Bodies||Bhawanipatna Municipality,2025_ORULB_113631_30,BPM/02/2025-26,Construction of Paver road from Durga Mandap front to Prabhakar tripathy house in Ward No. 19,26-Jun-2025,"INR 500,834.73",30.0,Pratik Rath,26-Jun-2025 11:29 AM,46Proceeding.pdf (1957.00 KB),AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2941087,ANMOL AGRAWAL,30-May-2025 03:50 AM,Rejected-Finance,L3,26-Jun-2025 11:26 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2941847,DEBENDRA KUMAR NAIK,30-May-2025 08:33 AM,Rejected-Finance,L3,26-Jun-2025 11:26 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,2933080,LAXMIPRIYA SABAR,27-May-2025 10:02 PM,Accepted-AOC,AWARDED,26-Jun-2025 11:29 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,2940605,LINGARAJ DEEP,29-May-2025 06:25 PM,Rejected-Finance,L3,26-Jun-2025 11:26 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,2940413,PRADEEP KUMAR NAIK,30-May-2025 02:18 PM,Rejected-Finance,L3,26-Jun-2025 11:26 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,2942967,PRITAM KUMAR NEGI,30-May-2025 02:29 PM,Rejected-Finance,L3,26-Jun-2025 11:26 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,2942120,RANJAYA KUMAR THAKUR,30-May-2025 10:45 AM,Rejected-Finance,L3,26-Jun-2025 11:26 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,2941626,RUPALI MAHAPATRO,29-May-2025 11:25 PM,Rejected-Finance,L3,26-Jun-2025 11:26 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,2941089,Santosh Kumar Panigrahi,30-May-2025 02:01 AM,Rejected-Finance,L3,26-Jun-2025 11:26 AM,,,,,,,,,,,,,,,,AOC
