S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"DD,EMD,AFFIDAVIT,RC, PAN NO,GST NUMBER AND OTHER DOCUMENTS AS PER DTCN",Special Repair of O.I.C Qr. at Belpada for the year 2024-25,Special Repair of O.I.C Qr. at Belpada for the year 2024-25,Please refer Tender documents. ,NA ,"3,39,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Patnagarh,767025.0,NA ,NA ,NA ,"O/o the Executive Engineer, R.W.Division,Patnagarh",No ,No,"Executive Engineer, R.W.Division,Patnagarh","O/o the Executive Engineer, R.W.Division,Patnagarh","3,390",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,EEPTNG-online-10/2024-25,2025_CERWI_109212_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,08-Jan-2025 05:00 PM,21-Jan-2025 11:00 AM,08-Jan-2025 05:00 PM,20-Jan-2025 05:00 PM,08-Jan-2025 05:00 PM ,18-Jan-2025 05:00 PM ,08-Jan-2025 05:00 PM,20-Jan-2025 05:00 PM,AOC,Executive Engineer,Internal,"Executive Engineer,DAO,Estimator",Bebisuta Sahu,16-Apr-2025 06:31 PM,finsummary_524627.pdf (488.04 KB),CE RW I||RWCIRCLE-BALANGIR||RW Division Patnagarh,2025_CERWI_109212_6,EEPTNG-online-10/2024-25,Special Repair of O.I.C Qr. at Belpada for the year 2024-25,1.0,2750005.0,NARENDRA PANIKA,INR,"288,194",Finance,15 nos bid opened,Bebisuta Sahu,16-Apr-2025 06:16 PM,finance_524627.pdf,BOQ Comparative Chart,10-Jun-2025,"INR 288,194",30.0,Barsha Rani Pagada,13-Jun-2025 06:23 PM,844.pdf (564.00 KB),1,2764224,ABHISHEK SARAF,19-Jan-2025 12:49 PM,Rejected-Finance,Unsucessful bidder in tranparent lottery system,16-Apr-2025 06:31 PM,Executive Engineer,Internal,"Executive Engineer,DAO,Estimator",Bebisuta Sahu,16-Apr-2025 06:18 PM,techsummary_524627.pdf (488.04 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2763891,BHOLANATH MEHER,18-Jan-2025 07:15 PM,Rejected-Finance,Unsucessful bidder in tranparent lottery system,16-Apr-2025 06:31 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2764079,BIBEK KUMAR AGRAWALA,19-Jan-2025 03:39 PM,Rejected-Finance,Unsucessful bidder in tranparent lottery system,16-Apr-2025 06:31 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2758711,DILLIP KUMAR BISWAL,17-Jan-2025 12:33 PM,Rejected-Finance,Unsucessful bidder in tranparent lottery system,16-Apr-2025 06:31 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2767001,MAA TARINI CONSTRUCTION PROPRIETOR SNEHALATA MAJHI (S.T),20-Jan-2025 04:49 PM,Rejected-Finance,Unsucessful bidder in tranparent lottery system,16-Apr-2025 06:31 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2750005,NARENDRA PANIKA,15-Jan-2025 11:14 AM,Accepted-AOC,Successful bidder,13-Jun-2025 06:25 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2763259,PINKU MEHER,18-Jan-2025 07:10 PM,Rejected-Finance,Unsucessful bidder in tranparent lottery system,16-Apr-2025 06:31 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2763851,PRABIR KUMAR MAHAKHUD,18-Jan-2025 07:02 PM,Rejected-Finance,Unsucessful bidder in tranparent lottery system,16-Apr-2025 06:31 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2753914,raghunath purohit,16-Jan-2025 04:35 PM,Rejected-Finance,Unsucessful bidder in tranparent lottery system,16-Apr-2025 06:31 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2764618,RAJIB KUMAR HOTA,19-Jan-2025 10:35 PM,Rejected-Finance,Unsucessful bidder in tranparent lottery system,16-Apr-2025 06:31 PM,,,,,,,AOC
