Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Rourkela Municipal Corporation,2024_RMC_107691_9,MC/RMC/38/2024,"Renovation and Construction of Drain and Road at Shanti Nagar Ward No 12, RMC, Rourkela.",Commissioner,External,"Audit Officer, Executive Engineer, Joint Commissioner",Birendra Nanda,30-Jun-2025 04:21 PM,finsummary_518447.pdf (1146.55 KB),30-Jun-2025,"INR 232,682.87",45.0,Birendra Nanda,30-Jun-2025 04:43 PM,MCM38.pdf (1147.00 KB),Awarded to Ganesh Construction,1.0,2690549.0,GANESH CONSTRUCTION PROP. GANESH SAHOO,INR,"232,682.87",Finance,EMD refund,Birendra Nanda,29-Jan-2025 05:04 PM,finance_518447.pdf,BOQ Comparative Chart,Commissioner,External,"Joint Commissioner, Executive Engineer, Audit Officer",Birendra Nanda,29-Jan-2025 05:28 PM,techsummary_518447.pdf (1146.55 KB),1,2690140,BIKRANT SAHOO,09-Dec-2024 02:49 PM,Rejected-Technical,By The Tender Committee,29-Jan-2025 05:28 PM,AOC,"2,740",Yes,fixed,,Nil,Nil,28-Nov-2024 06:00 PM,10-Dec-2024 11:00 AM,28-Nov-2024 06:00 PM,09-Dec-2024 05:00 PM,NA ,NA ,28-Nov-2024 06:00 PM,09-Dec-2024 05:00 PM,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela","Renovation and Construction of Drain and Road at Shanti Nagar Ward No 12, RMC, Rourkela.",work,Please refer Tender documents. ,NA ,"2,74,000",Civil Works - Others,NA ,Tender,90.0,45.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, EMD, Paper Cost and other Documents as per DTCN",Rourkela Municipal Corporation,MC/RMC/38/2024,2024_RMC_107691_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2690549,GANESH CONSTRUCTION PROP. GANESH SAHOO,09-Dec-2024 04:58 PM,Accepted-AOC,By The Tender Committee,30-Jun-2025 04:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2690106,SANDEEP KUMAR SAMAL,09-Dec-2024 02:35 PM,Rejected-Technical,By The Tender Committee,29-Jan-2025 05:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
