Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
SUPERINTENDING ENGINEER,"O/o Superintending Engineer,M.I.Division,Gajapati","34,600",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,29-Jan-2025 10:00 AM,10-Feb-2025 11:00 AM,29-Jan-2025 10:00 AM,07-Feb-2025 05:00 PM,29-Jan-2025 10:00 AM ,07-Feb-2025 05:00 PM ,29-Jan-2025 10:00 AM,07-Feb-2025 05:00 PM,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM II",MIDGJP-11/2024-25,2025_CEMIB_109793_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Scan copy of valid RC Active Certificate GSTN PAN Affidavit and other documents as per DTC,Construction of Rajpatu Nalla Check Dam at Singi Bhuyain in Rayagada block of Gajapati district under MATY Scheme 2024-25,Construction of Rajpatu Nalla Check Dam at Singi Bhuyain in Rayagada block of Gajapati district under MATY Scheme 2024-25,AS PER DTCN ,NA ,"34,60,113",Civil Works - Others,NA ,Tender,90.0,60.0,Rayagada,761213.0,NA ,NA ,NA ,"O/o Superintending Engineer,M.I.Division,Gajapati",No ,No,AOC,1,2799890,BALAGA CHAKRAVARTHI,07-Feb-2025 09:41 AM,Rejected-AOC,UNSUCCESSFULY,16-Jun-2025 01:13 PM,16-Jun-2025,"INR 3,460,113.28",60.0,KIRAN KUMAR SUBUDHY,16-Jun-2025 01:13 PM,AOC4.pdf (1198.00 KB),KIRAN SUBUDHY,Internal,,KIRAN KUMAR SUBUDHY,16-Jun-2025 12:56 PM,techsummary_527417.pdf (636.94 KB),"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM II",2025_CEMIB_109793_4,MIDGJP-11/2024-25,Construction of Rajpatu Nalla Check Dam at Singi Bhuyain in Rayagada block of Gajapati district under MATY Scheme 2024-25,KIRAN SUBUDHY,Internal,,KIRAN KUMAR SUBUDHY,16-Jun-2025 01:05 PM,finsummary_527417.pdf (1358.43 KB),Finance,16 ARE BIDDER PARTICIPATED IN THIS TENDER,KIRAN KUMAR SUBUDHY,16-Jun-2025 12:50 PM,,BOQ Comparative Chart,1.0,2799930.0,SAROJ PATRA,INR,"2,941,442.3",AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,2,2800172,BINNALA VIJAYA BABU,06-Feb-2025 12:17 PM,Rejected-AOC,UNSUCCESSFULY,16-Jun-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2800306,CHITTA RANJAN PARIDA,06-Feb-2025 12:21 PM,Rejected-AOC,UNSUCCESSFULY,16-Jun-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2801986,CHUMUKI PANIGRAHY,07-Feb-2025 10:21 AM,Rejected-AOC,UNSUCCESSFULY,16-Jun-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2792945,D.HARISH KUMAR,01-Feb-2025 04:07 PM,Rejected-AOC,UNSUCCESSFULY,16-Jun-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2800792,Gopal Krishna Mahapatro,06-Feb-2025 03:43 PM,Rejected-AOC,UNSUCCESSFULY,16-Jun-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2800208,GOTTIPILLI NABIN,06-Feb-2025 03:52 PM,Rejected-AOC,UNSUCCESSFULY,16-Jun-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2797163,MANDALA SANKAR RAO,06-Feb-2025 07:20 PM,Rejected-AOC,UNSUCCESSFULY,16-Jun-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2795717,P MUTTI RAJU,03-Feb-2025 08:29 PM,Rejected-AOC,UNSUCCESSFULY,16-Jun-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2801632,PRASANTA KUMAR JENA,06-Feb-2025 10:19 PM,Rejected-AOC,UNSUCCESSFULY,16-Jun-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
