Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Municipal Bodies||Bhawanipatna Municipality,BPM/02/2025-26,2025_ORULB_113631_33,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"4,000",0.0,Nil,Nil,No,"8,500",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY",21-May-2025 02:00 PM,30-May-2025 05:00 PM,21-May-2025 02:00 PM,30-May-2025 04:00 PM,NA ,NA ,21-May-2025 02:00 PM,30-May-2025 04:00 PM,Construction of Culvert and C.C plate at different places of Bhawanipatna Municipality,Construction of Culvert and C.C plate at different places of Bhawanipatna Municipality,Please refer Tender documents. ,NA ,"8,44,915",Civil Works - Others,NA ,Tender,90.0,30.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,AOC,Chairperson,Internal,,Pratik Rath,26-Jun-2025 08:03 AM,techsummary_540447.pdf (1957.09 KB),Chairperson,Mixed,,Pratik Rath,30-Jun-2025 10:10 PM,finsummary_540447.pdf (1957.09 KB),Finance,accepted,BANAMALI MEHER,01-Jun-2025 08:51 AM,,BOQ Comparative Chart,30-Jun-2025,"INR 718,232.21",30.0,Pratik Rath,30-Jun-2025 10:25 PM,46Proceeding.pdf (1957.00 KB),1,2931758,AKASH AGRAWAL,28-May-2025 02:10 PM,Rejected-Finance,L3,30-Jun-2025 10:10 PM,1.0,2940642.0,LINGARAJ DEEP,INR,"718,232.21",Municipal Bodies||Bhawanipatna Municipality,2025_ORULB_113631_33,BPM/02/2025-26,Construction of Culvert and C.C plate at different places of Bhawanipatna Municipality,AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2937210,Anubhab Mishra,29-May-2025 02:17 PM,Rejected-Finance,L3,30-Jun-2025 10:10 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,2931722,DHANANJAYA MAHANANDA,27-May-2025 01:05 PM,Rejected-Finance,L3,30-Jun-2025 10:10 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,2940191,HARI SHANKAR PATNAIK,29-May-2025 11:21 PM,Rejected-Finance,L3,30-Jun-2025 10:10 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,2932604,JANAKI PUJHARI,28-May-2025 03:42 PM,Rejected-Finance,L3,30-Jun-2025 10:10 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,2937432,KIRAN KUMAR SAHU,29-May-2025 06:37 PM,Rejected-Finance,L3,30-Jun-2025 10:10 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,2933074,LAXMIPRIYA SABAR,27-May-2025 09:52 PM,Rejected-Finance,L3,30-Jun-2025 10:10 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,2940642,LINGARAJ DEEP,29-May-2025 06:38 PM,Accepted-AOC,AWARDED,30-Jun-2025 10:25 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,2936912,M/s BHARAT BHUSHAN GAHIR,30-May-2025 12:28 AM,Rejected-Finance,L3,30-Jun-2025 10:10 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,2942974,Nabin Kumar Rout,30-May-2025 02:29 PM,Rejected-Finance,L3,30-Jun-2025 10:10 PM,,,,,,,,,,AOC
