EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"23,670",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,27-Feb-2025 06:00 PM,07-Mar-2025 11:30 AM,27-Feb-2025 06:00 PM,06-Mar-2025 05:00 PM,27-Feb-2025 06:00 PM ,04-Mar-2025 04:00 PM ,27-Feb-2025 06:00 PM,06-Mar-2025 05:00 PM,1.0,ICICI BANK,Executive Engineer RWD Balliguda,Executive Engineer RWD Balliguda,CE RW I||RWCIRCLE-BERHAMPUR||EE RW Divn. Baliguda,Online Tender/04/EERWD/BLG-2024-25,2025_CERWI_111185_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Govt. Homoeopathy Dispensary Building at Greenbadi under Daringbadi Block in the District of Kandhamal for the year 2024-25.,Construction of Govt. Homoeopathy Dispensary Building at Greenbadi under Daringbadi Block in the District of Kandhamal for the year 2024-25.,Please refer Tender documents. ,NA ,"23,72,045",Civil Works - Buildings,NA ,Tender,90.0,180.0,Balliguda/Kandhamal,762103.0,NA ,NA ,NA ,Executive Engineer RWD Balliguda,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Contract Registration Certificate, GSTIN, PAN CARD, Affidavit, cost of Tender Paper as per",AOC,EE/DAO,Internal,EE/DAO,Srikrushna Sabar,17-Jun-2025 05:34 PM,finsummary_531638.pdf (591.99 KB),CE RW I||RWCIRCLE-BERHAMPUR||EE RW Divn. Baliguda,2025_CERWI_111185_1,Online Tender/04/EERWD/BLG-2024-25,Construction of Govt. Homoeopathy Dispensary Building at Greenbadi under Daringbadi Block in the District of Kandhamal for the year 2024-25.,1.0,2846009.0,PRATIMA ENTERPRISES,INR,"2,016,475",Finance,"Successful bidder Pratima Enterprises, C Class Contractor declared as winner in lottery",Srikrushna Sabar,17-Jun-2025 05:05 PM,finance_531638.pdf,BOQ Comparative Chart,1,2845118,BILARSEN PARASETH,05-Mar-2025 07:34 PM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 05:34 PM,17-Jun-2025,"INR 2,016,475",180.0,Srikrushna Sabar,17-Jun-2025 05:40 PM,Work.pdf (592.00 KB),"Successful bidder Pratima Enterprises, C Class Contractor declared as winner in lottery",EE/DAO,Internal,EE/DAO,Srikrushna Sabar,17-Jun-2025 05:27 PM,techsummary_531638.pdf (591.99 KB),AOC
,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Bid Security Declaration Form,Valid Email ID and Valid WhatsApp No. is Mandatory",AOC,,,,,,,,,,,,,,,,,,,,,,2,2845960,CH MOHAN PRASAD SUBUDHI,06-Mar-2025 02:54 PM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 05:34 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,NIT,AOC,,,,,,,,,,,,,,,,,,,,,,3,2843898,ELAKANA PRADHAN,04-Mar-2025 10:45 AM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 05:34 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,AOC,,,,,,,,,,,,,,,,,,,,,,4,2844639,GANGADHAR SAHU,05-Mar-2025 12:33 PM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 05:34 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,AOC,,,,,,,,,,,,,,,,,,,,,,5,2845885,HERO WANI JENA,06-Mar-2025 03:01 PM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 05:34 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2845383,MAHESWAR SAHU,06-Mar-2025 08:18 AM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 05:34 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2846009,PRATIMA ENTERPRISES,06-Mar-2025 03:40 PM,Accepted-AOC,"Successful bidder Pratima Enterprises, C Class Contractor declared as winner in lottery",17-Jun-2025 05:40 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2845326,Sagar Kumar Patra,06-Mar-2025 12:17 AM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 05:34 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2844103,SANJAYA KUMAR GOUDA,04-Mar-2025 01:47 PM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 05:34 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2844090,SANTOSH KUMAR GOUDA,04-Mar-2025 01:38 PM,Rejected-Finance,Unsuccessful bidder,17-Jun-2025 05:34 PM,,,,,,,,,,,,,,AOC
