S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"SE R AND B DIVISION, SUNDARGARH","O/O the SE R AND B DIVISION, SUNDARGARH",1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD ,Licence ,PAN,GSTIN, Affidavit,Schedule-A, Machinery MoU with Electrical Contractor",05-Nov-2024 10:00 AM,26-Nov-2024 11:00 AM,05-Nov-2024 10:00 AM,25-Nov-2024 05:00 PM,05-Nov-2024 10:00 AM ,22-Nov-2024 05:00 PM ,05-Nov-2024 10:00 AM,25-Nov-2024 05:00 PM,19-Mar-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,"70,430",Yes,percentage,1.0%,Nil,Nil,1.0,"Construction of Paddy Procurement Centre , Open Platform, Farmers Rest Shed AND Compound Wall at Kusumura PPC , Kusumura LAMPCS under Balisankara Block for the year 2024.25.",Date,,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-SUNDERGARH,Bid Identification No-SE-RandB-SNG-31 OF 2024-25,2024_EICCL_106400_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Construction of Paddy Procurement Centre , Open Platform, Farmers Rest Shed AND Compound Wall at Kusumura PPC , Kusumura LAMPCS under Balisankara Block for the year 2024.25.","Construction of Paddy Procurement Centre , Open Platform, Farmers Rest Shed AND Compound Wall at Kusumura PPC , Kusumura LAMPCS under Balisankara Block for the year 2024.25.",Please refer Tender documents. ,NA ,"70,42,981",Civil Works - Buildings,NA ,Tender,90.0,90.0,Sundargarh,770001.0,NA ,NA ,NA ,"O/O the SE R AND B DIVISION, SUNDARGARH",No ,No,AOC,03-Jun-2025,"INR 5,987,238.08",90.0,Swagatika Naik,03-Jun-2025 09:00 PM,kusumura.pdf (412.00 KB),Work order copy,1,2647468,BIJAY KUMAR BEHERA,15-Nov-2024 05:33 PM,Accepted-AOC,1st Lowest,03-Jun-2025 09:00 PM,SEDAOAEEAE,Internal,SEDAOAEEAE,Swagatika Naik,17-Mar-2025 06:33 PM,19-Mar-2025 11:00 AM,techsummary_514403.pdf (284.10 KB),Finance,Work order copy,Swagatika Naik,03-Jun-2025 08:54 PM,finance_514403.pdf,BOQ Comparative Chart,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-SUNDERGARH,2024_EICCL_106400_3,Bid Identification No-SE-RandB-SNG-31 OF 2024-25,"Construction of Paddy Procurement Centre , Open Platform, Farmers Rest Shed AND Compound Wall at Kusumura PPC , Kusumura LAMPCS under Balisankara Block for the year 2024.25.",Technical,Work order copy,Swagatika Naik,17-Mar-2025 06:31 PM,technical_514403.pdf,SEDAOAEEAE,Internal,SEDAOAEEAE,Swagatika Naik,03-Jun-2025 08:57 PM,finsummary_514403.pdf (412.42 KB),1.0,2647468.0,BIJAY KUMAR BEHERA,INR,"5,987,238.08",AOC
2.0,ICICI NEFT/RTGS,,,,,.pdf,Schedule-A and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2664399,MINAKETAN GARDIA,25-Nov-2024 03:35 PM,Rejected-Technical,Proper Documents not submitted,17-Mar-2025 06:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2658526,PRIYADARSHI RANA,21-Nov-2024 05:35 PM,Rejected-AOC,Accepted,03-Jun-2025 09:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2664436,SANTOSH KUMAR KUMURA,25-Nov-2024 03:41 PM,Rejected-AOC,Accepted,03-Jun-2025 09:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2656909,SD INFRA AND PROJECT PROPRIETOR SUMIT DUNGDUNG,25-Nov-2024 12:39 PM,Rejected-AOC,Accepted,03-Jun-2025 09:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
