S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
1,ICICI BANK,Constn. of Road and drain with cover slab from Prasanta Mohapatra Res to Sadhu Tarai Res (Deban Das Colony) in W.N-31,Constn. of Road and drain with cover slab from Prasanta Mohapatra Res to Sadhu Tarai Res (Deban Das Colony) in W.N-31,Please refer Tender documents. ,NA ,"14,66,102",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756001.0,NA ,NA ,NA ,Balasore Municipality,No ,No,1.0,REVISED DTCN,Technical Bid,,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"Executive Officer, Balasore Municipality",Balasore Municipality Office,Municipal Bodies||Balasore Municipality,BM_06_2024_25,2025_ORULB_111643_114,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,17-Mar-2025 05:00 PM,27-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,NA ,NA ,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,"14,661",Yes,percentage,1.0%,Nil,Nil,AOC,1,2868741,Sarat Chandra Moharana,26-Mar-2025 10:40 AM,Accepted-AOC,WO,09-Jun-2025 12:19 PM,Municipal Bodies||Balasore Municipality,2025_ORULB_111643_114,BM_06_2024_25,Constn. of Road and drain with cover slab from Prasanta Mohapatra Res to Sadhu Tarai Res (Deban Das Colony) in W.N-31,EO CP ME AE,Internal,,Pradeep Kumar Nayak,09-Jun-2025 12:13 PM,finsummary_533263.pdf (478.67 KB),1.0,2868741.0,Sarat Chandra Moharana,INR,"1,433,115.11",Finance,Tender opened successfully,Pradeep Kumar Nayak,27-Mar-2025 05:24 PM,,BOQ Comparative Chart,EO CP ME AE,Internal,,Pradeep Kumar Nayak,06-Jun-2025 01:28 PM,techsummary_533263.pdf (478.67 KB),09-Jun-2025,"INR 1,466,102",60.0,Pradeep Kumar Nayak,09-Jun-2025 12:19 PM,WO06114.pdf (362.00 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2868745,Sumitra Maharana,26-Mar-2025 10:46 AM,Rejected-Technical,L2,06-Jun-2025 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
