S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2897446.0,NIRAJ SINGH THAKUR,INR,"8,118,893",Technical,20 nos. bidders are participate and all are admitted,Rudra Narayan Behera,29-Apr-2025 12:52 PM,technical_536670.pdf,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-SONEPUR,2025_EICCL_112534_1,SE/R AND B/ SNPR / 01 / 2025-26,P/R to Sambalpur-Sonepur Road (SH-15) such as Patch Repair with SDBC from 50/00 to 72/00 Km and Installation of PVC Speed Check System with Cautionary Sign Board in the District of Subarnapur,"A. Sahoo, SE",Internal,"A. Kumar, DAO, R. N. Behera, JE (Estimator)",Bishwojit Das,10-Jun-2025 11:46 AM,finsummary_536670.pdf (175.59 KB),"A. Sahoo, SE",Internal,"A. Kumar, DAO, R. N. Behera, JE (Estimator)",Rudra Narayan Behera,02-May-2025 05:18 PM,02-May-2025 05:25 PM,techsummary_536670.pdf (393.28 KB),Finance,18 nos. bidders are participate and all are Admitted,Rudra Narayan Behera,02-May-2025 05:53 PM,finance_536670.pdf,BOQ Comparative Chart,10-Jun-2025,"INR 8,118,893",30.0,Bishwojit Das,10-Jun-2025 11:52 AM,wo.pdf (271.00 KB),Work Order,1,2897807,ABINASH KUDEI,28-Apr-2025 12:39 PM,Rejected-AOC,Rejected for lottery system,10-Jun-2025 11:52 AM,AOC,"10,000",0.0,Nil,Nil,No,Superintending Engineer,"O/O SE (RandB) Division, Sonepur",1.0,Fee/PreQual/Technical,.pdf,"Tender cost (Online), EMD (online), GST Certificate, PAN Contractor RC",1.0,ICICI BANK,"95,600",Yes,fixed,,Nil,Nil,17-Apr-2025 10:00 AM,29-Apr-2025 11:00 AM,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,17-Apr-2025 10:00 AM ,22-Apr-2025 05:00 PM ,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,02-May-2025 05:25 PM,EIC-CIVIL||SERNB-CIRCLE-BOLANGIR||EERNB-DIVISION-SONEPUR,SE/R AND B/ SNPR / 01 / 2025-26,2025_EICCL_112534_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,P/R to Sambalpur-Sonepur Road (SH-15) such as Patch Repair with SDBC from 50/00 to 72/00 Km and Installation of PVC Speed Check System with Cautionary Sign Board in the District of Subarnapur,S/R to Sambalpur-Sonepur Road (SH-15) such as Patch Repair with SDBC from 50/00 to 72/00 Km and Installation of PVC Speed Check System with Cautionary Sign Board in the District of Subarnapur,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,30.0,Sonepur,767017.0,"O/O SE (RandB) Division, Sonepur ","O/O SE (RandB) Division, Sonepur ",26-Apr-2025 11:00 AM ,Sonepur,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2892501,ABINASH MISHRA,24-Apr-2025 06:46 PM,Rejected-AOC,Rejected for lottery system,10-Jun-2025 11:52 AM,AOC,,,,,,,,,,.pdf,"Affidavits, undertakings and any other document as per SBD / DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2897300,AMAN ULLA KHAN,28-Apr-2025 12:04 AM,Rejected-AOC,Rejected for lottery system,10-Jun-2025 11:52 AM,AOC,,,,,,,,2.0,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2897582,Asit Prakash Samantara,28-Apr-2025 11:34 AM,Rejected-AOC,Rejected for lottery system,10-Jun-2025 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2897659,BIKASH KUMAR SAHU,28-Apr-2025 11:56 AM,Rejected-AOC,Rejected for lottery system,10-Jun-2025 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2898094,Lalita Mohanty,28-Apr-2025 02:05 PM,Rejected-AOC,Rejected for lottery system,10-Jun-2025 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2898338,Mahesh Kumar Agrawal,28-Apr-2025 03:48 PM,Rejected-AOC,Rejected for lottery system,10-Jun-2025 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2897449,Minakshi Mishra,28-Apr-2025 01:58 PM,Rejected-AOC,Rejected for lottery system,10-Jun-2025 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2897908,M/S AYAAN VENTURES,28-Apr-2025 01:07 PM,Rejected-AOC,Rejected for lottery system,10-Jun-2025 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2897866,"M/s. SHYAMJI ASSOCIATES, PROPRIETOR-ANJU AGRAWAL",28-Apr-2025 12:56 PM,Rejected-AOC,Rejected for lottery system,10-Jun-2025 11:52 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
