Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
06-Jun-2025,"INR 331,515.96",30.0,Amit Prasan Kiro,06-Jun-2025 10:50 AM,Agreement.PDF (97.00 KB),The qualified bidder selected through transparent lottery system.,CE RW I||RWCIRCLE-SUNABEDA||RW Division Gunupur,2025_CERWI_109142_24,SERWGNP-Online-03/2024-25,Repair and Maintenance of Ayurvedic Dispensary building at Dabarakona in the district of Rayagada for the year 2024-25.,1.0,2754048.0,Gopal Krushna Satapathy,INR,"331,515.96",1,2756775,ALLAPA BISWESWARA RAO,16-Jan-2025 11:58 PM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:50 AM,Finance,Tender Open,Amit Prasan Kiro,06-Jun-2025 10:17 AM,finance_524244.pdf,BOQ Comparative Chart,Amit Prasan Kiro,Internal,"SE,DAO,Estimator",Amit Prasan Kiro,06-Jun-2025 10:29 AM,finsummary_524244.pdf (143.05 KB),Amit Prasan Kiro,Internal,"SE,DAO,Estimator",Amit Prasan Kiro,06-Jun-2025 10:21 AM,techsummary_524244.pdf (143.05 KB),AOC,"3,900",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"Superintending Engineer, R.W. Division,Gunupur","O/o Superintending Engineer, R.W. Division,Gunupur",1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN, PAN CARD, LICENCE, AFFIDAVIT","2,000",0.0,Nil,Nil,No,Repair and Maintenance of Ayurvedic Dispensary building at Dabarakona in the district of Rayagada for the year 2024-25.,Repair and Maintenance of Ayurvedic Dispensary building at Dabarakona in the district of Rayagada for the year 2024-25.,NA ,NA ,"3,89,973",Civil Works - Buildings,NA ,Tender,90.0,30.0,Gunupur,765022.0,NA ,NA ,NA ,"O/o Superintending Engineer, R.W. Division,Gunupur",No ,No,07-Jan-2025 10:00 AM,18-Jan-2025 11:00 AM,07-Jan-2025 10:00 AM,17-Jan-2025 05:00 PM,NA ,NA ,07-Jan-2025 10:00 AM,17-Jan-2025 05:00 PM,CE RW I||RWCIRCLE-SUNABEDA||RW Division Gunupur,SERWGNP-Online-03/2024-25,2025_CERWI_109142_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Paper cost regarding,Fee,,AOC
,,,,,,,,,,,,,,,,2,2756335,ASHOK NAIR,16-Jan-2025 05:24 PM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,2756064,BALAJI BAURI (SC),17-Jan-2025 01:44 PM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,2752795,BIJAYA JAGERANGA,15-Jan-2025 06:59 PM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2756195,DIPAK KUMAR SETHY,16-Jan-2025 05:05 PM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2754048,Gopal Krushna Satapathy,17-Jan-2025 12:32 AM,Accepted-AOC,Lottery Winner,06-Jun-2025 10:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,2758452,HUTTASAN APPATO,17-Jan-2025 11:56 AM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,2757754,JAYADEBA PANIGRAHY,17-Jan-2025 01:09 AM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,2757962,Jeetendra Goudo,17-Jan-2025 11:38 AM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,2745652,K NAGABHUSANA PATNAIK,16-Jan-2025 10:25 PM,Rejected-AOC,Unsuccessful Lottery,06-Jun-2025 10:50 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
