S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,ICICI BANK,"Constn. of 6 Nos. F type Qtr. at Nirakarpur, Khurda",Building Work,Please refer Tender documents  ,NA ,"1,53,57,129",Civil Works - Buildings,NA ,Tender,90.0,365.0,Khurda,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,Orissa State Police Housing and Welfare Corporation Ltd,15/OPHWC/2024-25,2025_OSPHW_110660_24,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,14-Feb-2025 06:55 PM,01-Mar-2025 10:30 AM,14-Feb-2025 06:55 PM,28-Feb-2025 05:00 PM,NA ,NA ,14-Feb-2025 06:55 PM,28-Feb-2025 05:00 PM,24-Apr-2025 10:30 AM,"11,800",0.0,Nil,Nil,No,"1,53,600",Yes,fixed,,Nil,Nil,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",AOC,Technical,THREE BIDDER HAVE PARTICIAPTED,Bikram Keshari Malla,05-Mar-2025 11:32 AM,,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,16-Jun-2025 06:42 PM,finsummary_530218.pdf (419.96 KB),Finance,financial bid open and comparative generated,Bikram Keshari Malla,24-Apr-2025 11:01 AM,,BOQ Comparative Chart,AS PER TC MINUTES,Internal,AS PER TC MINUTES,BIBHUTI BHUSHAN NAIK,23-Apr-2025 06:09 PM,24-Apr-2025 10:30 AM,techsummary_530218.pdf (302.82 KB),16-Jun-2025,"INR 13,652,487.57",365.0,Bikram Keshari Malla,16-Jun-2025 06:45 PM,WORKORDER2.pdf (548.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 31.05.2025,1,2840993,JAGADEV ROUTRAY,28-Feb-2025 11:15 AM,Rejected-Finance,L1 BIDDER BUT LOWEST TURNOVER,16-Jun-2025 06:42 PM,1.0,2836376.0,SUBRAT KALAS,INR,"13,652,487.57",Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_110660_24,15/OPHWC/2024-25,"Constn. of 6 Nos. F type Qtr. at Nirakarpur, Khurda",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2836376,SUBRAT KALAS,28-Feb-2025 12:24 PM,Accepted-AOC,QUALIFIED BIDDER,16-Jun-2025 06:45 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2841163,SUJIT KUMAR JENA,28-Feb-2025 03:34 PM,Rejected-Finance,DUE TO L2 BIDDER,16-Jun-2025 06:42 PM,,,,,,,,,,AOC
