S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
1.0,2880876.0,PNP CONSTRUCTION,INR,"1,859,317",Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,2025_RWSS_112120_4,BID NO 24 OF 2024 -25,"Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village RR Colony Dhulusar, Ghutupali, Saraspita under Balangir Block in Balangir District",ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,20-Jun-2025 12:39 PM,techsummary_535126.pdf (1991.17 KB),20-Jun-2025,"INR 2,187,174",45.0,Khagendra Barik,20-Jun-2025 12:49 PM,dhulusar.pdf (1991.00 KB),L1 BIDDER HAS RESPOND,Finance,BID HAS BEEN OPENED,Khagendra Barik,12-Apr-2025 11:23 AM,finance_535126.pdf,BOQ Comparative Chart,ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,20-Jun-2025 12:45 PM,finsummary_535126.pdf (1991.17 KB),1,2878501,Arihant Electricals and Engineers,09-Apr-2025 09:11 PM,Rejected-Finance,AFTER TRANSFER LOTTERY,20-Jun-2025 12:45 PM,AOC,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,BID NO 24 OF 2024 -25,2025_RWSS_112120_4,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village RR Colony Dhulusar, Ghutupali, Saraspita under Balangir Block in Balangir District","Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village RR Colony Dhulusar, Ghutupali, Saraspita under Balangir Block in Balangir District",Please refer DTCN ,NA ,"21,87,174",Electrical Works,Electrical Works ,Tender,90.0,45.0,"RR Colony Dhulusar, Ghutupali under Balangir Block",767001.0,NA ,NA ,NA ,O/o Superintending Engineer RWSS Division Balangir,No ,No,"6,000",0.0,Nil,Nil,No,Superintending Engineer,Superintending Engineer RWSS Division Balangir,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper cost, EMD, GST,PAN, Contractor Registration Certificate, Experience Certificate etc","21,872",Yes,percentage,1.0%,Nil,Nil,02-Apr-2025 03:00 PM,11-Apr-2025 11:00 AM,02-Apr-2025 03:00 PM,10-Apr-2025 05:00 PM,NA ,NA ,02-Apr-2025 03:00 PM,10-Apr-2025 05:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2879208,ASHOK CHANDRA PATRA,08-Apr-2025 06:22 PM,Rejected-Finance,AFTER TRANSFER LOTTERY,20-Jun-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2878821,BIRENDRA KUMAR PATRA,10-Apr-2025 11:30 AM,Rejected-AOC,REJECTED AS PER OPWD CODE,20-Jun-2025 12:50 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2880669,MAA BHUBANESWARI ELECTRICALS,10-Apr-2025 04:37 PM,Rejected-Finance,AFTER TRANSFER LOTTERY,20-Jun-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2880798,MAA SAMLESWARI ENGINEERING,10-Apr-2025 03:44 PM,Rejected-Finance,AFTER TRANSFER LOTTERY,20-Jun-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2877147,"M/s Ramchandi Construction, Nayagargh",06-Apr-2025 09:16 AM,Rejected-Finance,AFTER TRANSFER LOTTERY,20-Jun-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2877384,M/S SAMBEET SUPPLIERS,06-Apr-2025 05:56 PM,Rejected-Finance,AFTER TRANSFER LOTTERY,20-Jun-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2880565,M/S SAROJINEE POWER AND CONSTRUCTION,10-Apr-2025 12:22 PM,Rejected-Finance,AFTER TRANSFER LOTTERY,20-Jun-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2880069,PABITRA ELECTRICAL WORKSHOP,10-Apr-2025 03:06 PM,Rejected-Finance,AFTER TRANSFER LOTTERY,20-Jun-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2880876,PNP CONSTRUCTION,10-Apr-2025 03:32 PM,Accepted-AOC,AWARDED AS PER OPWD CODE,20-Jun-2025 12:50 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
