Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
600.0,0.0,Nil,Nil,No,Executive Officer,"Notified Area Council, Nilgiri, Balasore",Construction of CC Road from Sahara Sahi Highmax Chhack to Ghania House in Ward No . 11,Construction of CC Road from Sahara Sahi Highmax Chhack to Ghania House in Ward No . 11,Please refer Tender documents. ,NA ,"1,69,492",Civil Works - Roads,NA ,Tender,90.0,NA ,NILGIRI NAC,756040.0,NA ,NA ,NA ,O/O Nilgiri NAC,No ,No,09-Dec-2024 11:00 AM,18-Dec-2024 11:00 AM,09-Dec-2024 11:00 AM,17-Dec-2024 05:00 PM,NA ,NA ,09-Dec-2024 11:00 AM,17-Dec-2024 05:00 PM,Municipal Bodies||Nilgiri NAC,NLGN _01/2024-25,2024_ORULB_107995_48,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"1,695",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit and as per DTCN",AOC,Chairman Nilgiri NAC,Internal,,Ansuman Parida,05-Jun-2025 11:00 AM,finsummary_519865.pdf (512.65 KB),Chairman Nilgiri NAC,Internal,,Ansuman Parida,09-Apr-2025 02:41 PM,techsummary_519865.pdf (512.65 KB),1,2697340,ASHOK KUMAR MOHAPATRA,16-Dec-2024 06:56 PM,Rejected-AOC,L2,05-Jun-2025 11:05 AM,Municipal Bodies||Nilgiri NAC,2024_ORULB_107995_48,NLGN _01/2024-25,Construction of CC Road from Sahara Sahi Highmax Chhack to Ghania House in Ward No . 11,1.0,2700593.0,MANAS RANJAN BARIK,INR,"169,482",06-Jun-2025,"INR 169,482",30.0,Ansuman Parida,05-Jun-2025 11:05 AM,WO48.pdf (295.00 KB),Finance,Ten bidders participated and quoted same rate which are accepted.,Sonam Das,23-Dec-2024 11:22 AM,finance_519865.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,AOC,,,,,,,,,,,,,2,2700464,DHARAMJIT NAYAK,17-Dec-2024 01:15 PM,Rejected-AOC,L3,05-Jun-2025 11:05 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,2700325,KRUTIBASH NANDA,17-Dec-2024 12:38 PM,Rejected-AOC,L3,05-Jun-2025 11:05 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,2699153,MAHESWAR KHUNTIA,16-Dec-2024 05:10 PM,Rejected-AOC,L3,05-Jun-2025 11:05 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,2700593,MANAS RANJAN BARIK,17-Dec-2024 01:59 PM,Accepted-AOC,L1,05-Jun-2025 11:05 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,2699640,NILAMBAR MOHAPATRA,17-Dec-2024 02:55 PM,Rejected-AOC,L3,05-Jun-2025 11:05 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,2699812,PARTHASARATHI NAYAK,16-Dec-2024 10:35 PM,Rejected-AOC,L3,05-Jun-2025 11:05 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,2699354,RABINDRA NATH PARIDA,17-Dec-2024 02:15 PM,Rejected-AOC,L3,05-Jun-2025 11:05 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,2697484,RAJKISHORE GAAN,15-Dec-2024 11:00 PM,Rejected-AOC,L3,05-Jun-2025 11:05 AM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,2699649,SRI SUKANTA KUMAR MOHAPATRA,16-Dec-2024 10:22 PM,Rejected-AOC,L3,05-Jun-2025 11:05 AM,,,,,,,,,,,,,,,,,,,,,,AOC
