Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Tender opened successfully,Pradeep Kumar Nayak,27-Mar-2025 03:32 PM,,BOQ Comparative Chart,25-Jun-2025,"INR 677,966",60.0,Pradeep Kumar Nayak,25-Jun-2025 05:39 PM,WO0658.pdf (553.00 KB),1.0,2869019.0,SHAIKH AFSAR ALI,INR,"676,949.05",Municipal Bodies||Balasore Municipality,2025_ORULB_111643_58,BM_06_2024_25,"Constn. of Paver block road from Pati babu Res to Rabi Res,Masjid lane in W.N-05",1,2869019,SHAIKH AFSAR ALI,26-Mar-2025 12:21 PM,Accepted-AOC,WO,25-Jun-2025 05:39 PM,EO CP ME AE,Internal,,Pradeep Kumar Nayak,24-Jun-2025 06:25 PM,techsummary_533185.pdf (520.99 KB),EO CP ME AE,Internal,,Pradeep Kumar Nayak,25-Jun-2025 05:37 PM,finsummary_533185.pdf (520.99 KB),AOC,1,ICICI BANK,17-Mar-2025 05:00 PM,27-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,NA ,NA ,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,"Constn. of Paver block road from Pati babu Res to Rabi Res,Masjid lane in W.N-05","Constn. of Paver block road from Pati babu Res to Rabi Res,Masjid lane in W.N-05",Please refer Tender documents. ,NA ,"6,77,966",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756001.0,NA ,NA ,NA ,Balasore Municipality,No ,No,"Executive Officer, Balasore Municipality",Balasore Municipality Office,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"6,780",Yes,percentage,1.0%,Nil,Nil,1.0,REVISED DTCN,Technical Bid,,Municipal Bodies||Balasore Municipality,BM_06_2024_25,2025_ORULB_111643_58,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,2868887,SUKANTA PATRA,26-Mar-2025 11:40 AM,Rejected-Technical,L2,24-Jun-2025 06:25 PM,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
