Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
CE RW I||RWCIRCLE-BHUBANESWAR,2025_CERWI_109057_14,Tender Online C.C-25 of 2024,Construction of road from Krushnapalli Chhaka to Balabhadraprasad via Jagannathprasad under MMSY-TRIP in the Dist. of Nayagarh for the year 2024-25,1.0,2778533.0,ANTARYAMI SAHOO,INR,"24,308,797",1,2778533,ANTARYAMI SAHOO,27-Jan-2025 07:10 PM,Accepted-AOC,Accepted,18-Jun-2025 11:23 AM,18-Jun-2025,"INR 24,308,797",180.0,Naran Murmu,18-Jun-2025 11:22 AM,KrushnapalliAgmtDetails.pdf (1369.00 KB),"Work order letter No.2310 dtd.10.06.25 and Agmt No.05 P1/2025-26 dtd.10.06.25 of Superintending Engineer, Rural Works Division-II, Nayagarh",Chief Construction Engineer,Internal,SuperintendingEngineerRWDivision Puri SrDAORWDivisionII Nayagarh PAtoChiefConstructionEngineerCentralRuralWorksCircleBBSR,Naran Murmu,18-Jun-2025 11:14 AM,finsummary_523743.pdf (252.77 KB),Technical,10 nos bidder participated in the tender,Kumari Suvalaxmi,02-Feb-2025 12:01 PM,,Chief Construction Engineer,Internal,SuperintendingEngineerRWDivision Puri SrDAORWDivisionII Nayagarh PAtoChiefConstructionEngineerCentralRuralWorksCircleBBSR,Mausumi Mishra,14-Mar-2025 12:25 PM,20-Mar-2025 05:00 PM,techsummary_523743.pdf (2413.02 KB),Finance,8 nos bidder qualified in the tender,Mausumi Mishra,20-Mar-2025 06:59 PM,,BOQ Comparative Chart,AOC,ChiefConstructionEngineer,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Registration Certificate",Construction of road from Krushnapalli Chhaka to Balabhadraprasad via Jagannathprasad under MMSY-TRIP in the Dist. of Nayagarh for the year 2024-25,Construction of road from Krushnapalli Chhaka to Balabhadraprasad via Jagannathprasad under MMSY-TRIP in the Dist. of Nayagarh for the year 2024-25,Please refer Tender documents. ,NA ,"2,85,95,221",Civil Works - Roads,NA ,Tender,90.0,180.0,Nayagarh,752070.0,NA ,NA ,NA ,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",No ,No,"10,000",0.0,Nil,Nil,No,21-Jan-2025 02:00 PM,29-Jan-2025 11:00 AM,21-Jan-2025 02:00 PM,28-Jan-2025 05:00 PM,NA ,NA ,21-Jan-2025 02:00 PM,28-Jan-2025 05:00 PM,20-Mar-2025 05:00 PM,1.0,Other Corrigendum,Other,,CE RW I||RWCIRCLE-BHUBANESWAR,Tender Online C.C-25 of 2024,2025_CERWI_109057_14,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"2,85,952",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,2,2782746,BABU BIRAJA PRASAD,28-Jan-2025 12:20 PM,Rejected-Finance,Other than winner of the transparent lottery system,18-Jun-2025 11:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"Work in Hand, Machineries, Affidavit of Correctness Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,3,2782769,BIBHUTI BHUSAN TAREI,28-Jan-2025 10:38 AM,Rejected-Technical,As per Clause No.2.1(4) of the Eligibility Criteria of General Instructions To the Tenderers of the DTCN (Insuffucient Similar nature of work),14-Mar-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"No Relationship Certificate, ATO, Work Experience and required documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,2784114,DIBYASUNDAR SAHOO,28-Jan-2025 04:22 PM,Rejected-Finance,Other than winner of the transparent lottery system,18-Jun-2025 11:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,2778855,JIMENDRA KUMAR BEHERA,28-Jan-2025 11:10 AM,Rejected-Finance,Other than winner of the transparent lottery system,18-Jun-2025 11:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,2777651,MATRUDATTA DAS,28-Jan-2025 12:26 PM,Rejected-Finance,Other than winner of the transparent lottery system,18-Jun-2025 11:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,2781709,MS SAI PRACHYA CONSTRUCTIONS,28-Jan-2025 12:46 PM,Rejected-Technical,As per Clause No.2.1(1) of the Eligibility Criteria of General Instructions To the Tenderers of the DTCN (Suppression of facts),14-Mar-2025 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,2782652,M/s ULLASH CHANDRA TARAI,28-Jan-2025 09:51 AM,Rejected-Finance,Other than L1,18-Jun-2025 11:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,2781750,PRASANTA KUMAR DASH,27-Jan-2025 08:34 PM,Rejected-Finance,Other than winner of the transparent lottery system,18-Jun-2025 11:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,2782545,SHIBA PRASAD KHANDA,28-Jan-2025 08:08 AM,Rejected-Finance,Other than winner of the transparent lottery system,18-Jun-2025 11:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
