S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
1.0,2768703.0,M/S OMM SAI ASSOCIATES,INR,"9,302,687",Technical,6 bids opened successfully,Lipsa Parida,28-Jan-2025 11:58 AM,technical_524324.pdf,Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_109157_1,BMC-EE-Tender Cell-56/2024-25 Dt. 04.01.2025,"Construction of RCC drain with slab, Bishnu monarch apartment to PWD Drain at Cuttack road and RCC drain, culvert with co slab from Punjab national Bank to Drain no 10 Bomikhal, BBSR in ward no 31",CITY ENGINEER,Internal,"CITY ENGINEER ,EE DRAINAGE,EE TENDERCELL,CFO,ZC(LEGAL)",Priyabrata Behera,04-Jun-2025 04:41 PM,finsummary_524324.pdf (223.92 KB),Finance,6 bids opened successfully,Lipsa Parida,01-Mar-2025 03:39 PM,finance_524324.pdf,BOQ Comparative Chart,04-Jun-2025,"INR 9,302,687",180.0,Priyabrata Behera,04-Jun-2025 04:45 PM,wo-589.24.pdf (1608.00 KB),1,2768829,AMBUJA BHUSAN SETHY,21-Jan-2025 02:31 PM,Rejected-Finance,other than 1st lowest,04-Jun-2025 04:41 PM,AOC,Executive Engineer (Central Tender Cell),"UG floor,Central Tender Cell,BMC, ICOMC Tower",1.0,Fee/PreQual/Technical,.pdf,Scanned copies of all documents,"10,000",0.0,Nil,Nil,No,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-56/2024-25 Dt. 04.01.2025,2025_ORULB_109157_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"85,000",Yes,fixed,,Nil,Nil,"Construction of RCC drain with slab, Bishnu monarch apartment to PWD Drain at Cuttack road and RCC drain, culvert with co slab from Punjab national Bank to Drain no 10 Bomikhal, BBSR in ward no 31","Construction of RCC drain with slab, Bishnu monarch apartment to PWD Drain at Cuttack road and RCC drain, culvert with co slab from Punjab national Bank to Drain no 10 Bomikhal, BBSR in ward no 31",Please refer Tender documents. ,NA ,"84,90,719",Civil Works - Others,NA ,Tender,120.0,180.0,BMC Area,751022.0,"UG floor,Central Tender Cell,BMC, ICOMC Tower ","UG floor,Central Tender Cell,BMC, ICOMC Tower ",16-Jan-2025 12:00 PM ,"Central Tender Cell,BMC",No ,No,10-Jan-2025 04:00 PM,28-Jan-2025 11:30 AM,10-Jan-2025 04:00 PM,27-Jan-2025 05:00 PM,10-Jan-2025 04:00 PM ,15-Jan-2025 04:00 PM ,10-Jan-2025 04:00 PM,27-Jan-2025 05:00 PM,01-Mar-2025 03:30 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2775541,BHABANI SANKAR MALLIA,24-Jan-2025 07:48 PM,Rejected-Finance,other than 1st lowest,04-Jun-2025 04:41 PM,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2778064,BIBHU PRASANNA MOHANTY,26-Jan-2025 01:25 PM,Rejected-Finance,other than 1st lowest,04-Jun-2025 04:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2768703,M/S OMM SAI ASSOCIATES,21-Jan-2025 02:08 PM,Accepted-AOC,other than 1st lowest,04-Jun-2025 04:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2768228,PURUSOTTAM BEHERA,21-Jan-2025 06:53 PM,Rejected-Finance,1st lowest,04-Jun-2025 04:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2775561,RASHMI KANTA DASH,24-Jan-2025 08:01 PM,Rejected-Finance,other than 1st lowest,04-Jun-2025 04:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
