S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
1.0,2929163.0,SHANKAR GOURI INDUSTRIES PRIVATE LIMITED,INR,"3,042,016",Finance,5 bidder are admitted,Shibalal Sahoo,28-May-2025 12:38 PM,,BOQ Comparative Chart,"SE, Khordha (RB) Division",Internal,"Estimator, DAO",Shibalal Sahoo,02-Jun-2025 01:52 PM,finsummary_539404.pdf (484.84 KB),EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB DIVN KHURDA,2025_EICCL_113412_1,03-25-26,Construction of S/S and 33KV/11KV line with LT line towards shifting of existing 33KV/ 11KV OH line for the improvement of Khordha town road with junction development at New Bus Stand Khordha to Tahasil Office from 0/0KM to 4/330KM (S.H-27) in the D,"EE, Khordha (RB) Division",Internal,"Estimator, DAO",Shibalal Sahoo,02-Jun-2025 01:39 PM,techsummary_539404.pdf (200.87 KB),19-Jun-2025,"INR 3,042,016",60.0,Shibalal Sahoo,25-Jun-2025 11:50 AM,154.pdf (910.00 KB),agrt. done,1,2930221,ABHILASH PRADHAN,23-May-2025 04:17 PM,Rejected-AOC,Not successful in transparent lottery,25-Jun-2025 11:51 AM,AOC,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB DIVN KHURDA,03-25-26,2025_EICCL_113412_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"35,800",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof copy Tender cost, EMD, GSTIN, PAN, Contractor RC and Affidavit, Other Documents as DTCN",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,16-May-2025 11:00 AM,28-May-2025 11:30 AM,16-May-2025 11:00 AM,26-May-2025 05:00 PM,NA ,NA ,16-May-2025 11:00 AM,26-May-2025 05:00 PM,Construction of S/S and 33KV/11KV line with LT line towards shifting of existing 33KV/ 11KV OH line for the improvement of Khordha town road with junction development at New Bus Stand Khordha to Tahasil Office from 0/0KM to 4/330KM (S.H-27) in the D,Construction of S/S and 33KV/11KV line with LT line towards shifting of existing 33KV/ 11KV OH line for the improvement of Khordha town road with junction development at New Bus Stand Khordha to Tahasil Office from 0/0KM to 4/330KM (S.H-27) in the D,Please refer Tender documents. ,NA ,"35,78,421",Electrical Works,NA ,Tender,90.0,60.0,khordha,752055.0,NA ,NA ,NA ,O/O SE RANDB KHURDA,No ,No,SE RANDB KHURDA,"O/o the SUPERINTENDING Engineer R and B Division, Khurda",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2933010,M/S GLOBAL POWER,26-May-2025 02:03 PM,Rejected-Finance,L2 bidder,02-Jun-2025 01:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2932917,M/S. M.C.C. ASSOCIATES,26-May-2025 01:01 PM,Rejected-AOC,Not successful in transparent lottery,25-Jun-2025 11:51 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2926518,"M/S ORISSA TRADING HOUSE, PROP. RITU MODI",23-May-2025 12:43 PM,Rejected-AOC,Not successful in transparent lottery,25-Jun-2025 11:51 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2929163,SHANKAR GOURI INDUSTRIES PRIVATE LIMITED,22-May-2025 08:08 PM,Accepted-AOC,successful in transparent lottery,25-Jun-2025 11:51 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
