Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Provision of lighting arrangement around the football Playground for practice purpose at Sports Hostel Building, Nayagarh in the District of Nayagarh","Provision of lighting arrangement around the football Playground for practice purpose at Sports Hostel Building, Nayagarh in the District of Nayagarh",Please refer Tender Document ,NA ,"23,08,886",Electrical Works,NA ,Tender,90.0,30.0,Nayagarh,752069.0,NA ,NA ,NA ,"O/o the EE, (RandB) Division, Nayagarg",No ,No,Executive Engineer,"O/o the EE, (RandB) Division, Nayagarg","6,000",0.0,Nil,Nil,No,"23,089",Yes,percentage,1.0%,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EE Nayagarh Rnb Division,eTCN01,2024_EICCL_104007_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Revised Eligibility Criteria and BOQ Make,Date,,01-Aug-2024 11:00 AM,16-Aug-2024 11:00 AM,01-Aug-2024 11:00 AM,15-Aug-2024 05:00 PM,NA ,NA ,01-Aug-2024 11:00 AM,15-Aug-2024 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"DTCN, Licence, Affidavit, Schedule, PAN, GST etc.",AOC,1,2529180,Ampere india associates,14-Aug-2024 05:51 PM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 01:17 PM,01-Jun-2025,"INR 1,962,784",30.0,Sanjib Kumar Behera,01-Jun-2025 01:28 PM,FOOTBALLPLAYGROUND.pdf (917.00 KB),Sanjib Kumar Behera,Internal,,Sanjib Kumar Behera,01-Jun-2025 01:11 PM,techsummary_504065.pdf (916.95 KB),EIC-CIVIL||SERNB-CIRCLE-KHURDA||EE Nayagarh Rnb Division,2024_EICCL_104007_1,eTCN01,"Provision of lighting arrangement around the football Playground for practice purpose at Sports Hostel Building, Nayagarh in the District of Nayagarh",Sanjib Kumar Behera,Internal,,Sanjib Kumar Behera,01-Jun-2025 01:17 PM,finsummary_504065.pdf (916.95 KB),Finance,summary,Sanjib Kumar Behera,01-Jun-2025 01:08 PM,,BOQ Comparative Chart,1.0,2526757.0,Dillip Ranjan Das,INR,"1,962,784",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,.xls,BOQ,AOC,2,2526757,Dillip Ranjan Das,12-Aug-2024 08:56 AM,Accepted-AOC,AOC,01-Jun-2025 01:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2528733,JUPITER ENGINEERS,14-Aug-2024 01:23 PM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2524477,MODERN WINDING AND ELECTRICALS,08-Aug-2024 04:08 PM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2525248,M/S D.S. ASSOCIATES,13-Aug-2024 01:43 PM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2525519,Ms. JAYANTI ELECTRICALS,14-Aug-2024 08:21 PM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2527660,"M/s Ramchandi Construction, Nayagargh",12-Aug-2024 07:32 PM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2525639,ODISHA GENERAL ELECTRIC,09-Aug-2024 11:08 AM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2524675,ONE STEP SOLUTIONS,07-Aug-2024 04:40 PM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2525029,PABITRA ELECTRICAL WORKSHOP,14-Aug-2024 06:20 PM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,2527918,Power Links,13-Aug-2024 01:11 PM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,2528794,POWERTECH ENGINEERING.TAPAS RANJAN PATI,14-Aug-2024 12:29 PM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,13,2525759,RAKESH PATTANAYAK,09-Aug-2024 02:36 PM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,14,2525681,SRD ENERGY TREE PVT LTD,09-Aug-2024 12:10 PM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
