Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
EE LI CUTTACK,O/O EE LI CUTTACK,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER COST, EMD AND ALL OTHER DOCUMENTS AS PER DTCN","Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",01/(CTC)DT.06/01/2025,2025_OLIC_109227_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,Yes,INSTALLATION AND ENERGISATION OF ATRAK TW LI PROJECT,INSTALLATION AND ENERGISATION OF ATRAK TW LI PROJECT,Please refer Tender documents. ,NA ,"18,36,143",Civil Works - Lift Irrigation Schemes,NA ,Rate Contract,60.0,365.0,BIRIDI BLOCK,754001.0,NA ,NA ,NA ,EE LI CUTTACK,No ,No,09-Jan-2025 10:00 AM,20-Jan-2025 10:00 AM,09-Jan-2025 10:00 AM,18-Jan-2025 05:00 PM,09-Jan-2025 10:00 AM ,18-Jan-2025 04:00 PM ,09-Jan-2025 10:00 AM,18-Jan-2025 05:00 PM,1,ICICI BANK,"18,361",Yes,fixed,,Nil,Nil,AOC,EE LI CUTTACK,Internal,EE LI CUTTACK AND OTHERS,Niranjan Naik,03-Jun-2025 03:46 PM,finsummary_524723.pdf (301.13 KB),Finance,2 BIDDERS PARTICIPATIONS,SHDHANA BEHERA,21-Jan-2025 02:26 PM,,BOQ Comparative Chart,03-Jun-2025,"INR 1,836,143",90.0,Niranjan Naik,03-Jun-2025 03:52 PM,Bid01Pkg04.pdf (301.00 KB),WORK ORDER ISSUED,1,2761854,Jugal Kishor sabar,18-Jan-2025 01:50 PM,Rejected-Technical,OK,28-May-2025 01:01 PM,1.0,2758501.0,"SENNIMALAI GOUNDER DORAISWAMY,PROP- MAHENDRA BOREWELL",INR,"1,703,941","Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",2025_OLIC_109227_4,01/(CTC)DT.06/01/2025,INSTALLATION AND ENERGISATION OF ATRAK TW LI PROJECT,EE LI CUTTACK,Internal,EE LI CUTTACK AND OTHERS,Niranjan Naik,28-May-2025 01:01 PM,techsummary_524723.pdf (301.13 KB),AOC
,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2758501,"SENNIMALAI GOUNDER DORAISWAMY,PROP- MAHENDRA BOREWELL",18-Jan-2025 01:38 PM,Accepted-AOC,OK,03-Jun-2025 03:52 PM,,,,,,,,,,,,,,,,AOC
