Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,SE CTC (RandB)-60 of 2024-25,2025_EICCL_110546_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1,ICICI BANK,"63,900",Yes,fixed,,Nil,Nil,"S/R to Cuttack City Internal Road connecting from 201 to 434, 887 to 878_ _1389 to IPSAR Sector-6, CDA for 24-25 (such as laying of SDBC from 3/0km to 3/300km, 3/500km to 3/800km, 4/0km to 4/300km and 4/500km to 6/600km)",Road work,As per DTCN ,NA ,"63,86,099",Civil Works - Roads,NA ,Tender,30.0,60.0,Cuttack,753001.0,NA ,NA ,NA ,O/O SE Cuttack RandB Division No.I Cuttack,No ,No,13-Feb-2025 10:00 AM,25-Feb-2025 11:00 AM,13-Feb-2025 10:00 AM,24-Feb-2025 05:00 PM,13-Feb-2025 10:00 AM ,18-Feb-2025 05:00 PM ,13-Feb-2025 10:00 AM,24-Feb-2025 05:00 PM,03-Mar-2025 11:00 AM,SE Cuttack RandB Division No.I Cuttack,O/O SE Cuttack RandB Division No.I Cuttack,1,Fee/PreQual/Technical,.pdf,"Regd Certificate, GSTIN, PAN, Affidavit, Undertaking and other mandatory documents as per DTCN","10,000",0.0,Nil,Nil,No,AOC,Er Ashis Kumar Nayak SE,Internal,Er Abhaya Bharati Pattanaik AE Estr Er Amiya Ranjan Sinha EE(OSD) Estr Mr Abadhut Das Sr DAO,Debendra Kumar Behera,22-Jun-2025 06:04 PM,finsummary_529873.pdf (400.98 KB),Technical,2nos technical bids received,Ashis Kumar Nayak,25-Feb-2025 01:14 PM,,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,2025_EICCL_110546_1,SE CTC (RandB)-60 of 2024-25,"S/R to Cuttack City Internal Road connecting from 201 to 434, 887 to 878_ _1389 to IPSAR Sector-6, CDA for 24-25 (such as laying of SDBC from 3/0km to 3/300km, 3/500km to 3/800km, 4/0km to 4/300km and 4/500km to 6/600km)",1.0,2828808.0,BANDITA BHUYAN,INR,"5,428,823",22-Jun-2025,"INR 5,428,823",60.0,Debendra Kumar Behera,22-Jun-2025 06:06 PM,110546_1_A.pdf (368.00 KB),The agency has been finalised on transparent lottery system and the date of commencement may be treated as 02.04.2025 to complete the work by 01.06.2025 in all respect,1,2828808,BANDITA BHUYAN,21-Feb-2025 01:32 PM,Accepted-AOC,Accepted,22-Jun-2025 06:07 PM,Finance,2nos financial bids received,Ashis Kumar Nayak,03-Mar-2025 11:55 AM,,BOQ Comparative Chart,Er Ashis Kumar Nayak SE,Internal,Er Abhaya Bharati Pattanaik AE Estr Er Amiya Ranjan Sinha EE(OSD) Estr Mr Abadhut Das Sr DAO,Ashis Kumar Nayak,01-Mar-2025 06:59 PM,03-Mar-2025 11:00 AM,techsummary_529873.pdf (535.30 KB),AOC
,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bill of Quantities,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2833625,laxmipriya mohapatra,23-Feb-2025 10:17 PM,Rejected-AOC,Rejected,22-Jun-2025 06:07 PM,,,,,,,,,,,,,,AOC
