EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"5,17,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"CONTRACTORS LICENSE, PAN,GST, NO RELATION AFFIDAVIT, WORKS EXPERIENCE CERTIFICATE, TURNOVER ETC AS",EXECUTION OF RETROFITTING SCHEME PERTAINING TO 70LPCD PWS TO BISSAMCUTTACK VILLAGE IN BISSAMCUTTACK GP UNDER BISSAMCUTTACK BLOCK IN THE DISTRICT RAYAGADA,EXECUTION OF RETROFITTING SCHEME PERTAINING TO 70LPCD PIPED WATER SUPPLY TO BISSAMCUTTACK VILLAGE IN BISSAMCUTTACK GP UNDER BISSAMCUTTACK BLOCK IN THE DISTRICT OF RAYAGADA,Please refer Tender documents. ,NA ,"5,16,59,826",Civil Works - Water Works,NA ,Tender,120.0,240.0,BISSAMCUTTACK,765019.0,NA ,NA ,NA ,OFFICE OF THE EXECUTIVE ENGINEER RWSS DIVN RAYGADA,No ,No,30-Jan-2025 11:00 AM,15-Feb-2025 11:00 AM,30-Jan-2025 11:00 AM,14-Feb-2025 05:00 PM,30-Jan-2025 11:00 AM ,07-Feb-2025 05:00 PM ,30-Jan-2025 11:00 AM,14-Feb-2025 05:00 PM,06-May-2025 11:00 AM,EXECUTIVE ENGINEER RWSS DIVISION RAYAGADA,"OFFICE OF THE EXECUTIVE ENGINEER, AT-AMBAGUDA, PO-JS CO, RAYAGADA",Rural Water Supply and Sanitation||RWSS Circle Koraput||RWSS Division Rayagada,03/RWSS/RGD/2024-25,2025_RWSS_109714_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Chief Engineer I RWSS Odisha,Internal,"ADDITIONAL CHIEF ENGINEER O/O EIC RWSS, ADDITIONAL CHIEF ENGINEER, RWSS CIRCLE, KORAPUT, ADDITIONAL CHIEF ENGINEER (TP), O/O EIC RWSS,SE RWSS CIRCLE,BBSR, EE, RWSS DIVISION RAYAGADA, AO O/O EIC RWSS",Gopal Chandra Nayak,05-May-2025 05:22 PM,06-May-2025 11:00 AM,techsummary_526883.pdf (94.79 KB),Rural Water Supply and Sanitation||RWSS Circle Koraput||RWSS Division Rayagada,2025_RWSS_109714_1,03/RWSS/RGD/2024-25,EXECUTION OF RETROFITTING SCHEME PERTAINING TO 70LPCD PWS TO BISSAMCUTTACK VILLAGE IN BISSAMCUTTACK GP UNDER BISSAMCUTTACK BLOCK IN THE DISTRICT RAYAGADA,1.0,2806396.0,DEEPAK KUMAR PRADHAN,INR,"43,916,018",Technical,Twelve bidders have participated in the tender process,Gopal Chandra Nayak,15-Feb-2025 03:23 PM,,1,2817424,BALAJI SOLAR SYSTEMS,14-Feb-2025 02:08 PM,Rejected-AOC,1st lowest but not selected in lottery,05-Jun-2025 06:08 PM,Finance,The financial bids have been opened for eight technically qualified bidders,Gopal Chandra Nayak,07-May-2025 08:17 AM,,BOQ Comparative Chart,03-Jun-2025,"INR 43,916,018",240.0,Gopal Chandra Nayak,05-Jun-2025 06:07 PM,BISSAMCUTTACK70.pdf (836.00 KB),Chief Engineer I RWSS Odisha,Internal,"ACE O/O EIC RWSS, ACE RWSS CIRCLE KORAPUT ACE (TP) O/O EIC RWSS, SE RWSS CIRCLE BBSR, EE RWSS DIVISION RAYAGADA AO, O/O EIC RWSS",Gopal Chandra Nayak,02-Jun-2025 10:53 AM,finsummary_526883.pdf (111.48 KB),AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2806396,DEEPAK KUMAR PRADHAN,10-Feb-2025 01:29 PM,Accepted-AOC,1st lowest and lottery winner,05-Jun-2025 06:08 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2817801,JETENDRA KUMAR KHORA,14-Feb-2025 02:15 PM,Rejected-Finance,4th lowest,02-Jun-2025 10:53 AM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2817399,KANCHAN BEHERA,14-Feb-2025 11:34 AM,Rejected-Finance,4th lowest,02-Jun-2025 10:53 AM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2818147,MAHABIR INFRA,14-Feb-2025 04:44 PM,Rejected-Technical,Non responsive Bid as per Clause No.4 of the DTCN,05-May-2025 05:22 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2817324,M/S SAI VAISHNAVI BUILDCON,14-Feb-2025 12:33 PM,Rejected-AOC,2nd lowest,05-Jun-2025 06:08 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2817738,PATRA MAJHI,14-Feb-2025 01:45 PM,Rejected-Technical,Debarred for three years,05-May-2025 05:22 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2813005,PRABHAT DHAL,14-Feb-2025 01:42 PM,Rejected-Technical,Not Eligible as it does not meet the required Bid Capacity,05-May-2025 05:22 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2817793,PRAMOD KUMAR MOHANTY,14-Feb-2025 04:32 PM,Rejected-Finance,3rd lowest,02-Jun-2025 10:53 AM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2815884,SACHIN KUMAR SAHOO,13-Feb-2025 02:45 PM,Rejected-Finance,4th lowest,02-Jun-2025 10:53 AM,,,,,,,,,,,,,,,,,,,AOC
