Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
07-Aug-2023 12:30 PM,22-Aug-2023 11:30 AM,07-Aug-2023 12:30 PM,21-Aug-2023 05:00 PM,07-Aug-2023 12:30 PM ,19-Aug-2023 05:00 PM ,07-Aug-2023 12:30 PM,21-Aug-2023 05:00 PM,30-Oct-2023 12:00 PM,"4,47,005",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"Construction of RCC Precastcompound wall around56.86 Ac Land of MSME Park at Bandupali, under Bijepur Tahasil, Dist- Bargarh","Construction of RCC Precast compound wall around56.86 Ac Land of MSME Park at Bandupali, under Bijepur Tahasil, Dist- Bargarh",Please refer tender documents ,NA ,"4,47,00,492",Civil Works - Others,RCC Precast compound wall  ,Tender,120.0,150.0,"Bandupali, under Bijepur Tahasil Dist- Bargarh",767001.0,NA ,NA ,NA ,"IDCO Towers,Janpath, Bhubaneswar",No ,No,IDCO,PC/EST/E-68/2023-24,2023_IDCO_91907_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,CGM PC,"IDCO Towers,Janpath, Bhubaneswar",1.0,Fee/PreQual/Technical,.pdf,"Tenderfee,Valid License,PAN,GST,EPF,EPF,Turn over,Affidavit, and all other Documents as per DTCN.",1.0,2nd Corrigendum,Technical Bid,,AOC,1.0,2209093.0,DHIRENDRA KUMAR JAIN,INR,"37,999,886",Finance,Financial bid opened for 02(Two) nos. qualified bidders.,Arpita Priyadarshinee,30-Oct-2023 12:46 PM,finance_446813.pdf,BOQ Comparative Chart,11-Jun-2025,"INR 37,999,886",150.0,Arpita Priyadarshinee,11-Jun-2025 12:57 PM,agreement_Bandupali.pdf (5448.00 KB),IDCO,2023_IDCO_91907_1,PC/EST/E-68/2023-24,"Construction of RCC Precastcompound wall around56.86 Ac Land of MSME Park at Bandupali, under Bijepur Tahasil, Dist- Bargarh",CGM PC,Internal,"CGM PC, CGM CIVIL, CGM FINANCE",Arpita Priyadarshinee,11-Jun-2025 12:49 PM,finsummary_446813.pdf (1231.13 KB),Technical,Technical BID opened for 5 nos of bidders.,Arpita Priyadarshinee,22-Aug-2023 01:48 PM,,CGM PC,Internal,"CGM PC, EXECUTIVE ENGINEER DESIGN PC, OSD TECHNICAL, DY MANAGER PC-4",Arpita Priyadarshinee,27-Oct-2023 05:30 PM,30-Oct-2023 12:00 PM,techsummary_446813.pdf (252.88 KB),1,2209093,DHIRENDRA KUMAR JAIN,21-Aug-2023 12:44 PM,Accepted-AOC,winner1 of the lottery,11-Jun-2025 12:58 PM,AOC
,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2208924,JAI BAJRANGBALI INFRA,21-Aug-2023 12:26 PM,Rejected-Technical,"The bidder has not submitted certified copy of Schedule B,also there has been no response received from the bidder to this office Mail on dt. 06.10.2023 regarding the above compliance. Hence , the bid capacity could not be ascertained.",27-Oct-2023 05:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2207393,KAMALA AGRAWAL,19-Aug-2023 06:32 PM,Rejected-Technical,The schedule F furnished by the bidder in Non judicial stamp paper is not as per the statutory format mentioned in the DTCN.,27-Oct-2023 05:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2208821,MITALIKA SWAIN,21-Aug-2023 04:37 PM,Rejected-AOC,winner2,11-Jun-2025 12:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2205439,Sanjaya Kumar Agrawal,19-Aug-2023 01:09 PM,Rejected-Technical,"The bidder has no satisfactorily work experience as required by Schedule D proforma i,ii,iii",27-Oct-2023 05:30 PM,AOC
