S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2808798.0,BIKASH SINGH,INR,"39,887,510.97",CE RW I||RW-CIRCLE-SUNDARGARH,2025_CERWI_110044_1,RWCCESNG-18 OF 2024-25,Improvement to road from NH-49 to Nachenmura Mega Irrigation Projects Via Renkuli under Lakhanpur Block under DMF Scheme in the Dist. of Jharsuguda for the year 2023-24.,Technical,Total eight nos of bidder only.,Kishore Chandra Khatua,13-Feb-2025 06:12 PM,,A.K Sahoo,Internal,,Binata Kishan,13-Jun-2025 01:10 PM,finsummary_528181.pdf (428.38 KB),A.K Sahoo,Internal,,Binata Kishan,26-Mar-2025 11:30 AM,28-Mar-2025 11:00 AM,techsummary_528181.pdf (109.20 KB),Finance,only seven nos. of bidder,Haripriya Pradhan,28-Mar-2025 01:31 PM,finance_528181.pdf,BOQ Comparative Chart,1,2813374,ANKIT KUMAR BAJAJ,12-Feb-2025 03:08 PM,Rejected-Finance,Unsuccessful bidder,13-Jun-2025 01:10 PM,13-Jun-2025,"INR 46,920,963.38",180.0,Binata Kishan,13-Jun-2025 01:14 PM,2217.pdf (676.00 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"Registration certificate,GST,PAN etc",Improvement to road from NH-49 to Nachenmura Mega Irrigation Projects Via Renkuli under Lakhanpur Block under DMF Scheme in the Dist. of Jharsuguda for the year 2023-24.,Improvement to road from NH-49 to Nachenmura Mega Irrigation Projects Via Renkuli under Lakhanpur Block under DMF Scheme in the Dist. of Jharsuguda for the year 2023-24.,Please refer Tender documents. ,NA ,"4,69,20,963",Civil Works - Roads,NA ,Tender,90.0,180.0,Jharsuguda,768203.0,NA ,NA ,NA ,"O/O The C.C.E RW Circle,Sundargarh",No ,No,1.0,ICICI BANK,"C.C.E RW Circle,Sundargarh","O/O The C.C.E RW Circle,Sundargarh","4,69,210",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,CE RW I||RW-CIRCLE-SUNDARGARH,RWCCESNG-18 OF 2024-25,2025_CERWI_110044_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,01-Feb-2025 06:00 PM,13-Feb-2025 11:00 AM,01-Feb-2025 06:00 PM,12-Feb-2025 05:00 PM,01-Feb-2025 06:00 PM ,11-Feb-2025 05:00 PM ,01-Feb-2025 06:00 PM,12-Feb-2025 05:00 PM,28-Mar-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2808798,BIKASH SINGH,10-Feb-2025 09:45 PM,Accepted-AOC,Successful bidder by lottery,13-Jun-2025 01:15 PM,,,,,,,AOC,,,.pdf,"Machinaries,turnover, work experience and other documents as per DTCN.",,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2811734,DEBASIS PATTJOSHI,11-Feb-2025 11:43 PM,Rejected-Technical,Inadequate expoerience in similar nature of work.,26-Mar-2025 11:30 AM,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2809823,M/S SHREE VISWAKARMA CONSTRUCTION,11-Feb-2025 01:28 PM,Rejected-Finance,Unsuccessful bidder,13-Jun-2025 01:10 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2798779,PAWAN KUMAR AGRAWAL,11-Feb-2025 12:53 PM,Rejected-Finance,Unsuccessful bidder,13-Jun-2025 01:10 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2810821,Prafulla Kumar Ratha,11-Feb-2025 06:45 PM,Rejected-Finance,Unsuccessful bidder,13-Jun-2025 01:10 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2807609,SRINIBAS PRADHAN,10-Feb-2025 03:15 PM,Rejected-Finance,Unsuccessful bidder,13-Jun-2025 01:10 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2805874,SUDHIR KUMAR SAIDEO,09-Feb-2025 08:15 PM,Rejected-Finance,Unsuccessful bidder,13-Jun-2025 01:10 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
