Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
25-Jun-2025,"INR 293,797",60.0,Pradeep Kumar Nayak,25-Jun-2025 06:24 PM,WO06135.pdf (576.00 KB),Finance,Tender opened successfully,Pradeep Kumar Nayak,27-Mar-2025 06:02 PM,,BOQ Comparative Chart,EO CP ME AE,Internal,,Pradeep Kumar Nayak,24-Jun-2025 06:04 PM,techsummary_533294.pdf (489.54 KB),1,2868126,GAGEN KUMAR MAITY,25-Mar-2025 05:01 PM,Rejected-Technical,L2,24-Jun-2025 06:04 PM,Municipal Bodies||Balasore Municipality,2025_ORULB_111643_135,BM_06_2024_25,Const. of Paver Block Road from Aktar Khan House to Sek Anwar House in Ward No_08,EO CP ME AE,Internal,,Pradeep Kumar Nayak,25-Jun-2025 06:23 PM,finsummary_533294.pdf (489.54 KB),1.0,2867768.0,KARUNAKAR MOHAPATRA,INR,"293,796.56",AOC,"2,938",Yes,percentage,1.0%,Nil,Nil,1,ICICI BANK,Municipal Bodies||Balasore Municipality,BM_06_2024_25,2025_ORULB_111643_135,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer, Balasore Municipality",Balasore Municipality Office,1.0,REVISED DTCN,Technical Bid,,"2,000",0.0,Nil,Nil,No,Const. of Paver Block Road from Aktar Khan House to Sek Anwar House in Ward No_08,Const. of Paver Block Road from Aktar Khan House to Sek Anwar House in Ward No_08,Please refer Tender documents. ,NA ,"2,93,797",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756001.0,NA ,NA ,NA ,Balasore Municipality,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,17-Mar-2025 05:00 PM,27-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,NA ,NA ,17-Mar-2025 05:00 PM,26-Mar-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,2,2867768,KARUNAKAR MOHAPATRA,25-Mar-2025 01:08 PM,Accepted-AOC,WO,25-Jun-2025 06:25 PM,,,,,,,,,,,,,,,,AOC,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC
