Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"SE R AND B DIVISION, SUNDARGARH","O/O the SE R AND B DIVISION, SUNDARGARH",1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD ,Licence ,PAN,GSTIN, Affidavit, Schedule-A,Machinery MoU with Electrical Contractor",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-SUNDERGARH,Bid Identification No-SE-RandB-SNG-26 OF 2024-25,2024_EICCL_105901_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,24-Oct-2024 10:00 AM,08-Nov-2024 11:00 AM,24-Oct-2024 10:00 AM,07-Nov-2024 05:00 PM,24-Oct-2024 10:00 AM ,06-Nov-2024 05:00 PM ,24-Oct-2024 10:00 AM,07-Nov-2024 05:00 PM,31-Jan-2025 11:00 AM,"72,863",Yes,percentage,1.0%,Nil,Nil,"Construction of Paddy Procurement Centre , Open Platform, Farmers Rest Shed and Compound Wall at Kundukela PPC under Bhedabahal LAMPCS under Sadar Block in the District of Sundargarh for the year 2024.25.","Construction of Paddy Procurement Centre , Open Platform, Farmers Rest Shed and Compound Wall at Kundukela PPC under Bhedabahal LAMPCS under Sadar Block in the District of Sundargarh for the year 2024.25.",Please refer Tender documents. ,NA ,"72,86,270",Civil Works - Buildings,NA ,Tender,90.0,90.0,Sundargarh,770001.0,NA ,NA ,NA ,"O/O the SE R AND B DIVISION, SUNDARGARH",No ,No,"10,000",0.0,Nil,Nil,No,AOC,19-Jun-2025,"INR 6,194,058.54",90.0,Swagatika Naik,19-Jun-2025 01:45 PM,kundukela.pdf (441.00 KB),Work order copy,1,2599482,ASHOK KUMAR DALBEHERA,31-Oct-2024 09:45 AM,Rejected-AOC,Accepted,19-Jun-2025 01:45 PM,SEDAOAEEAE,Internal,SEDAOAEEAE,Swagatika Naik,29-Jan-2025 06:38 PM,31-Jan-2025 11:00 AM,techsummary_511287.pdf (140.70 KB),Finance,Work order copy,Swagatika Naik,19-Jun-2025 01:35 PM,finance_511287.pdf,BOQ Comparative Chart,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-SUNDERGARH,2024_EICCL_105901_6,Bid Identification No-SE-RandB-SNG-26 OF 2024-25,"Construction of Paddy Procurement Centre , Open Platform, Farmers Rest Shed and Compound Wall at Kundukela PPC under Bhedabahal LAMPCS under Sadar Block in the District of Sundargarh for the year 2024.25.",Technical,Evaluation sheet,Swagatika Naik,29-Jan-2025 06:29 PM,technical_511287.pdf,SEDAOAEEAE,Internal,SEDAOAEEAE,Swagatika Naik,19-Jun-2025 01:40 PM,finsummary_511287.pdf (440.57 KB),1.0,2627497.0,RAJ KISHORE BHATTACHARYA,INR,"6,194,058.54",AOC
,,,,.pdf,Schedule-A and other documents as per DTCN,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2627139,BISHI KESAN NAIK,07-Nov-2024 12:19 PM,Rejected-Technical,Valid Electrical License not submitted,29-Jan-2025 06:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2615874,JITENDRA NAIK,04-Nov-2024 11:16 PM,Rejected-AOC,Accepted,19-Jun-2025 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2613916,JYOTI RANJAN RAUT,04-Nov-2024 02:35 PM,Rejected-AOC,Accepted,19-Jun-2025 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2603078,MAZIV INFRA PRIVATE LIMITED,01-Nov-2024 11:38 AM,Rejected-AOC,Accepted,19-Jun-2025 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2627497,RAJ KISHORE BHATTACHARYA,07-Nov-2024 12:27 PM,Accepted-AOC,Winner in the lottery,19-Jun-2025 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2626548,SAHIL KUMAR RAY,07-Nov-2024 12:52 AM,Rejected-Technical,Valid Electrical License not submitted,29-Jan-2025 06:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2626556,SANOJ KUMAR GHOSH,06-Nov-2024 11:37 PM,Rejected-AOC,Accepted,19-Jun-2025 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2627918,SHIBA BADAIK,07-Nov-2024 01:30 PM,Rejected-AOC,Accepted,19-Jun-2025 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2628979,SHUVAM KALO,07-Nov-2024 03:50 PM,Rejected-AOC,Accepted,19-Jun-2025 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,11,2624645,SIPUN BEHERA,06-Nov-2024 03:49 PM,Rejected-AOC,Accepted,19-Jun-2025 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,12,2628753,SOUMYA RANJAN BEHERA,07-Nov-2024 03:16 PM,Rejected-AOC,Accepted,19-Jun-2025 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,13,2627127,SOURAV SAGAR PATEL,07-Nov-2024 10:32 AM,Rejected-AOC,Accepted,19-Jun-2025 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,14,2628325,SURAJ KUMAR NAIK,07-Nov-2024 02:11 PM,Rejected-AOC,Accepted,19-Jun-2025 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
