S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,Tender Revocation,Tender Revocation,30-Mar-2025 02:56 PM,1338.pdf ,950.24,Technical Opening,1,2783806,BASUDEV CONTECH INDIA PRIVATE LIMITED,28-Jan-2025 02:57 PM,Rejected-Finance,Other than L1 and L2,23-Jun-2025 12:55 PM,1.0,2783342.0,BIKASH GHADEI,INR,"29,434,813",CE RW I||RWCIRCLE-BHUBANESWAR,2025_CERWI_109057_62,Tender Online C.C-25 of 2024,Improvement of Balanga - Gopinathapur under MMSY-Improvement to Existing RD road in the Dist. of Puri for the year 2024-25,23-Jun-2025,"INR 29,434,813",180.0,Naran Murmu,23-Jun-2025 01:00 PM,GopinathpurAgmtDetails.pdf (1017.00 KB),"Work order letter No.2223 dtd.04.06.2025 and Agmt No.04 P1 of 2025-26 dtd.04.06.2025 of Superintending Engineer, Rural Works Division, Nimapara",Chief Construction Engineer,Internal,ExecutiveEngineerRWDivision Nayagarh SrDAORWDivision Nimapara PAtoChiefConstructionEngineerCentralRuralWorksCircleBBSR,Mausumi Mishra,30-Mar-2025 04:01 PM,31-Mar-2025 09:00 AM,techsummary_523861.pdf (1203.38 KB),Finance,8 nos bidder qualified in the tender,Mausumi Mishra,31-Mar-2025 11:32 AM,,BOQ Comparative Chart,Chief Construction Engineer,Internal,ExecutiveEngineerRWDivision Nayagarh SrDAORWDivision Nimapara PAtoChiefConstructionEngineerCentralRuralWorksCircleBBSR,Naran Murmu,23-Jun-2025 12:55 PM,finsummary_523861.pdf (252.77 KB),Technical,12 nos bidder participated in the tender,Mausumi Mishra,30-Mar-2025 03:58 PM,,AOC,CE RW I||RWCIRCLE-BHUBANESWAR,Tender Online C.C-25 of 2024,2025_CERWI_109057_62,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Registration Certificate",ChiefConstructionEngineer,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",1.0,ICICI BANK,Improvement of Balanga - Gopinathapur under MMSY-Improvement to Existing RD road in the Dist. of Puri for the year 2024-25,Improvement of Balanga - Gopinathapur under MMSY-Improvement to Existing RD road in the Dist. of Puri for the year 2024-25,Please refer Tender documents. ,NA ,"3,46,25,118",Civil Works - Roads,NA ,Tender,90.0,180.0,Nimapara,752106.0,NA ,NA ,NA ,"O/o ChiefConstructionEngineer,CentralRWCircle,BBSR",No ,No,09-Jan-2025 06:15 PM,29-Jan-2025 11:00 AM,09-Jan-2025 06:15 PM,28-Jan-2025 05:00 PM,NA ,NA ,09-Jan-2025 06:15 PM,28-Jan-2025 05:00 PM,31-Mar-2025 09:00 AM,"3,46,251",Yes,percentage,1.0%,Nil,Nil,1.0,Other Corrigendum,Other,,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,2,2783342,BIKASH GHADEI,28-Jan-2025 01:27 PM,Accepted-AOC,Accepted,23-Jun-2025 01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Work in Hand, Machineries, Affidavit of Correctness Certificate",,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3,2781735,MS SAI PRACHYA CONSTRUCTIONS,28-Jan-2025 12:31 PM,Rejected-Technical,As per Clause No.2.1(1) of the Eligibility Criteria of General Instructions To the Tenderers of the DTCN (Suppression of facts),30-Mar-2025 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"No Relationship Certificate, ATO, Work Experience and required documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,4,2782148,PRAFULLA KUMAR MISHRA,28-Jan-2025 01:09 AM,Rejected-Finance,Other than L1 and L2,23-Jun-2025 12:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,5,2783869,PRAKASH CHANDRA SWAIN,28-Jan-2025 03:23 PM,Rejected-Technical,As per Clause No.2.1(7) of the Eligibility Criteria of General Instructions To the Tenderers of the DTCN (Work in hand not furnished in Format),30-Mar-2025 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,6,2784059,R K ROUT AND PARTNERS,28-Jan-2025 04:00 PM,Rejected-Finance,Other than L1 and L2,23-Jun-2025 12:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,7,2779235,SANJEEB PUJARI,28-Jan-2025 09:57 AM,Rejected-Finance,Other than L1,23-Jun-2025 12:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,8,2783253,SRIKANTA KUMAR SAHOO,28-Jan-2025 12:55 PM,Rejected-Technical,As per Clause No.2.1(4) of the Eligibility Criteria of General Instructions To the Tenderers of the DTCN (Insuffucient Similar nature of work),30-Mar-2025 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,9,2784183,Subash Chandra Mohanty,28-Jan-2025 04:52 PM,Rejected-Finance,Other than L1 and L2,23-Jun-2025 12:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,10,2782722,SUMANTA KUMAR SAHOO,28-Jan-2025 10:26 AM,Rejected-Technical,As per Clause No.2.1(1) of the Eligibility Criteria of General Instructions To the Tenderers of the DTCN (Suppression of facts),30-Mar-2025 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
