Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Periodical Maintenance of 5 years completed PMGSY work such as providing SDBC for Package No. 04/Patnagarh in the district of Bolangir for the year 2024-25,Periodical Maintenance of 5 years completed PMGSY work such as providing SDBC for Package No. 04/Patnagarh in the district of Bolangir for the year 2024-25,Please refer Tender documents. ,NA ,"2,70,57,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Patnagarh,767025.0,NA ,NA ,NA ,"O/o C.C.E, R.W.Circle, Bolangir",No ,No,"10,000",0.0,Nil,Nil,No,"2,70,570",Yes,percentage,1.0%,Nil,Nil,25-Jan-2025 03:30 PM,06-Feb-2025 11:00 AM,25-Jan-2025 03:30 PM,05-Feb-2025 05:00 PM,25-Jan-2025 03:30 PM ,04-Feb-2025 05:00 PM ,25-Jan-2025 03:30 PM,05-Feb-2025 05:00 PM,25-Apr-2025 11:00 AM,"Chief Construction Engineer, R.W.Circle, Bolangir","O/o the Chief Construction Engineer, R.W.Circle, Bolangir",1.0,Fee/PreQual/Technical,.pdf,"R.C, PAN, GSTIN, EMD, Tender Paper Cost, Affidavit regarding correctness, No relation certificate",CE RW I||RWCIRCLE-BALANGIR,BLGR-Online-12/2024-25,2025_CERWI_109813_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,S Mahali,Internal,,Sukadev Mahali,30-Jun-2025 04:24 PM,finsummary_527203.pdf (121.64 KB),Technical,63 nos of bid opened,Sukadev Mahali,06-Feb-2025 04:22 PM,technical_527203.pdf,CE RW I||RWCIRCLE-BALANGIR,2025_CERWI_109813_6,BLGR-Online-12/2024-25,Periodical Maintenance of 5 years completed PMGSY work such as providing SDBC for Package No. 04/Patnagarh in the district of Bolangir for the year 2024-25,1.0,2796679.0,SANJAYA KUMAR AGRAWAL,INR,"23,000,319.074",1,2793459,AKASH PANDA,02-Feb-2025 12:20 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,30-Jun-2025,"INR 27,056,015.85",90.0,Sukadev Mahali,30-Jun-2025 04:33 PM,boqcomparativechart.pdf (122.00 KB),Success in lottery system,Finance,56 nos bids opened,Sunita Kumari Jena,25-Apr-2025 12:08 PM,finance_527203.pdf,BOQ Comparative Chart,S Mahali,Internal,,Sukadev Mahali,21-Apr-2025 02:13 PM,25-Apr-2025 11:00 AM,techsummary_527203.pdf (1476.34 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn Over, Similar Nature of Work, Machinaries and others documents as per DTCN",,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,2,2793922,ANKIT AGRAWAL,02-Feb-2025 06:23 PM,Rejected-Technical,Work Experience on Similare Nature of work not furnished,21-Apr-2025 02:13 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2795752,Ankit Kumar Agrawal,04-Feb-2025 04:47 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2793556,ANKUSH PRASAD HOTA,02-Feb-2025 01:25 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2799040,ASHUTOSH SAHU,05-Feb-2025 04:47 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2793415,ATUL KUMAR JAIN,02-Feb-2025 10:49 AM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2798403,BAJRANGLAL JAIN,05-Feb-2025 12:33 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2799367,BALAMAKUNDA PUROHIT,05-Feb-2025 04:47 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2798400,BASANT AGRAWAL,05-Feb-2025 11:46 AM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2794306,BIJAY KUMAR SAHU,03-Feb-2025 05:26 PM,Rejected-Finance,Unsuccess in lottery system,30-Jun-2025 04:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
