Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"4,000",0.0,Nil,Nil,No,"Superintending Engineer, R.W. Division,Gunupur","O/o Superintending Engineer, R.W. Division,Gunupur",1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN, PAN CARD, LICENCE, AFFIDAVIT",08-Jan-2025 10:00 AM,18-Jan-2025 11:00 AM,08-Jan-2025 10:00 AM,17-Jan-2025 05:00 PM,NA ,NA ,08-Jan-2025 10:00 AM,17-Jan-2025 05:00 PM,1.0,ICICI BANK,Repair and Maintenance of Fire Station building at Gumuda in the district of Rayagada for the year 2024-25.,Repair and Maintenance of Fire Station building at Gumuda in the district of Rayagada for the year 2024-25.,NA ,NA ,"7,80,079",Civil Works - Buildings,NA ,Tender,90.0,30.0,Gunupur,765022.0,NA ,NA ,NA ,"O/o Superintending Engineer, R.W. Division,Gunupur",No ,No,CE RW I||RWCIRCLE-SUNABEDA||RW Division Gunupur,SERWGNP-Online-04/2024-25,2025_CERWI_109206_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,801",Yes,percentage,1.0%,Nil,Nil,AOC,03-Jun-2025,"INR 663,144.87",30.0,Amit Prasan Kiro,03-Jun-2025 11:42 AM,Agreement.PDF (97.00 KB),The qualified bidder selected through transparent lottery system.,1,2757672,Abani Ranjan Panigrahi,16-Jan-2025 11:29 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 11:42 AM,Amit Prasan Kiro,Internal,"SE,DAO,Estimator",Amit Prasan Kiro,03-Jun-2025 11:15 AM,techsummary_524539.pdf (322.34 KB),CE RW I||RWCIRCLE-SUNABEDA||RW Division Gunupur,2025_CERWI_109206_6,SERWGNP-Online-04/2024-25,Repair and Maintenance of Fire Station building at Gumuda in the district of Rayagada for the year 2024-25.,Amit Prasan Kiro,Internal,"SE,DAO,Estimator",Amit Prasan Kiro,03-Jun-2025 11:27 AM,finsummary_524539.pdf (322.34 KB),Finance,Tender Open,Amit Prasan Kiro,03-Jun-2025 11:02 AM,finance_524539.pdf,BOQ Comparative Chart,1.0,2756758.0,ASHOK NAIR,INR,"663,144.87",AOC
,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2759527,ALLAPA BISWESWARA RAO,17-Jan-2025 02:15 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2756758,ASHOK NAIR,16-Jan-2025 07:29 PM,Accepted-AOC,Lottery Winner,03-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2759506,BALAJI BAURI (SC),17-Jan-2025 02:43 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2753991,BHARATI PADHY,16-Jan-2025 08:58 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2753119,BODEPU RAVI,15-Jan-2025 08:26 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2743471,DEBARAJ BAURI,12-Jan-2025 03:08 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2756398,DIPAK KUMAR SETHY,16-Jan-2025 05:45 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2754584,Gopal Krushna Satapathy,17-Jan-2025 01:48 AM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2744978,JAGADISH PANDA,12-Jan-2025 08:09 PM,Rejected-AOC,Unsuccessful Lottery,03-Jun-2025 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
