Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir",Construction of Road and Cover Slab from Laxmi Jore Pada W. No.21,Road and Cover Slab Works,Please refer Tender Documents  ,NA ,"3,00,000",Civil Works - Roads,NA ,Tender,180.0,90.0,Balangir Municipality,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,01-Feb-2025 11:00 AM,11-Feb-2025 11:00 AM,01-Feb-2025 11:00 AM,10-Feb-2025 05:00 PM,NA ,NA ,01-Feb-2025 11:00 AM,10-Feb-2025 05:00 PM,"2,000",0.0,Nil,Nil,No,Municipal Bodies||Balangir Municipality,BLGRMPTY/07(01-23)/2024-25,2025_ORULB_110005_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"3,000",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN",AOC,"Lika Sahu , Chairperson",Internal,"Chairperson, Executive Officer, Municipal Engineer, Junior Engineer",Biswambhar Mishra,23-Jun-2025 07:05 PM,finsummary_528072.pdf (525.12 KB),"Lika Sahu , Chairperson",Internal,"Chairperson, Executive Officer, Municipal Engineer, Junior Engineer",Biswambhar Mishra,23-Jun-2025 06:59 PM,techsummary_528072.pdf (525.12 KB),1,2802782,KRUPA BHOI,07-Feb-2025 05:45 PM,Rejected-AOC,L2,23-Jun-2025 07:12 PM,1.0,2803518.0,SUSMITA TRIPATHY,INR,"207,485.59",Municipal Bodies||Balangir Municipality,2025_ORULB_110005_12,BLGRMPTY/07(01-23)/2024-25,Construction of Road and Cover Slab from Laxmi Jore Pada W. No.21,23-Jun-2025,"INR 207,485.59",90.0,Biswambhar Mishra,23-Jun-2025 07:12 PM,12wo.pdf (546.00 KB),Construction of Road and Cover Slab from Laxmi Jore Pada W. No.21,Finance,3 Nos. of bidders have participated.,Biswambhar Mishra,13-Feb-2025 12:27 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,2,2804129,SHIBA PRASAD BEHERA,08-Feb-2025 05:18 PM,Rejected-AOC,L3,23-Jun-2025 07:12 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,2803518,SUSMITA TRIPATHY,07-Feb-2025 11:55 PM,Accepted-AOC,L1,23-Jun-2025 07:12 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
