Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
20-Jun-2025,"INR 142,923",30.0,Akshaya Kumar Naik,20-Jun-2025 09:16 PM,AOC_8.pdf (724.00 KB),1.0,2810022.0,SNEHASHISH MOHANTA,INR,"142,923",CE RW I||RWCIRCLE-BARIPADA||RW Division Karanjia,2025_CERWI_110131_18,RWDKNJ-13/2024-25,S/R to VAW Qtr at Dhabadiha for the Year 2024-25,1,2813751,KRUSHNA CHANDRA BEHERA,12-Feb-2025 04:35 PM,Rejected-AOC,cancelled,20-Jun-2025 09:16 PM,Finance,opening,Akshaya Kumar Naik,20-Jun-2025 09:02 PM,,BOQ Comparative Chart,Akshya Ku Nayak,Internal,,Akshaya Kumar Naik,20-Jun-2025 09:12 PM,finsummary_528640.pdf (700.05 KB),Akshya Ku Nayak,Internal,,Akshaya Kumar Naik,20-Jun-2025 09:08 PM,techsummary_528640.pdf (390.23 KB),AOC,1.0,ICICI BANK,600.0,0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BARIPADA||RW Division Karanjia,RWDKNJ-13/2024-25,2025_CERWI_110131_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to VAW Qtr at Dhabadiha for the Year 2024-25,S/R to VAW Qtr at Dhabadiha for the Year 2024-25,Please refer Tender documents. ,NA ,"1,68,125",Civil Works - Buildings,NA ,Tender,90.0,30.0,KARANJIA,757037.0,NA ,NA ,NA ,"O/o SE RWD, Karanjia",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TPC,EMD,RC,PAN,GSTIN,Affidavit as per DTCN",Superintending Engineer,"O/o SE RWD, Karanjia","1,681",Yes,percentage,1.0%,Nil,Nil,06-Feb-2025 10:00 AM,13-Feb-2025 11:00 AM,06-Feb-2025 10:00 AM,12-Feb-2025 05:00 PM,06-Feb-2025 10:00 AM ,11-Feb-2025 01:00 PM ,06-Feb-2025 10:00 AM,12-Feb-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,2,2808274,PRADEEPTA KISHORE MOHANTA,10-Feb-2025 06:14 PM,Rejected-AOC,cancelled,20-Jun-2025 09:16 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2813414,PRAMOD KUMAR DHAL,12-Feb-2025 03:22 PM,Rejected-AOC,cancelled,20-Jun-2025 09:16 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2811200,SAROJINI JENA,11-Feb-2025 08:40 PM,Rejected-AOC,cancelled,20-Jun-2025 09:16 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2811693,SAROJ KUMAR SETHI,12-Feb-2025 12:27 PM,Rejected-AOC,cancelled,20-Jun-2025 09:16 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2810311,SMT. HEMANGINI SETHI,11-Feb-2025 03:38 PM,Rejected-Technical,rejected,20-Jun-2025 09:08 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2810022,SNEHASHISH MOHANTA,11-Feb-2025 04:47 PM,Accepted-AOC,winner,20-Jun-2025 09:16 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2805691,SUBRAT KUMAR MOHANTA,09-Feb-2025 06:53 PM,Rejected-AOC,cancelled,20-Jun-2025 09:16 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
