Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Auction Initiated Status :,Reason :,BOQ Comparative Chart :,Tender Stage
Odisha Fire And Emergency Service,2/2024-25,2024_OFES_105667_3,Yes,Open Tender,Tender cum Auction,Goods,2.0,No,No,Offline,No,No,No,1.0,Pre-Bid Meeting Schedule,Other,,"32,00,000",Yes,fixed,,"DDO, Directorate of F and ES, HGS and CD",Cuttack,"1,000",0070-60-109-0097-02082-000,Cuttack,No,1.0,DD - Demand Draft,1.0,Please refer RFP section 4.5.10,.pdf,Please refer RFP section 4.5.10,Procurement of Hazmat Vehicle,Procurement of Hazmat Vehicle,Please refer tender document. ,NA ,,Miscellaneous Goods,NA ,Tender,180.0,240.0,"Odisha Fire and Emergency Service Odisha, Cuttack",753001.0,Online ,Online ,18-Oct-2024 11:30 AM ,"Odisha Fire and Emergency Service Odisha, Cuttack",No ,No,"Chief Fire Officer, Provisioning","Odisha Fire and Emergency Service Odisha, Cuttack",10-Oct-2024 05:00 PM,02-Nov-2024 11:30 AM,10-Oct-2024 05:00 PM,30-Oct-2024 05:00 PM,NA ,NA ,24-Oct-2024 11:00 AM,30-Oct-2024 05:00 PM,19-Nov-2024 02:15 PM,AOC,1.0,2597336.0,AMBALA COACH BUILDERS,INR,"156,940,000",Odisha Fire And Emergency Service,2024_OFES_105667_3,2/2024-25,Procurement of Hazmat Vehicle,"Dr. Deepak Kumar, IPS (IG of Police, Fire and Emergency Service)",Internal,,Ramesh Chandra Majhi,19-Nov-2024 02:14 PM,19-Nov-2024 02:15 PM,techsummary_509661.pdf (1448.13 KB),"Dr. Deepak Kumar, IPS (IG of Police, Fire and Emergency Service)",Internal,,Ramesh Chandra Majhi,26-Nov-2024 05:49 PM,finsummary_509661.pdf (1045.17 KB),02-Jun-2025,"INR 156,940,000",240.0,Ramesh Chandra Majhi,02-Jun-2025 05:51 PM,AOCHazmatVehicle.pdf (363.00 KB),Supply Order for Hazmat Vehicle.,Technical,All bidders are qualified for technical evaluation.,Ramesh Chandra Majhi,19-Nov-2024 02:12 PM,technical_509661.pdf,1,2595651,AAREL INDUSTRIES,28-Oct-2024 05:58 PM,Rejected-AOC,Price Offered by L3 Firm.,02-Jun-2025 05:51 PM,Finance,Auto Opened,DEBENDRA KUMAR SWAIN,19-Nov-2024 03:25 PM,,Yes,As per tender terms and conditions.,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,2.0,Financial document,.xls,Financial documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2597336,AMBALA COACH BUILDERS,28-Oct-2024 08:55 PM,Accepted-AOC,Negotiation Price Offered by L1 Firm.,02-Jun-2025 05:51 PM,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2598164,FIRESCAPE ENGINEERING CO,29-Oct-2024 02:39 PM,Rejected-AOC,Price Offered by L2 Firm.,02-Jun-2025 05:51 PM,,,,,,,,,AOC
