Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Construction of Model Anganwadi Center at Sundara basti in Ward No.15, Barbil Municipality","Construction of Model Anganwadi Center at Sundara basti in Ward No.15, Barbil Municipality",Please refer Tender documents. ,NA ,"25,84,000",Civil Works - Buildings,NA ,Tender,120.0,120.0,Barbil,758035.0,NA ,NA ,NA ,Barbil Municipality,No ,No,Executive Officer Barbil Municipality,Executive Officer Barbil Municipality,"25,840",Yes,percentage,1.0%,Nil,Nil,1,ICICI BANK,26-Feb-2024 10:00 AM,12-Mar-2024 11:00 AM,26-Feb-2024 10:00 AM,11-Mar-2024 05:00 PM,NA ,NA ,26-Feb-2024 10:00 AM,11-Mar-2024 05:00 PM,07-Jun-2024 09:00 AM,1,Fee/PreQual/Technical,.pdf,Document as Per Tender Call Notice,Municipal Bodies||Barbil Municipality,BBLM-8/2023-24,2024_ORULB_101548_28,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,AOC,Laxman Mahanta,Internal,"Accountant,ME,EO,AEE PWD",Biswajit Ray,06-Jun-2024 11:58 AM,07-Jun-2024 09:00 AM,techsummary_495759.pdf (966.03 KB),Finance,Open,Biswajit Ray,10-Jun-2024 08:56 AM,finance_495759.pdf,BOQ Comparative Chart,Laxman Mahanta,Internal,,Ramesh Chandra Nayak,24-Jun-2025 03:30 PM,finsummary_495759.pdf (800.73 KB),Technical,open,Biswajit Ray,13-Mar-2024 01:13 PM,technical_495759.pdf,Municipal Bodies||Barbil Municipality,2024_ORULB_101548_28,BBLM-8/2023-24,"Construction of Model Anganwadi Center at Sundara basti in Ward No.15, Barbil Municipality",1.0,2472250.0,NS TRANSPORT PROP NARESH KUMAR SINGH,INR,"2,684,981",1,2472250,NS TRANSPORT PROP NARESH KUMAR SINGH,09-Mar-2024 01:54 PM,Accepted-AOC,Lowest,24-Jun-2025 03:40 PM,24-Jun-2025,"INR 2,686,981",120.0,Ramesh Chandra Nayak,24-Jun-2025 03:40 PM,wO28.pdf (385.00 KB),Contact value including GST,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2473894,SANJAY NAIK,11-Mar-2024 04:17 PM,Rejected-Finance,second,24-Jun-2025 03:30 PM,,,,,,,,AOC
