S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2713084.0,Anil Kumar Mishra,INR,"69,632,564",CE RW I||RWCIRCLE-ANGUL,2024_CERWI_108476_14,Road Online-AGL-13/2024-2025,Tileswar-Jagannath Road via Shyamsundarpur,1,2713543,Abani kumar mahapatra,27-Dec-2024 12:57 PM,Rejected-AOC,0,25-Jun-2025 06:01 PM,25-Jun-2025,"INR 69,632,564",360.0,Anup Kumar Behera,25-Jun-2025 06:00 PM,Tileswar.pdf (97.00 KB),REFUND OF E.M.D,Chief Engineer,Internal,E.E DAO ESTIMATOR,Baikuntha Nath Sarangi,16-Jan-2025 07:13 PM,20-Jan-2025 12:00 PM,techsummary_521274.pdf (668.15 KB),Finance,Fifteen Bidders found,Mamatamayee Biswal,21-Jan-2025 06:08 PM,finance_521274.pdf,BOQ Comparative Chart,Chief Construction Engineer,Internal,E.E DAO ESTIMATOR,Anup Kumar Behera,25-Jun-2025 05:52 PM,finsummary_521274.pdf (96.74 KB),Technical,Fifteen Bidders found,Baikuntha Nath Sarangi,01-Jan-2025 10:56 AM,technical_521274.pdf,AOC,"Chief Engineer,RWC,Angul",At-Hakimpada Po-Hakimpada District-Angul Pin-759122,"8,19,110",Yes,percentage,1.0%,Nil,Nil,1.0,2nd Corrigendum,Other,,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD one percentage of the estimated cost,GST,PAN,RC,Affidavit regarding correctness",CE RW I||RWCIRCLE-ANGUL,Road Online-AGL-13/2024-2025,2024_CERWI_108476_14,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Tileswar-Jagannath Road via Shyamsundarpur,Tileswar-Jagannath Road via Shyamsundarpur,Please refer Tender documents. ,NA ,"8,19,11,000",Civil Works - Roads,NA ,Tender,90.0,360.0,Boudh,762014.0,NA ,NA ,NA ,"Office of the Chief Construction Engineer,RWC,Angu",No ,No,20-Dec-2024 09:00 AM,30-Dec-2024 11:00 AM,20-Dec-2024 09:00 AM,27-Dec-2024 05:00 PM,20-Dec-2024 09:00 AM ,26-Dec-2024 01:00 PM ,20-Dec-2024 09:00 AM,27-Dec-2024 05:00 PM,20-Jan-2025 12:00 PM,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,2,2713084,Anil Kumar Mishra,26-Dec-2024 10:22 PM,Accepted-AOC,Winner of lottery among the 1st lowest biders,25-Jun-2025 06:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,"Labour licence,Similar nature of work ,Annual Turn Over,Work in hand ,No relation certificate,Litiga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC
,,,,,,,,,3,2713372,ASWANI KUMAR MAHAPATRA,27-Dec-2024 12:07 PM,Rejected-AOC,0,25-Jun-2025 06:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,"Machinery own obtained on hire, Balance sheet Bidder Contact address and other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,2713302,DHANESWAR SAHU,27-Dec-2024 10:59 AM,Rejected-AOC,0,25-Jun-2025 06:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities in xls sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,2713190,KHIROD KUMAR SETHI,27-Dec-2024 01:31 PM,Rejected-AOC,0,25-Jun-2025 06:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,2711436,MISHRA INFRA PROJECTS,26-Dec-2024 10:19 AM,Rejected-AOC,0,25-Jun-2025 06:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,2713586,MOTIRANJAN SAHOO,27-Dec-2024 01:12 PM,Rejected-AOC,0,25-Jun-2025 06:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,2710424,MS L K BROTHERS INFRASTRUCTURE,26-Dec-2024 06:25 PM,Rejected-AOC,0,25-Jun-2025 06:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,2713710,MUKTESWAR NAIK,27-Dec-2024 02:26 PM,Rejected-AOC,0,25-Jun-2025 06:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,2711720,NARAYAN PRADHAN,27-Dec-2024 04:54 PM,Rejected-AOC,0,25-Jun-2025 06:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
