Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Orissa Lift Irrigation Corporation,6073 DT-17.09.2024,2024_OLIC_104951_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,INSTALLATION OF BOREWELLS THROUGH SOLAR PUMPING SYSTEM IN KANDHAMAL DISTRICT PKG-01 BID ID 28,INSTALLATION OF BOREWELLS THROUGH SOLAR PUMPING SYSTEM IN KANDHAMAL DISTRICT PKG-01 BID ID 28,Please refer DTCN ,NA ,"7,10,79,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,90.0,KANDHAMAL,762103.0,NA ,NA ,NA ,OFFICE OF MD OLIC N 17 2 NAYAPALLI BHUBANESWAR,No ,No,MD OLIC BBSR,OFFICE OF MD OLIC N 17 2 NAYAPALLI BHUBANESWAR,"11,800",0.0,Nil,Nil,Yes,1,Fee/PreQual/Technical,.pdf,"TENDER COST, EMD, GST, PAN AND ALL OTHER DOCUMENTS AS PER DTCN",1,ICICI BANK,"7,11,000",Yes,fixed,,Nil,Nil,18-Sep-2024 10:00 AM,14-Oct-2024 11:00 AM,18-Sep-2024 10:00 AM,09-Oct-2024 05:00 PM,18-Sep-2024 10:00 AM ,26-Sep-2024 05:00 PM ,18-Sep-2024 10:00 AM,09-Oct-2024 05:00 PM,07-Dec-2024 03:00 PM,AOC,CE MECH DOWR,Mixed,"ED (TECH) OLIC, FA AND CAO OLIC, SE RWSS, SE (ELECT), E.E. (ELECT) OLIC, E.E. (MP) OLIC",Sudarsan Sadangi,06-Dec-2024 05:58 PM,07-Dec-2024 03:00 PM,techsummary_506954.pdf (6834.76 KB),Orissa Lift Irrigation Corporation,2024_OLIC_104951_2,6073 DT-17.09.2024,INSTALLATION OF BOREWELLS THROUGH SOLAR PUMPING SYSTEM IN KANDHAMAL DISTRICT PKG-01 BID ID 28,1.0,2570870.0,"m s mahabir borewell and equipments, prop.padmalava mallick",INR,"63,978,498.63",Technical,Two nos of Bidders have participated,Sudarsan Sadangi,14-Oct-2024 03:43 PM,,1,2570870,"m s mahabir borewell and equipments, prop.padmalava mallick",07-Oct-2024 11:51 AM,Accepted-AOC,L-1 Bidder,19-Jun-2025 05:33 PM,Finance,One (1) no of Bidder has participated,Sudarsan Sadangi,09-Dec-2024 03:36 PM,,BOQ Comparative Chart,17-Feb-2025,"INR 71,079,323",90.0,Sudarsan Sadangi,19-Jun-2025 05:33 PM,WorkOrderNo155.pdf (7075.00 KB),Work Order,MD OLIC,Internal,"FA-CUM-SPECIAL SECRETARY WRD, ED (TECH.) OLIC, FA AND CAO OLIC, ADDL DIRECTOR GWD, SE RWSS, EE (MP) OLIC",Sudarsan Sadangi,22-Jan-2025 12:48 PM,finsummary_506954.pdf (4447.15 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2570097,TIRUPATI DRILLING AND MINING SERVICES PVT. LTD,07-Oct-2024 07:01 PM,Rejected-Technical,Technically Disqualified by Technical Committee,06-Dec-2024 05:58 PM,,,,,,,,,,,,,,,,,,,,AOC
