Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Orissa Lift Irrigation Corporation,6027 DT-13.09.2024,2024_OLIC_104945_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,18-Sep-2024 10:00 AM,14-Oct-2024 11:00 AM,18-Sep-2024 10:00 AM,09-Oct-2024 05:00 PM,18-Sep-2024 10:00 AM ,26-Sep-2024 05:00 PM ,18-Sep-2024 10:00 AM,09-Oct-2024 05:00 PM,07-Dec-2024 03:00 PM,INSTALLATION OF BOREWELLS THROUGH SOLAR PUMPING SYSTEM IN DHENKANAL DISTRICT PKG-01 BID ID 25,INSTALLATION OF BOREWELLS THROUGH SOLAR PUMPING SYSTEM IN DHENKANAL DISTRICT PKG-01 BID ID 25,Please refer DTCN ,NA ,"6,01,84,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,90.0,DHENKANAL,759001.0,NA ,NA ,NA ,OFFICE OF MD OLIC N 17 2 NAYAPALLI BHUBANESWAR,No ,No,1.0,Fee/PreQual/Technical,.pdf,"TENDER COST, EMD, GST, PAN AND ALL OTHER DOCUMENTS AS PER DTCN",MD OLIC BBSR,OFFICE OF MD OLIC N 17 2 NAYAPALLI BHUBANESWAR,"11,800",0.0,Nil,Nil,Yes,"6,02,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,Technical,Three nos of Bidders have Participated,Sudarsan Sadangi,14-Oct-2024 02:37 PM,,1,2572730,M/s Ganesh Borewells,09-Oct-2024 01:59 PM,Rejected-Finance,Rejected by Tender Committee,22-Jan-2025 12:17 PM,Finance,Three (3) nos of Bidders have participated,Sudarsan Sadangi,09-Dec-2024 02:59 PM,,BOQ Comparative Chart,28-Jan-2025,"INR 60,184,257.94",90.0,Sudarsan Sadangi,19-Jun-2025 04:08 PM,WorkOrderNo91.pdf (5866.00 KB),Work Order,MD OLIC,Internal,"FA-CUM-SPECIAL SECRETARY WRD, ED (TECH.) OLIC, FA AND CAO OLIC, ADDL DIRECTOR GWD, SE RWSS, EE (MP) OLIC",Sudarsan Sadangi,22-Jan-2025 12:17 PM,finsummary_506947.pdf (4447.15 KB),CE MECH DOWR,Mixed,"ED (TECH) OLIC, FA AND CAO OLIC, SE RWSS, SE (ELECT), E.E. (ELECT) OLIC, E.E. (MP) OLIC",Sudarsan Sadangi,06-Dec-2024 05:36 PM,07-Dec-2024 03:00 PM,techsummary_506947.pdf (6834.76 KB),Orissa Lift Irrigation Corporation,2024_OLIC_104945_4,6027 DT-13.09.2024,INSTALLATION OF BOREWELLS THROUGH SOLAR PUMPING SYSTEM IN DHENKANAL DISTRICT PKG-01 BID ID 25,1.0,2570838.0,"m s mahabir borewell and equipments, prop.padmalava mallick",INR,"51,162,637.67",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,2,2570838,"m s mahabir borewell and equipments, prop.padmalava mallick",07-Oct-2024 11:41 AM,Accepted-AOC,L-1 Bidder and won Lottery,19-Jun-2025 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,3,2572276,R S Infrastructure,09-Oct-2024 02:38 PM,Rejected-Finance,Accepted by Tender Committee but rejected in Transparent Lottery,22-Jan-2025 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
